nuts,Spring Mean Temperature (°C) ensemble median - RCP8.5 - (2041 - 2070)
DE50,10.380121
DE60,10.090448
DE71,10.629602
DE72,9.811731
DE73,9.613947
DE80,9.92547
DE91,10.00979
BG41,11.506952
BG42,12.567804
CH01,4.874414
AT32,5.38952
AT33,3.6613708
AT34,5.2161193
BE10,11.109644
BE23,11.125666
BE24,11.089258
BE25,10.979853
BE31,10.831476
BE32,10.806177
BE33,9.887659
BE34,9.784784
BE35,10.281549
BG31,13.663904
BG32,13.603266
BG33,12.891352
BG34,13.196375
DE92,10.446741
DE93,10.440546
DE94,10.329279
CZ07,10.262384
CZ08,10.104303
AL01,12.526636
AL02,13.480707
AL03,13.611048
AT11,12.083612
AT12,10.732843
AT13,12.010096
AT21,7.3599486
AT22,8.411066
AT31,9.525049
DK05,8.61117
BE21,11.20434
BE22,11.038416
ES43,15.999689
ES51,13.077387
ES52,15.323389
ES53,16.823206
ES61,16.549646
ES62,16.254328
ES63,17.080378
ES64,18.785059
CH02,7.400598
CH03,10.59643
CH04,10.207331
CH05,4.961786
CH06,6.194513
CH07,6.978235
CY00,19.333368
CZ01,10.882868
CZ02,10.422968
CZ03,9.597071
CZ04,9.448999
CZ05,9.815332
CZ06,10.742243
DE40,10.926844
EL53,12.4213505
EL54,13.580896
EL61,15.083826
EL62,16.750208
EL63,15.2456
ES70,18.686579
ITC1,9.355219
ITC2,2.9540954
DE11,10.41958
DE12,10.753351
DE13,10.449579
DE14,9.897394
DE21,9.779322
DE22,10.524042
DE23,10.072351
DE24,9.76861
DE25,10.426569
DE26,10.308161
DE27,9.20849
DE30,11.073725
EL42,17.789759
LV00,8.30691
ME00,10.989893
MK00,12.40954
MT00,17.596125
NL11,10.129236
NL12,9.972742
EL64,15.612665
EL65,16.156885
ES11,12.181147
ES12,11.139612
ES13,11.631372
ES21,12.296595
ES22,12.280024
ES23,11.363703
ES24,12.735926
ES30,13.527338
IE05,9.92486
IE06,9.756067
IS00,2.199945
ITC3,13.022669
FI19,6.100061
FI1B,6.265863
FI1C,6.259912
DEA1,11.0758915
DEA2,10.220209
DEA3,10.869501
DEA4,10.295862
DEA5,9.850794
DEB1,9.995935
DEB2,9.660791
DEB3,10.932001
DEC0,10.488001
DED2,10.471827
DED4,9.556879
DED5,10.999872
DEE0,10.619715
DEF0,9.630762
DEG0,9.673334
DK01,8.335566
DK02,8.74621
DK03,8.881189
DK04,8.622736
