nuts,June Mean Temperature (°C) ensemble median - RCP8.5 - (2071 - 2100)
DE50,18.427149
DE60,18.301447
DE71,19.676142
DE72,18.583551
DE73,18.217066
DE80,18.386225
DE91,18.454554
BG41,21.903925
BG42,23.700891
CH01,15.304316
AT32,15.50738
AT33,13.911219
AT34,15.559015
BE10,19.059626
BE23,18.871546
BE24,19.101435
BE25,18.469843
BE31,18.840113
BE32,18.709497
BE33,18.161097
BE34,18.18429
BE35,18.443018
BG31,24.719294
BG32,24.842371
BG33,24.316645
BG34,24.49087
DE92,18.712671
DE93,18.703058
DE94,18.297083
CZ07,19.055597
CZ08,18.711664
AL01,22.885065
AL02,23.855402
AL03,24.032526
AT11,21.785028
AT12,19.89477
AT13,21.416224
AT21,17.231623
AT22,17.896418
AT31,18.857325
DK05,16.90304
BE21,19.168756
BE22,19.234919
ES43,27.556086
ES51,22.962915
ES52,25.092127
ES53,24.981836
ES61,26.931787
ES62,26.006678
ES63,22.619928
ES64,26.160242
CH02,17.259699
CH03,20.075403
CH04,19.800531
CH05,15.389215
CH06,16.264338
CH07,17.754938
CY00,28.620813
CZ01,19.757257
CZ02,19.271173
CZ03,18.598902
CZ04,18.21972
CZ05,18.450129
CZ06,19.80462
DE40,19.453028
EL53,23.926996
EL54,24.219873
EL61,26.282923
EL62,25.365656
EL63,25.583307
ES70,21.744349
ITC1,19.870844
ITC2,14.235224
DE11,19.670435
DE12,20.067194
DE13,19.898035
DE14,19.284754
DE21,19.155542
DE22,19.802057
DE23,19.259607
DE24,18.76037
DE25,19.658136
DE26,19.376673
DE27,18.634882
DE30,19.653803
EL42,25.903315
LV00,18.174555
ME00,21.205072
MK00,23.50149
MT00,25.102472
NL11,17.767267
NL12,17.304071
EL64,26.606897
EL65,26.582788
ES11,19.428217
ES12,18.140223
ES13,18.930567
ES21,19.730616
ES22,21.447138
ES23,20.667444
ES24,23.438013
ES30,25.831842
IE05,15.955103
IE06,16.114893
IS00,10.769342
ITC3,22.004328
FI19,17.215448
FI1B,17.259333
FI1C,17.571405
DEA1,19.378565
DEA2,18.673243
DEA3,19.130335
DEA4,18.573267
DEA5,18.27807
DEB1,18.816675
DEB2,18.407343
DEB3,20.160425
DEC0,19.48968
DED2,19.017023
DED4,18.072443
DED5,19.603754
DEE0,19.19494
DEF0,17.878107
DEG0,18.37057
DK01,17.471338
DK02,17.699244
DK03,17.272425
DK04,16.959742
ES41,22.048426
ES42,26.456476
HU23,23.599298
HU31,22.789331
HU32,23.757105
HU33,23.981958
IE04,15.509699
EE00,17.99447
EL30,27.738764
EL41,26.38946
EL43,26.580805
EL51,25.622248
EL52,26.59112
FI20,15.827082
FR10,19.853022
FRB0,20.537317
FRC1,20.781763
FRC2,20.32168
FRD1,18.439295
FRD2,18.523493
FRE1,18.330927
FRE2,19.000849
FRF1,20.346888
NL13,18.097986
NL21,18.558954
NL22,18.892878
NL23,18.260767
NL31,18.51449
NL32,17.489496
ITG2,24.820673
ITH1,14.057947
ITH2,17.40426
FRI3,21.301477
FRJ1,21.676142
FRJ2,20.91836
FRK1,19.631311
FRK2,19.61178
FRL0,21.264215
FRM0,23.348902
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,28.025965
TR32,27.695429
TR33,25.3641
HR03,23.557215
HR02,23.703302
HU11,23.392908
HU12,23.251245
HU21,22.955194
HU22,22.887384
PT16,23.135126
PT17,22.421808
FRF2,19.779474
FRF3,19.734919
FRG0,20.185389
FRH0,18.451075
FRI1,21.966303
FRI2,20.19723
ITC4,21.777216
ITF1,22.821314
ITF2,23.95431
ITF3,24.227594
ITF4,26.272242
ITF5,25.267359
ITF6,24.861109
ITG1,25.63592
LT01,18.807337
LT02,18.44732
LU00,18.36172
PL22,19.215021
PL41,19.369349
PL42,18.453608
PT18,25.618952
PT20,-273.15
PT30,-273.15
RO11,21.120783
RO12,20.010492
RO21,21.67254
RO22,24.589533
RO31,24.530573
RO32,25.860804
ITH3,22.194696
ITH4,21.251673
ITH5,24.310266
ITI1,23.51504
ITI2,23.388666
ITI3,24.017908
ITI4,23.633112
LI00,17.025171
FI1D,16.20849
TR82,22.073969
TR83,22.449793
TR90,20.262598
TRA1,20.596888
TRA2,19.343653
PL43,19.734827
PL51,18.989069
PL52,19.573572
PL61,18.89062
PL62,18.537561
PL63,18.12713
PL71,19.537928
PL72,19.704432
PL81,20.062159
PL82,19.686914
PL84,19.089228
PL91,19.68307
PL92,19.481379
PT11,22.199366
PT15,23.807764
TRB1,26.091578
TRB2,24.218134
TRC1,30.215265
RS12,24.784815
RS21,22.457819
RS22,23.013758
SE11,17.199183
SE12,17.859827
NL33,18.21612
NL34,18.538752
NL41,19.12118
NL42,19.332758
PL21,18.829157
UKM6,13.597803
TR22,25.840357
TRC2,32.619072
TRC3,32.99111
UKC1,15.51742
UKC2,15.327906
UKD1,15.350702
UKD3,16.210718
UKD4,15.969202
UKD6,16.661463
UKD7,16.682795
UKE1,16.60528
UKE2,15.767511
UKE3,16.691736
RO41,23.81222
RO42,22.395624
RS11,24.872156
TR41,24.58343
TR42,23.082666
TR51,24.756403
TR52,25.000391
TR61,25.742609
TR62,26.070765
TR63,26.770746
TR71,25.045435
TR72,22.585749
TR81,22.092157
UKK1,17.570124
UKK2,17.373713
UKK3,16.724909
UKK4,16.860682
UKL1,16.146204
UKL2,16.273401
UKM5,14.045191
UKM7,14.521326
UKM8,15.208948
UKM9,15.014063
UKN0,15.296534
SE21,17.36822
SE22,17.404444
SE23,17.405634
SE31,16.871424
SE32,15.478205
SE33,14.988733
SI03,21.639063
SI04,21.139551
SK01,21.972223
SK02,21.291285
SK03,18.985926
SK04,19.794672
TR10,25.0227
TR21,25.887232
UKE4,16.084253
UKF1,16.828424
UKF2,17.431787
UKF3,17.268518
UKG1,17.173761
UKG2,16.581598
UKG3,17.286005
UKH1,17.288294
UKH2,17.802118
UKH3,17.76629
UKI3,18.335321
UKI4,18.335321
UKI5,18.137201
UKI6,18.13949
UKI7,18.04931
UKJ1,17.645441
UKJ2,17.623957
UKJ3,17.710108
UKJ4,17.737696
NO09,15.616632
NO0A,13.805597
NO0B,6.5597777
HR05,23.620966
HR06,23.37121
NO02,14.460932
NO06,14.128107
NO07,13.508936
NO08,15.689569
