nuts,May Mean Temperature (°C) ensemble median - RCP4.5 - (2041 - 2070)
DE50,14.192774
DE60,13.850946
DE71,14.756281
DE72,13.829737
DE73,13.612146
DE80,13.845392
DE91,14.091333
BG41,15.507013
BG42,16.62121
CH01,8.597406
AT32,9.497583
AT33,7.6832213
AT34,9.375177
BE10,14.424311
BE23,14.345636
BE24,14.474207
BE25,13.9974
BE31,14.135157
BE32,14.028162
BE33,13.422358
BE34,13.366846
BE35,13.686853
BG31,18.33877
BG32,18.10592
BG33,17.40716
BG34,17.522028
DE92,14.423609
DE93,14.3875065
DE94,14.07464
CZ07,14.822351
CZ08,14.596491
AL01,16.677668
AL02,17.35473
AL03,17.220667
AT11,16.589228
AT12,15.216608
AT13,16.556116
AT21,11.445856
AT22,12.709772
AT31,13.975306
DK05,12.198999
BE21,14.702417
BE22,14.600977
ES43,19.081934
ES51,16.095514
ES52,17.89773
ES53,19.07519
ES61,19.23318
ES62,18.828333
ES63,18.50155
ES64,20.891016
CH02,11.045954
CH03,14.261133
CH04,14.053553
CH05,8.942133
CH06,9.969263
CH07,10.902491
CY00,21.81161
CZ01,15.30932
CZ02,14.840357
CZ03,13.93609
CZ04,13.852655
CZ05,14.325464
CZ06,15.278467
DE40,15.223688
EL53,16.237268
EL54,17.119623
EL61,18.640406
EL62,19.606745
EL63,18.416773
ES70,19.106958
ITC1,13.076288
ITC2,6.7848144
DE11,14.333277
DE12,14.692011
DE13,14.208429
DE14,13.806147
DE21,13.989832
DE22,14.890253
DE23,14.342554
DE24,14.076838
DE25,14.55868
DE26,14.487818
DE27,13.207636
DE30,15.424982
EL42,20.00146
LV00,13.190332
ME00,15.194025
MK00,16.544092
MT00,19.502985
NL11,13.566431
NL12,12.985773
EL64,19.009485
EL65,19.178492
ES11,14.12298
ES12,13.12649
ES13,13.791101
ES21,14.644709
ES22,15.226099
ES23,14.104731
ES24,15.7929325
ES30,16.722773
IE05,11.855188
IE06,11.920252
IS00,4.694879
ITC3,16.217005
FI19,11.163721
FI1B,11.233301
FI1C,11.456934
DEA1,14.839563
DEA2,13.979456
DEA3,14.746546
DEA4,14.220819
DEA5,13.767084
DEB1,13.897974
DEB2,13.385096
DEB3,14.875849
DEC0,14.282221
DED2,14.885828
DED4,13.815424
DED5,15.285486
DEE0,14.849146
DEF0,13.29516
DEG0,13.834986
DK01,12.164484
DK02,12.61236
DK03,12.592005
DK04,12.291864
ES41,14.482325
ES42,17.398401
HU23,18.143213
HU31,17.680964
HU32,18.656275
HU33,18.752222
IE04,11.738184
EE00,12.068781
EL30,20.535822
EL41,19.658655
EL43,20.059168
EL51,18.254023
EL52,19.180689
FI20,9.09878
FR10,14.722498
FRB0,15.118982
FRC1,15.255823
FRC2,14.631556
FRD1,13.763544
FRD2,13.774134
FRE1,13.824335
FRE2,14.18609
FRF1,14.740839
NL13,13.981745
NL21,14.341089
NL22,14.554773
NL23,14.016169
NL31,14.261499
NL32,13.172419
ITG2,18.28866
ITH1,7.5478454
ITH2,11.188776
FRI3,15.860987
FRJ1,15.334742
FRJ2,14.807886
FRK1,13.736261
FRK2,13.155542
FRL0,14.602472
FRM0,17.458185
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,19.951288
TR32,19.424463
TR33,17.314997
HR03,17.576166
HR02,17.965296
HU11,18.075342
HU12,17.975397
HU21,17.65722
HU22,17.527277
PT16,16.862085
PT17,17.815332
FRF2,14.675104
FRF3,14.459162
FRG0,14.983759
FRH0,13.82519
FRI1,16.337366
FRI2,14.578455
ITC4,15.218378
ITF1,16.119959
ITF2,17.036493
ITF3,17.615198
ITF4,19.384485
ITF5,17.968927
ITF6,18.132105
ITG1,19.071253
LT01,14.363001
LT02,13.92605
LU00,13.432215
PL22,15.182459
PL41,15.3085575
PL42,14.160334
PT18,19.02624
PT20,-273.15
PT30,-273.15
RO11,16.202143
RO12,14.781946
RO21,16.260004
RO22,18.078241
RO31,18.076258
RO32,19.223871
ITH3,16.099695
ITH4,15.519312
ITH5,17.783136
ITI1,17.375147
ITI2,16.471369
ITI3,17.435205
ITI4,17.058954
LI00,11.3467045
FI1D,9.619074
TR82,15.192591
TR83,15.739649
TR90,13.150385
TRA1,11.682947
TRA2,10.235071
PL43,15.617334
PL51,14.954828
PL52,15.546289
PL61,14.800623
PL62,14.273371
PL63,13.391901
PL71,15.44842
PL72,15.59057
PL81,15.686884
PL82,15.411707
PL84,14.79516
PL91,15.436365
PL92,15.206934
PT11,15.478205
PT15,18.681269
TRB1,16.100672
TRB2,13.83169
TRC1,20.562067
RS12,19.221796
RS21,16.665186
RS22,17.131678
SE11,10.885828
SE12,11.976343
NL33,13.991541
NL34,14.286188
NL41,14.730066
NL42,14.766596
PL21,14.740625
UKM6,10.030512
TR22,18.325068
