nuts,January Mean Temperature (°C) ensemble median - RCP8.5 - (2071 - 2100)
UKI5,7.2451415
UKI6,7.2769713
UKI7,7.1987853
UKJ1,6.9968505
UKJ2,8.058619
UKJ3,7.99563
UKJ4,7.83056
NO09,0.22127685
NO0A,0.9413086
NO0B,3.1092467
HR05,4.8346496
HR06,4.5928283
NO02,-4.042517
NO06,-0.8272766
NO07,-2.3852296
NO08,-1.9608825
