nuts,Autumn Mean Temperature (°C) ensemble median - RCP4.5 - (2041 - 2070)
DE50,11.213831
DE60,11.130487
DE71,10.708124
DE72,9.996729
DE73,9.8935795
DE80,10.90481
DE91,10.426508
BG41,11.403803
BG42,13.100092
CH01,6.3769774
AT32,6.045465
AT33,4.6589293
AT34,6.1312194
BE10,12.171137
BE23,12.39303
BE24,12.09939
BE25,12.704737
BE31,11.866144
BE32,11.9265995
BE33,10.716791
BE34,10.43841
BE35,11.144983
BG31,13.114954
BG32,13.485132
BG33,13.897852
BG34,14.376368
DE92,11.028742
DE93,11.107233
DE94,11.495874
CZ07,9.683008
CZ08,9.627832
AL01,13.998072
AL02,15.079462
AL03,15.662622
AT11,11.396051
AT12,10.20083
AT13,11.449518
AT21,7.6530395
AT22,8.237268
AT31,9.339106
DK05,11.047632
BE21,12.205286
BE22,11.886805
ES43,18.095362
ES51,15.329676
ES52,17.838373
ES53,21.373835
ES61,18.80398
ES62,18.681849
ES63,19.994074
ES64,21.557795
CH02,8.314203
CH03,10.823053
CH04,10.543055
CH05,6.091699
CH06,7.4610534
CH07,8.342676
CY00,23.21316
CZ01,10.41839
CZ02,9.897364
CZ03,9.131983
CZ04,9.028498
CZ05,9.256678
CZ06,10.105249
DE40,10.930994
EL53,13.455774
EL54,15.62768
EL61,17.12536
EL62,20.983118
EL63,17.99911
ES70,22.172419
ITC1,10.60351
ITC2,4.765985
DE11,10.335138
DE12,10.842249
DE13,10.598413
DE14,9.948999
DE21,9.623865
DE22,10.077051
DE23,9.595545
DE24,9.513361
DE25,10.168543
DE26,10.198023
DE27,9.217432
DE30,10.982325
EL42,21.608118
LV00,8.401026
ME00,12.158258
MK00,12.909998
MT00,23.164637
NL11,11.711695
NL12,12.598536
EL64,17.95257
EL65,19.23916
ES11,14.675928
ES12,13.845118
ES13,14.391413
ES21,14.970362
ES22,14.324091
ES23,13.41781
ES24,14.374445
ES30,15.363825
IE05,11.78451
IE06,11.338953
IS00,3.5897155
ITC3,15.182428
FI19,6.0137877
FI1B,7.6677184
FI1C,7.086145
DEA1,11.801538
DEA2,10.922815
DEA3,11.543055
DEA4,10.8857975
DEA5,10.436335
DEB1,10.394648
DEB2,10.12594
DEB3,11.139307
DEC0,10.815821
DED2,10.197901
DED4,9.397028
DED5,11.055933
DEE0,10.841639
DEF0,11.162714
DEG0,9.811884
DK01,11.225641
DK02,11.424158
DK03,11.036005
DK04,10.869349
ES41,13.6462345
ES42,16.141932
HU23,12.525721
HU31,11.518671
HU32,12.516901
HU33,12.748041
IE04,11.461847
EE00,8.297876
EL30,20.681604
EL41,20.174646
EL43,21.128016
EL51,15.962183
EL52,16.569788
FI20,9.780359
FR10,12.536188
FRB0,13.030268
FRC1,12.491999
FRC2,11.64477
FRD1,13.034967
FRD2,12.597803
FRE1,12.390223
FRE2,12.210291
FRF1,11.209192
NL13,11.470697
NL21,11.612635
NL22,11.782312
NL23,12.081812
NL31,11.968805
NL32,12.922327
ITG2,18.897943
ITH1,4.7917113
ITH2,8.24563
FRI3,14.229059
FRJ1,14.071894
FRJ2,13.378046
FRK1,11.590235
FRK2,10.799799
FRL0,13.104395
FRM0,17.796778
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,18.755701
TR32,18.375605
TR33,14.94726
HR03,15.5437565
HR02,12.988001
HU11,12.149866
HU12,12.058435
HU21,12.029993
HU22,12.14361
PT16,16.897638
PT17,18.691095
FRF2,11.887384
FRF3,11.246149
FRG0,13.673761
FRH0,13.865961
FRI1,15.011103
FRI2,12.690607
ITC4,12.155024
ITF1,14.566767
ITF2,15.617365
ITF3,17.159052
ITF4,19.033228
ITF5,16.837702
ITF6,18.837732
ITG1,20.58349
LT01,8.385309
LT02,8.84527
LU00,10.263758
PL22,10.029718
PL41,10.443293
PL42,10.546961
PT18,18.811762
PT20,-273.15
PT30,-273.15
RO11,10.222345
RO12,9.124079
RO21,10.063166
RO22,13.187983
RO31,12.53747
