nuts,May Mean Temperature (°C) ensemble median - RCP4.5 - (2011 - 2040)
DE50,13.4838505
DE60,13.132135
DE71,14.100122
DE72,13.197138
DE73,12.960718
DE80,13.168665
DE91,13.3771305
BG41,14.766413
BG42,16.048212
CH01,8.04571
AT32,8.610682
AT33,6.872949
AT34,8.393732
BE10,13.950434
BE23,13.85766
BE24,13.970514
BE25,13.499506
BE31,13.675104
BE32,13.558496
BE33,12.950953
BE34,12.896082
BE35,13.219629
BG31,17.469446
BG32,17.453974
BG33,16.718409
BG34,16.87359
DE92,13.699244
DE93,13.61764
DE94,13.387201
CZ07,14.011774
CZ08,13.753046
AL01,15.754114
AL02,16.524652
AL03,16.570063
AT11,15.757471
AT12,14.356806
AT13,15.79104
AT21,10.645075
AT22,11.726557
AT31,12.956537
DK05,11.721643
BE21,14.160547
BE22,14.07583
ES43,17.871271
ES51,15.515314
ES52,17.462671
ES53,18.54458
ES61,18.581568
ES62,18.422144
ES63,17.93719
ES64,20.286097
CH02,10.570917
CH03,13.901392
CH04,13.542841
CH05,8.269251
CH06,9.384668
CH07,10.305048
CY00,21.500055
CZ01,14.472223
CZ02,14.048304
CZ03,13.234583
CZ04,13.055017
CZ05,13.497583
CZ06,14.514338
DE40,14.464533
EL53,15.759424
EL54,16.529383
EL61,18.28573
EL62,18.878626
EL63,17.985498
ES70,18.78805
ITC1,12.580561
ITC2,6.278589
DE11,13.85116
DE12,14.193567
DE13,13.831476
DE14,13.291346
DE21,13.18899
DE22,14.114679
DE23,13.688593
DE24,13.313807
DE25,13.98086
DE26,13.777674
DE27,12.5030155
DE30,14.669977
EL42,19.427149
LV00,12.610193
ME00,14.207697
MK00,15.805872
MT00,19.011866
NL11,12.9804325
NL12,12.57406
EL64,18.71316
EL65,18.933435
ES11,13.516596
ES12,12.609095
ES13,13.341578
ES21,14.164301
ES22,14.63122
ES23,13.589502
ES24,15.302607
ES30,15.797571
IE05,11.482965
IE06,11.495539
IS00,3.9233336
ITC3,15.590418
FI19,10.560511
FI1B,10.551294
FI1C,10.777246
DEA1,14.260096
DEA2,13.4404545
DEA3,14.091974
DEA4,13.5342655
DEA5,13.131281
DEB1,13.35824
DEB2,12.946283
DEB3,14.372461
DEC0,13.813593
DED2,14.024042
DED4,13.017298
DED5,14.491999
DEE0,14.075342
DEF0,12.637323
DEG0,13.106653
DK01,11.619257
DK02,12.060175
DK03,12.045923
DK04,11.811304
ES41,13.716883
ES42,16.66305
HU23,17.197718
HU31,16.820032
HU32,17.659815
HU33,17.67843
IE04,11.328272
EE00,11.45495
EL30,20.24087
EL41,19.14416
EL43,19.722254
EL51,17.643427
EL52,18.615625
FI20,8.344507
FR10,14.2278385
FRB0,14.698267
FRC1,14.80929
FRC2,14.249445
FRD1,13.244776
FRD2,13.242517
FRE1,13.323145
FRE2,13.665491
FRF1,14.351465
NL13,13.354883
NL21,13.711847
NL22,13.950098
NL23,13.445734
NL31,13.675623
NL32,12.751429
ITG2,17.677118
ITH1,6.814386
ITH2,10.474543
FRI3,15.334253
FRJ1,14.72323
FRJ2,14.17074
FRK1,13.216211
FRK2,12.6166935
FRL0,13.9630375
FRM0,16.763086
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,19.666895
TR32,19.059992
TR33,17.015497
HR03,16.842829
HR02,17.20083
HU11,17.15368
HU12,17.065027
HU21,16.766169
HU22,16.643549
PT16,16.008875
PT17,17.058008
FRF2,14.151575
FRF3,13.979975
FRG0,14.508814
FRH0,13.435022
FRI1,15.779627
FRI2,14.07168
ITC4,14.77569
ITF1,15.480463
ITF2,16.404688
ITF3,16.95968
ITF4,18.805292
ITF5,17.460566
ITF6,17.642328
ITG1,18.559168
LT01,13.6784
LT02,13.437189
LU00,12.971338
PL22,14.326868
PL41,14.612024
PL42,13.572962
PT18,17.9508
PT20,-273.15
