nuts,February Mean Temperature (°C) ensemble median - RCP4.5 - (2011 - 2040)
DE50,2.9418273
DE60,2.4955688
DE71,2.1829162
DE72,1.5285584
DE73,1.383722
DE80,1.9382874
DE91,1.7065064
BG41,1.1455628
BG42,2.6877685
CH01,-3.6615357
AT32,-3.849524
AT33,-5.474982
AT34,-4.007422
BE10,4.2939696
BE23,4.585962
BE24,4.1910644
BE25,4.992212
BE31,3.9486327
BE32,4.125543
BE33,2.4927917
BE34,2.2107787
BE35,3.1069884
BG31,2.2936645
BG32,2.4181762
BG33,2.8853087
BG34,3.7278686
DE92,2.6068969
DE93,2.5762877
DE94,3.1858153
CZ07,-0.11405029
CZ08,-0.30316773
AL01,3.9495788
AL02,5.205316
AL03,5.895471
AT11,1.8349243
AT12,0.80700076
AT13,1.9941956
AT21,-2.5440125
AT22,-1.5648254
AT31,-0.19171754
DK05,2.4236083
BE21,4.2967772
BE22,3.8598876
ES43,9.304377
ES51,6.7990966
ES52,9.515131
ES53,12.69961
ES61,10.314295
ES62,10.39303
ES63,13.935389
ES64,14.32165
CH02,-1.0714782
CH03,2.2413268
CH04,1.6045777
CH05,-4.1850038
CH06,-2.329657
CH07,-1.6372131
CY00,13.02096
CZ01,1.2219177
CZ02,0.7534729
CZ03,-0.07510986
CZ04,-0.06506958
CZ05,-0.16312256
CZ06,0.6914307
DE40,1.8856446
EL53,3.1009765
EL54,5.9156737
EL61,7.2538695
EL62,12.010584
EL63,8.409876
ES70,17.329248
ITC1,0.82869875
ITC2,-5.765784
DE11,1.6144959
DE12,2.1693664
DE13,1.8812805
DE14,1.0604798
DE21,0.4680725
DE22,0.9226624
DE23,0.43914184
DE24,0.5582825
DE25,1.2863098
DE26,1.5598389
DE27,0.20354614
DE30,1.9364868
EL42,13.27981
LV00,-2.797522
ME00,2.2663817
MK00,2.6180663
MT00,14.180536
NL11,3.3908324
NL12,4.0822387
EL64,8.150293
EL65,9.505915
ES11,8.182215
ES12,7.100061
ES13,7.3127685
ES21,7.7658935
ES22,6.3125854
ES23,5.441797
ES24,5.902704
ES30,6.3186584
IE05,6.493707
IE06,5.8705077
IS00,-1.7864746
ITC3,6.2726684
FI19,-5.217871
FI1B,-4.2125
FI1C,-4.6912293
DEA1,3.6353393
DEA2,2.6216063
DEA3,3.2878966
DEA4,2.4658446
DEA5,1.9852844
DEB1,2.0770202
DEB2,1.8483826
DEB3,2.667749
DEC0,2.4583678
DED2,1.0724121
DED4,0.37920532
DED5,2.1276793
DEE0,2.0180297
DEF0,2.4216552
DEG0,0.98595583
DK01,1.8622681
DK02,2.0494933
DK03,2.192926
DK04,2.1719604
ES41,5.537988
ES42,7.1081786
HU23,2.437921
HU31,1.2414185
HU32,1.8338257
HU33,2.2472472
IE04,6.1387877
EE00,-3.4953065
EL30,11.008417
EL41,11.393702
EL43,12.23028
EL51,5.6415343
EL52,6.4781737
FI20,-1.2854675
FR10,4.685266
FRB0,5.12063
FRC1,4.184076
FRC2,3.0179687
FRD1,5.8128295
FRD2,5.1217284
FRE1,4.7560363
FRE2,4.4780517
FRF1,2.7012877
NL13,3.342279
NL21,3.4851928
NL22,3.7791076
NL23,3.9012694
NL31,3.9847655
NL32,4.4773192
ITG2,10.0047245
ITH1,-5.749274
ITH2,-2.3518434
FRI3,6.5365233
FRJ1,5.606134
FRJ2,5.0468383
FRK1,3.4422545
FRK2,1.7186524
FRL0,3.9127746
FRM0,9.149439
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,8.755915
TR32,7.9109435
TR33,4.1630187
HR03,5.9902587
HR02,2.9973998
HU11,2.0528197
HU12,1.9273316
HU21,2.042993
HU22,2.356439
PT16,9.69253
PT17,12.408655
FRF2,3.673242
FRF3,2.880426
FRG0,6.237634
FRH0,7.1443114
FRI1,7.1579833
FRI2,4.800073
ITC4,1.8849732
ITF1,4.805017
ITF2,6.044641
ITF3,7.8072143
ITF4,9.615442
ITF5,7.149011
ITF6,9.564356
ITG1,11.27508
LT01,-2.833075
LT02,-2.2131104
LU00,1.9978577
PL22,-0.05548706
PL41,0.82836306
PL42,1.1404663
PT18,11.176966
PT20,-273.15
PT30,-273.15
RO11,-0.54981077
RO12,-1.7545837
RO21,-1.3563904
RO22,1.5913941
RO31,1.3740784
RO32,1.9517456
ITH3,2.838922
ITH4,2.0015807
ITH5,5.0880065
ITI1,6.9342895
ITI2,4.9374022
ITI3,5.9512877
ITI4,6.560968
LI00,-2.2892518
FI1D,-8.250158
TR82,2.192926
TR83,2.5737548
TR90,-0.6807617
TRA1,-4.789038
TRA2,-5.1603456
PL43,1.4456421
PL51,0.46779785
PL52,0.65053713
PL61,0.27669677
PL62,-0.939093
PL63,0.20668945
PL71,0.2767578
PL72,-0.0044311523
PL81,-0.4357361
PL82,-0.45145264
PL84,-1.5519165
PL91,-0.0875
PL92,-0.33676758
PT11,7.8453918
PT15,12.661036
TRB1,-1.261084
TRB2,-3.1068788
TRC1,4.7030272
RS12,3.058618
RS21,1.9099365
RS22,1.9085327
SE11,-0.8032898
SE12,-1.5867065
NL33,4.465387
NL34,4.723352
NL41,4.147424
NL42,3.8413024
PL21,-0.6229309
UKM6,5.159845
TR22,6.889215
TRC2,5.235742
TRC3,5.6988463
UKC1,4.493341
UKC2,4.568109
UKD1,4.261041
UKD3,4.5234923
UKD4,4.6592345
UKD6,4.9746947
UKD7,5.5019774
UKE1,5.110101
UKE2,4.396753
UKE3,4.638513
RO41,1.567804
RO42,1.3137757
RS11,3.5105224
TR41,4.198236
TR42,3.8777404
TR51,2.7489257
TR52,2.2170043
TR61,4.9518676
TR62,5.3617187
TR63,4.6331115
TR71,2.1694884
TR72,-0.9469665
TR81,3.2350097
UKK1,5.3176513
UKK2,6.0496154
UKK3,7.627008
UKK4,6.4227233
UKL1,5.735498
UKL2,4.6838927
UKM5,4.193811
UKM7,3.6727538
UKM8,4.61062
UKM9,4.7393737
UKN0,5.786798
SE21,-0.22977296
SE22,0.7008301
SE23,-0.32858887
SE31,-3.7677064
SE32,-5.7015443
SE33,-8.517889
SI03,1.7342774
SI04,1.6966187
SK01,1.9652954
SK02,1.2474304
SK03,-1.1298279
SK04,-0.74597776
TR10,6.8772216
TR21,5.9958434
UKE4,4.2961974
UKF1,4.607904
UKF2,4.8552184
UKF3,5.0579467
UKG1,4.8999267
UKG2,4.660669
UKG3,4.8939147
UKH1,5.1645446
UKH2,5.023309
UKH3,5.2910094
UKI3,5.249536
UKI4,5.249536
UKI5,5.177728
UKI6,5.203851
UKI7,5.149896
UKJ1,4.999292
UKJ2,5.7799926
UKJ3,5.78219
UKJ4,5.604364
NO09,-2.4987855
NO0A,-1.6637939
NO0B,-2.682715
HR05,3.0813537
HR06,2.8809752
NO02,-6.564551
NO06,-3.405249
NO07,-6.209021
NO08,-4.2820497
