nuts,September Mean Temperature (°C) ensemble median - RCP4.5 - (2041 - 2070)
DE50,15.4813175
DE60,15.48263
DE71,15.76211
DE72,14.838465
DE73,14.650263
DE80,15.465479
DE91,15.071619
BG41,17.071924
BG42,18.809046
CH01,11.593958
AT32,11.182001
AT33,9.789942
AT34,11.110163
BE10,16.155756
BE23,16.287073
BE24,16.093622
BE25,16.468744
BE31,15.858881
BE32,15.893946
BE33,14.819605
BE34,14.734278
BE35,15.21908
BG31,19.388514
BG32,19.50036
BG33,19.650599
BG34,20.044764
DE92,15.492762
DE93,15.552515
DE94,15.620264
CZ07,14.92898
CZ08,14.736261
AL01,19.109339
AL02,20.143824
AL03,20.463373
AT11,16.994349
AT12,15.574121
AT13,16.933191
AT21,12.860193
AT22,13.384577
AT31,14.5238285
DK05,14.841913
BE21,16.18133
BE22,15.934534
ES43,23.865717
ES51,20.050013
ES52,22.412653
ES53,24.869532
ES61,23.845362
ES62,23.371027
ES63,22.476343
ES64,25.326288
CH02,13.225946
CH03,15.690393
CH04,15.376856
CH05,11.206598
CH06,12.328699
CH07,13.549067
CY00,27.313715
CZ01,15.933191
CZ02,15.383356
CZ03,14.494165
CZ04,14.34057
CZ05,14.53042
CZ06,15.534937
DE40,15.8554325
EL53,18.965174
EL54,20.498499
EL61,22.04455
EL62,24.53335
EL63,22.586817
ES70,23.046717
ITC1,15.977503
ITC2,10.506922
DE11,15.355951
DE12,15.848169
DE13,15.494837
DE14,14.851007
DE21,14.666834
DE22,15.342493
DE23,14.85232
DE24,14.662867
DE25,15.280542
DE26,15.281031
DE27,14.143854
DE30,15.929895
EL42,24.905817
LV00,13.568262
ME00,17.19082
MK00,18.648401
MT00,25.965235
NL11,15.628931
NL12,16.23504
EL64,22.67364
EL65,23.740808
ES11,18.28811
ES12,17.261866
ES13,17.981897
ES21,18.674738
ES22,18.923426
ES23,18.141779
ES24,19.643427
ES30,21.521204
IE05,14.22558
IE06,14.067347
IS00,6.860376
ITC3,19.725702
FI19,11.257837
FI1B,12.720972
FI1C,12.301538
DEA1,15.973047
DEA2,15.194422
DEA3,15.77862
DEA4,15.29809
DEA5,14.799067
DEB1,15.090845
DEB2,14.709467
DEB3,16.198603
DEC0,15.630915
DED2,15.26684
DED4,14.466913
DED5,16.063532
DEE0,15.709253
DEF0,15.374353
DEG0,14.830622
DK01,15.378626
DK02,15.542078
DK03,15.044092
DK04,14.756861
ES41,18.886835
ES42,22.075495
HU23,18.27807
HU31,17.767756
HU32,18.79696
HU33,18.807795
IE04,13.869989
EE00,13.403315
EL30,25.090876
EL41,24.027887
EL43,24.771723
EL51,21.374537
EL52,21.971186
FI20,14.233942
FR10,16.888086
FRB0,17.485834
FRC1,17.236353
FRC2,16.359034
FRD1,16.513483
FRD2,16.377558
FRE1,16.206385
FRE2,16.316156
FRF1,16.14416
NL13,15.430384
NL21,15.610834
NL22,15.778681
NL23,15.922693
NL31,15.829981
NL32,16.480433
ITG2,22.806269
ITH1,10.026087
ITH2,13.367792
FRI3,18.55517
FRJ1,18.528772
FRJ2,17.83822
FRK1,16.0888
FRK2,15.665766
FRL0,17.899775
FRM0,21.678492
FRY1,-273.15
