nuts,March Mean Temperature (°C) ensemble median - RCP4.5 - (2071 - 2100)
DE50,6.6346984
DE60,6.008783
DE71,6.83761
DE72,6.074426
DE73,5.8271422
DE80,5.552484
DE91,5.9521422
BG41,6.4623656
BG42,7.397638
CH01,1.4050232
AT32,1.0006958
AT33,-0.39072266
AT34,1.0632569
BE10,8.065332
BE23,8.202143
BE24,8.018152
BE25,8.310816
BE31,7.832147
BE32,7.915582
BE33,6.7347045
BE34,6.6083617
BE35,7.2357726
BG31,8.135096
BG32,8.032465
BG33,7.7832885
BG34,8.228754
DE92,6.5374694
DE93,6.363031
DE94,6.8366637
CZ07,4.943048
CZ08,4.7326903
AL01,8.356104
AL02,9.508478
AL03,9.775934
AT11,7.1837707
AT12,5.7940307
AT13,7.104364
AT21,2.7391906
AT22,3.4896483
AT31,4.983545
DK05,5.119348
BE21,8.047297
BE22,7.830133
ES43,12.996912
ES51,10.310602
ES52,12.70553
ES53,14.667994
ES61,13.663233
ES62,13.591333
ES63,15.429468
ES64,16.532251
CH02,4.0643554
CH03,7.125238
CH04,6.679376
CH05,0.9678284
CH06,2.7525268
CH07,3.4292846
CY00,16.140589
CZ01,5.9927306
CZ02,5.480249
CZ03,4.828424
CZ04,4.7558837
CZ05,4.6670165
CZ06,5.6122985
DE40,6.1616454
EL53,7.995874
EL54,9.731287
EL61,11.066217
EL62,14.197168
EL63,11.63122
ES70,18.020441
ITC1,5.936273
ITC2,-0.66867673
DE11,6.487634
DE12,6.9862914
DE13,6.8206725
DE14,6.06228
DE21,5.524133
DE22,6.025232
DE23,5.544458
DE24,5.4307494
DE25,6.2197814
DE26,6.3079467
DE27,5.1736083
DE30,6.2481627
EL42,15.5437565
LV00,2.6980224
ME00,6.814752
MK00,7.8149047
MT00,15.725428
NL11,6.896539
NL12,7.0387816
EL64,11.708826
EL65,12.597925
ES11,10.638514
ES12,9.628321
ES13,9.894281
ES21,10.457605
ES22,9.715815
ES23,8.831568
ES24,9.681391
ES30,10.2833805
IE05,7.965509
IE06,7.663049
IS00,0.3788086
ITC3,10.17016
FI19,0.38692626
FI1B,0.9376465
FI1C,0.80455935
DEA1,7.6555114
DEA2,6.856561
DEA3,7.303827
DEA4,6.5493712
DEA5,6.2796874
DEB1,6.487909
DEB2,6.287042
DEB3,7.2691894
DEC0,6.9790893
DED2,5.6597533
DED4,5.0729003
DED5,6.4733214
DEE0,6.2148986
DEF0,5.6865172
DEG0,5.516229
DK01,4.6334777
DK02,4.87655
DK03,5.104791
DK04,4.9387145
ES41,9.060205
ES42,10.971735
HU23,8.033258
HU31,7.22796
HU32,8.060572
HU33,8.092463
IE04,7.828424
EE00,1.8713623
EL30,14.008997
EL41,13.904352
EL43,14.720514
EL51,9.73321
EL52,10.824152
FI20,1.8496338
FR10,8.683619
FRB0,9.107935
FRC1,8.632685
FRC2,7.861688
FRD1,8.764124
FRD2,8.471888
FRE1,8.198175
FRE2,8.302881
FRF1,7.417169
NL13,7.046228
NL21,7.2552123
NL22,7.5692077
NL23,7.417047
NL31,7.623285
NL32,7.345697
ITG2,12.552973
ITH1,-0.34293213
ITH2,3.2065978
FRI3,10.082026
FRJ1,9.4153385
FRJ2,8.728846
FRK1,7.707086
FRK2,6.4242187
FRL0,8.1244755
FRM0,11.806849
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,12.213251
TR32,11.676111
TR33,8.834375
HR03,9.905695
HR02,8.543329
HU11,7.674127
HU12,7.626825
HU21,7.554071
HU22,7.7965026
PT16,12.616724
PT17,14.559534
FRF2,8.021967
FRF3,7.383905
FRG0,9.5133
FRH0,9.430872
FRI1,10.644495
FRI2,8.695826
ITC4,7.503534
ITF1,8.75091
ITF2,9.795069
ITF3,11.068293
ITF4,12.743341
ITF5,10.788996
ITF6,12.344049
ITG1,13.602594
LT01,2.8897033
LT02,3.123468
LU00,6.448755
PL22,5.0679564
PL41,5.256891
PL42,5.131616
PT18,14.287195
PT20,-273.15
PT30,-273.15
RO11,5.654474
RO12,4.362787
RO21,4.683313
RO22,7.37594
RO31,7.447412
RO32,8.296106
ITH3,7.8922057
ITH4,6.9715514
