nuts,Annual Mean Temperature (°C) ensemble median - RCP8.5 - (2011 - 2040)
DE50,10.324945
DE60,10.075281
DE71,10.290583
DE72,9.489313
DE73,9.293085
DE80,9.864862
DE91,9.7297
BG41,10.379175
BG42,11.950464
CH01,5.0195556
AT32,4.8161254
AT33,3.2343688
AT34,4.854547
BE10,11.205133
BE23,11.322718
BE24,11.165033
BE25,11.426996
BE31,10.909357
BE32,10.943842
BE33,9.855951
BE34,9.680384
BE35,10.271265
BG31,12.3718815
BG32,12.513178
BG33,12.67074
BG34,13.094599
DE92,10.288507
DE93,10.278315
DE94,10.442286
CZ07,9.19964
CZ08,9.069635
AL01,12.612726
AL02,13.591547
AL03,14.014826
AT11,11.0125675
AT12,9.752527
AT13,11.110498
AT21,6.412103
AT22,7.279779
AT31,8.57284
DK05,9.493708
BE21,11.293024
BE22,11.0463505
ES43,16.589441
ES51,13.802088
ES52,16.22793
ES53,18.723017
ES61,17.222132
ES62,17.062922
ES63,18.162195
ES64,19.763544
CH02,7.3310485
CH03,10.291132
CH04,9.884577
CH05,4.737146
CH06,6.249719
CH07,6.971399
CY00,20.522089
CZ01,10.07522
CZ02,9.560175
CZ03,8.709284
CZ04,8.649103
CZ05,8.813684
CZ06,9.741755
DE40,10.301935
EL53,12.125727
EL54,13.995783
EL61,15.525782
EL62,18.439783
EL63,16.123743
ES70,19.80041
ITC1,9.307886
ITC2,3.2275634
DE11,9.926722
DE12,10.392237
DE13,10.080683
DE14,9.382227
DE21,8.976557
DE22,9.656763
DE23,9.202509
DE24,9.100306
DE25,9.797449
DE26,9.831324
DE27,8.573053
DE30,10.3936405
EL42,19.18017
LV00,7.60885
ME00,10.896509
MK00,11.833521
MT00,19.89596
NL11,10.419397
NL12,10.787256
EL64,16.282068
EL65,17.218195
ES11,13.01922
ES12,12.078058
ES13,12.553949
ES21,13.140345
ES22,12.832544
ES23,11.95434
ES24,13.194025
ES30,14.150171
IE05,10.563898
IE06,10.271692
IS00,2.8176208
ITC3,13.6765995
FI19,5.394586
FI1B,6.517877
FI1C,6.181604
DEA1,11.030024
DEA2,10.135523
DEA3,10.772608
DEA4,10.144556
DEA5,9.668848
DEB1,9.823847
DEB2,9.497553
DEB3,10.691919
DEC0,10.26391
DED2,9.733301
DED4,8.873407
DED5,10.471338
DEE0,10.207972
DEF0,9.909845
DEG0,9.225977
DK01,9.481989
DK02,9.726709
DK03,9.576929
DK04,9.387079
ES41,12.280603
ES42,14.892176
HU23,12.107264
HU31,11.357172
HU32,12.168146
HU33,12.349482
IE04,10.283442
EE00,7.2540526
EL30,18.658686
EL41,18.145319
EL43,18.90713
EL51,14.534723
EL52,15.241541
FI20,7.4726806
FR10,11.689569
FRB0,12.11355
