nuts,February Mean Temperature (°C) ensemble median - RCP8.5 - (2011 - 2040)
DE50,2.7484984
DE60,2.2921386
DE71,1.9968811
DE72,1.3000122
DE73,1.0960633
DE80,1.7364136
DE91,1.4755493
BG41,1.3185364
BG42,2.7864928
CH01,-3.96073
AT32,-3.8977113
AT33,-5.6641603
AT34,-4.196326
BE10,4.0628295
BE23,4.369745
BE24,3.9696593
BE25,4.7426696
BE31,3.7049499
BE32,3.8715148
BE33,2.2248473
BE34,1.9365784
BE35,2.8428588
BG31,2.2742248
BG32,2.4786925
BG33,3.017755
BG34,3.9084716
DE92,2.3533568
DE93,2.4035583
DE94,3.0252929
CZ07,0.18398437
CZ08,-0.020422364
AL01,4.121881
AL02,5.552362
AL03,6.2613463
AT11,2.0108275
AT12,0.96865237
AT13,2.1919188
AT21,-2.4697633
AT22,-1.3944458
AT31,-0.09946289
DK05,2.3818908
BE21,4.1040893
BE22,3.6361632
ES43,9.147821
ES51,6.614984
ES52,9.37414
ES53,12.663691
ES61,10.177271
ES62,10.220758
ES63,13.858789
ES64,14.191675
CH02,-1.3481201
CH03,1.9994751
CH04,1.402948
CH05,-4.4710755
CH06,-2.5002503
CH07,-1.8762573
CY00,13.203608
CZ01,1.1937805
CZ02,0.7737671
CZ03,-0.15198365
CZ04,-0.12622681
CZ05,0.06194458
CZ06,0.86724246
DE40,1.7611328
EL53,3.3962035
EL54,6.1934447
EL61,7.416864
EL62,12.152155
EL63,8.600336
ES70,17.362146
ITC1,0.6480347
ITC2,-6.040869
DE11,1.3436524
DE12,1.8838745
DE13,1.4891602
DE14,0.72554934
DE21,0.3076416
DE22,0.94469607
DE23,0.37029418
DE24,0.37575683
DE25,1.1099793
DE26,1.3530518
DE27,-0.0730957
DE30,1.7885071
EL42,13.390924
LV00,-2.904242
ME00,2.4440246
MK00,2.863855
MT00,14.202845
NL11,3.2958922
NL12,3.9904113
EL64,8.3398075
EL65,9.7095585
ES11,8.046808
ES12,7.043329
ES13,7.244806
ES21,7.661615
ES22,6.2407165
ES23,5.4225707
ES24,5.8049865
ES30,6.2362914
IE05,6.470575
IE06,5.8648925
IS00,-1.7651428
ITC3,6.192468
FI19,-5.402472
FI1B,-4.223212
FI1C,-4.750067
DEA1,3.4085326
DEA2,2.2966857
DEA3,3.116693
DEA4,2.1968627
DEA5,1.6456848
DEB1,1.7555176
DEB2,1.523584
DEB3,2.471582
DEC0,2.2193236
DED2,1.0841614
DED4,0.2762085
DED5,1.9989868
DEE0,1.7879883
DEF0,2.26864
DEG0,0.799585
DK01,1.7896668
DK02,2.0085692
DK03,2.0935302
DK04,2.0265746
ES41,5.4477477
ES42,6.980737
HU23,2.5389953
HU31,1.7283875
HU32,2.2012572
HU33,2.437921
IE04,6.125665
EE00,-3.2884889
EL30,11.206629
EL41,11.555597
EL43,12.393915
EL51,5.771173
EL52,6.6559386
FI20,-1.1497864
FR10,4.488672
FRB0,4.950769
FRC1,4.025354
FRC2,2.7751098
FRD1,5.665857
FRD2,4.968408
FRE1,4.53396
FRE2,4.259149
