nuts,December Mean Temperature (°C) ensemble median - RCP8.5 - (2011 - 2040)
DE50,3.609918
DE60,3.3999572
DE71,2.5882201
DE72,2.0120482
DE73,1.9285523
DE80,2.8129516
DE91,2.4111876
BG41,0.8469788
BG42,2.4938903
CH01,-3.3454957
AT32,-3.8975587
AT33,-5.5448976
AT34,-3.6989808
BE10,4.7670836
BE23,5.140741
BE24,4.6715026
BE25,5.645929
BE31,4.4035583
BE32,4.562341
BE33,3.1411376
BE34,2.754846
BE35,3.5842528
BG31,1.5085999
BG32,1.980127
BG33,3.0137877
BG34,3.7387328
DE92,3.2435546
DE93,3.314569
DE94,3.9980407
CZ07,-0.22626343
CZ08,-0.22720948
AL01,4.0505614
AL02,5.00036
AL03,5.896356
AT11,1.0917603
AT12,0.4711853
AT13,1.4196411
AT21,-2.7586732
AT22,-1.8967956
AT31,-0.18585816
DK05,4.135919
BE21,4.835809
BE22,4.3973937
ES43,8.722712
ES51,6.6913085
ES52,9.345423
ES53,14.221033
ES61,10.087946
ES62,10.105005
ES63,15.013056
ES64,14.4422245
CH02,-0.68295896
CH03,2.4619079
CH04,2.0411315
CH05,-3.857245
CH06,-1.6979431
CH07,-1.4581054
CY00,14.734888
CZ01,1.5422302
CZ02,0.99865115
CZ03,0.20327148
CZ04,0.34765014
CZ05,-0.05939331
CZ06,0.31554565
DE40,2.4497313
EL53,2.6536803
EL54,5.9727416
EL61,7.5163207
EL62,13.414331
EL63,9.019342
ES70,19.052118
ITC1,0.73473513
ITC2,-5.6112123
DE11,2.061792
DE12,2.5729918
DE13,2.2834716
DE14,1.5125366
DE21,0.5596558
DE22,1.0544373
DE23,0.8081299
DE24,1.080072
DE25,1.7062317
DE26,2.0042052
DE27,0.497583
DE30,2.4516234
EL42,14.890589
LV00,-0.7927917
ME00,2.6299376
MK00,1.9623657
MT00,16.087488
NL11,4.360315
NL12,5.532129
EL64,8.841089
EL65,10.572779
ES11,8.545923
ES12,7.7456603
ES13,7.818231
ES21,8.084192
ES22,6.240686
ES23,5.429132
ES24,5.52572
ES30,5.6625
IE05,7.260431
IE06,6.465997
IS00,-1.4531616
ITC3,7.0963073
FI19,-3.0362916
FI1B,-0.8314575
FI1C,-1.7809814
DEA1,4.2681518
DEA2,3.26156
DEA3,4.0029845
DEA4,3.184564
DEA5,2.6890502
DEB1,2.5231261
DEB2,2.285089
DEB3,3.0428405
DEC0,2.7300963
DED2,1.5499817
DED4,0.91185915
DED5,2.569879
DEE0,2.5303283
DEF0,3.5440001
DEG0,1.5547119
DK01,3.6267638
DK02,3.7455688
DK03,3.6025634
DK04,3.7147155
ES41,5.244104
ES42,6.416925
HU23,1.951532
HU31,0.45717773
HU32,1.1960083
HU33,1.7364746
IE04,6.8368773
EE00,-0.57410276
EL30,12.272852
EL41,12.820124
EL43,13.928919
EL51,5.855676
EL52,6.114801
FI20,2.4157958
FR10,4.987451
FRB0,5.3915954
FRC1,4.269769
FRC2,3.0779662
FRD1,6.4618773
FRD2,5.6341796
FRE1,5.37594
FRE2,4.9033446
FRF1,3.0008178
NL13,4.1389403
NL21,4.2604613
NL22,4.4528136
NL23,4.8575683
NL31,4.724817
NL32,5.9601684
ITG2,11.094019
ITH1,-5.916388
ITH2,-2.1857667
FRI3,6.703241
FRJ1,5.9526916
FRJ2,5.175134
FRK1,3.612146
FRK2,1.6301819
FRL0,4.2110534
FRM0,10.321924
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
