nuts,March Mean Temperature (°C) ensemble median - RCP8.5 - (2041 - 2070)
DE50,6.891443
DE60,6.3082824
DE71,7.240442
DE72,6.4332824
DE73,6.1933837
DE80,5.8688293
DE91,6.397943
BG41,6.741449
BG42,7.5862975
CH01,1.4424073
AT32,1.4281555
AT33,-0.18048707
AT34,1.6083618
BE10,8.222956
BE23,8.31576
BE24,8.177912
BE25,8.349176
BE31,7.9760375
BE32,8.03631
BE33,6.8924193
BE34,6.7356505
BE35,7.400537
BG31,8.400415
BG32,8.325373
BG33,7.877435
BG34,8.433405
DE92,6.8855224
DE93,6.6652465
DE94,7.070062
CZ07,5.600702
CZ08,5.478235
AL01,8.471094
AL02,9.554224
AL03,9.804773
AT11,7.5028014
AT12,6.217035
AT13,7.4502807
AT21,3.2344604
AT22,3.9141173
AT31,5.058435
DK05,5.1627135
BE21,8.226038
BE22,8.021784
ES43,12.8836
ES51,10.229425
ES52,12.566248
ES53,14.555475
ES61,13.613459
ES62,13.380426
ES63,15.474482
ES64,16.49914
CH02,4.105951
CH03,7.116449
CH04,6.679437
CH05,1.4229065
CH06,2.934564
CH07,3.35354
CY00,16.185541
CZ01,6.512811
CZ02,6.1163573
CZ03,5.287683
CZ04,5.2553344
CZ05,5.313684
CZ06,6.1743407
DE40,6.5194335
EL53,7.880487
EL54,9.724329
EL61,11.119257
EL62,14.287073
EL63,11.671381
ES70,18.24203
ITC1,5.837274
ITC2,-0.73255
DE11,6.7143188
DE12,7.2248473
DE13,6.7661376
DE14,6.1004577
DE21,5.6384826
DE22,6.3113036
DE23,5.8566527
DE24,5.8023314
DE25,6.5711303
DE26,6.7076964
DE27,5.3023314
DE30,6.5747924
EL42,15.471521
LV00,3.0042052
ME00,6.8111815
MK00,7.7751403
MT00,15.696558
NL11,7.0742736
NL12,7.1552672
EL64,11.742243
EL65,12.663385
ES11,10.421564
ES12,9.398767
ES13,9.714777
ES21,10.196924
ES22,9.622492
ES23,8.731073
ES24,9.605555
ES30,10.153437
IE05,7.9737487
IE06,7.6308227
IS00,-0.20194092
ITC3,9.976496
FI19,0.3442627
FI1B,0.9683777
FI1C,0.74776614
DEA1,7.92016
DEA2,7.1084533
DEA3,7.5588317
DEA4,6.904657
DEA5,6.593103
DEB1,6.78634
DEB2,6.456079
DEB3,7.624933
DEC0,7.2450805
DED2,6.2781615
DED4,5.548883
DED5,6.9237304
DEE0,6.652704
DEF0,5.932153
DEG0,5.945276
DK01,4.7040343
DK02,5.04635
DK03,5.249597
DK04,5.0551696
ES41,8.858576
ES42,10.877558
HU23,8.279291
HU31,7.6329284
HU32,8.207636
HU33,8.369501
IE04,7.760858
EE00,2.0944152
EL30,14.051783
EL41,13.980371
EL43,14.774378
EL51,9.777857
EL52,10.857874
FI20,1.7000366
FR10,8.665369
FRB0,8.9573
FRC1,8.59112
FRC2,7.641626
FRD1,8.579981
FRD2,8.382654
FRE1,8.247339
