nuts,February Mean Temperature (°C) ensemble median - RCP4.5 - (2041 - 2070)
DE50,3.366571
DE60,2.9295287
DE71,2.8001952
DE72,2.0743346
DE73,1.9196717
DE80,2.4099975
DE91,2.3046813
BG41,2.5287414
BG42,3.764093
CH01,-2.8627992
AT32,-3.1198182
AT33,-4.6680055
AT34,-3.135901
BE10,4.7992187
BE23,4.969171
BE24,4.7123656
BE25,5.2845397
BE31,4.4946227
BE32,4.595819
BE33,3.126947
BE34,2.8367858
BE35,3.7310424
BG31,3.5801024
BG32,3.7786498
BG33,4.0816283
BG34,4.6991515
DE92,3.099481
DE93,3.0622191
DE94,3.6912475
CZ07,0.82348025
CZ08,0.62487185
AL01,4.828546
AL02,6.21969
AL03,6.896936
AT11,2.6046386
AT12,1.3719727
AT13,2.745813
AT21,-1.7635559
AT22,-0.87741697
AT31,0.37642822
DK05,2.8593078
BE21,4.7990355
BE22,4.4864135
ES43,9.656549
ES51,7.225122
ES52,9.861475
ES53,13.003138
ES61,10.662775
ES62,10.751734
ES63,14.223139
ES64,14.646936
CH02,-0.27982178
CH03,2.8187194
CH04,2.259729
CH05,-3.4212403
CH06,-1.4457763
CH07,-1.105719
CY00,14.170679
CZ01,1.9840637
CZ02,1.470575
CZ03,0.49813232
CZ04,0.6362244
CZ05,0.5923096
CZ06,1.3090149
DE40,2.4637084
EL53,4.1871276
EL54,6.9610534
EL61,8.034296
EL62,12.552088
EL63,9.341028
ES70,17.580683
ITC1,1.362085
ITC2,-5.145575
DE11,2.1104064
DE12,2.7119384
DE13,2.4105163
DE14,1.527124
DE21,0.9726502
DE22,1.471582
DE23,1.0454651
DE24,1.1675354
DE25,1.8426148
DE26,2.1240478
DE27,0.7315918
DE30,2.4957519
EL42,13.982904
LV00,-2.4023805
ME00,3.299005
MK00,3.7140746
MT00,14.845118
NL11,3.9155517
NL12,4.5192504
EL64,9.049982
EL65,10.435541
ES11,8.427301
ES12,7.435785
ES13,7.680658
ES21,8.033564
ES22,6.675958
ES23,5.8596435
ES24,6.337335
ES30,6.7436156
IE05,6.717859
IE06,6.1374145
IS00,-0.81815183
ITC3,6.9571166
FI19,-4.9272523
FI1B,-3.6882997
FI1C,-4.19245
DEA1,4.2095885
DEA2,3.1693664
DEA3,3.8567443
DEA4,3.0083556
DEA5,2.4441466
DEB1,2.5997252
DEB2,2.3957152
DEB3,3.2941833
DEC0,3.0831237
DED2,1.746759
DED4,1.0101258
DED5,2.7011352
DEE0,2.5859313
DEF0,2.908502
DEG0,1.5658509
DK01,2.357782
DK02,2.5998473
DK03,2.7218566
DK04,2.6258178
ES41,5.8758483
ES42,7.525995
HU23,3.547357
HU31,2.8147216
HU32,3.386438
HU33,3.6773314
IE04,6.497949
EE00,-2.846045
EL30,11.787897
EL41,12.050379
