nuts,December Mean Temperature (°C) ensemble median - RCP8.5 - (2071 - 2100)
DE50,6.2277465
DE60,6.044458
DE71,5.3120055
DE72,4.738275
DE73,4.6256957
DE80,5.5260253
DE91,5.091577
BG41,3.8689208
BG42,5.3894897
CH01,-0.4777588
AT32,-0.6677002
AT33,-2.360022
AT34,-0.76035154
BE10,7.146417
BE23,7.426721
BE24,7.0898376
BE25,7.898004
BE31,6.837274
BE32,6.9643493
BE33,5.7122436
BE34,5.4019103
BE35,6.1462035
BG31,4.586633
BG32,4.9813476
BG33,5.939111
BG34,6.518396
DE92,5.8893065
DE93,5.984796
DE94,6.512323
CZ07,3.1447387
CZ08,2.9833312
AL01,7.1441894
AL02,8.1401615
AL03,8.895014
AT11,4.4377685
AT12,3.6023192
AT13,4.6443114
AT21,0.4369751
AT22,1.229364
AT31,2.687738
DK05,6.580011
BE21,7.19964
BE22,6.8860106
ES43,11.21316
ES51,9.392481
ES52,11.970667
ES53,16.612116
ES61,12.705866
ES62,12.818903
ES63,17.01626
ES64,16.681726
CH02,2.3271117
CH03,5.44082
CH04,5.0830626
CH05,-0.8365234
CH06,1.3384644
CH07,1.6690308
CY00,17.24444
CZ01,4.4940124
CZ02,4.0076537
CZ03,3.1278014
CZ04,3.2549376
CZ05,3.1137938
CZ06,3.6618896
DE40,5.192102
EL53,5.7699523
EL54,8.913538
EL61,10.399775
EL62,15.708002
EL63,11.875086
ES70,20.754877
ITC1,3.5306945
ITC2,-2.7430787
DE11,4.690637
DE12,5.2528014
DE13,5.034906
DE14,4.3456054
DE21,3.4633117
DE22,3.9018188
DE23,3.592523
DE24,3.8377013
DE25,4.391229
DE26,4.722467
DE27,3.3969665
DE30,5.179712
EL42,17.28573
LV00,2.3139281
ME00,5.443048
MK00,4.9808593
MT00,18.74508
NL11,6.779138
NL12,7.891931
EL64,11.695398
EL65,13.250208
ES11,10.75149
ES12,10.285791
ES13,10.328547
ES21,10.543299
ES22,8.809107
ES23,7.988458
ES24,8.1722355
ES30,8.261499
IE05,9.241541
IE06,8.404169
IS00,1.6925293
ITC3,9.77923
FI19,0.14321288
FI1B,1.8675171
FI1C,1.1698548
DEA1,6.7359557
DEA2,5.848535
DEA3,6.477594
DEA4,5.780481
DEA5,5.2862487
DEB1,5.210077
DEB2,4.990442
DEB3,5.7082763
DEC0,5.535394
DED2,4.401117
DED4,3.7304015
DED5,5.349481
DEE0,5.2668395
DEF0,6.212793
DEG0,4.266351
DK01,6.268396
DK02,6.4090514
DK03,6.2651916
DK04,6.2369933
ES41,7.851587
ES42,9.149286
HU23,4.928674
HU31,3.9504943
HU32,4.32879
HU33,4.708154
IE04,8.670008
EE00,2.477014
EL30,14.819178
EL41,15.302668
EL43,16.269495
EL51,8.551081
EL52,8.880945
FI20,4.9301085
FR10,7.5667663
FRB0,8.036615
FRC1,7.209436
FRC2,6.17135
FRD1,8.788355
FRD2,8.034632
FRE1,7.647424
FRE2,7.2902465
FRF1,5.7397094
NL13,6.556085
NL21,6.688226
NL22,6.839441
NL23,7.2116027
NL31,7.061456
NL32,8.258936
ITG2,13.702478
ITH1,-2.7454286
ITH2,0.9230591
FRI3,9.305841
FRJ1,8.6097355
FRJ2,7.99505
FRK1,6.521051
FRK2,4.7117248
FRL0,7.113916
FRM0,12.842737
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,12.045649
TR32,11.136286
TR33,7.0337462
HR03,9.374414
HR02,5.3464293
HU11,4.488672
HU12,4.3540893
HU21,4.6200805
HU22,4.8533263
PT16,11.841669
PT17,14.998621
FRF2,6.6940246
FRF3,5.9009337
FRG0,9.119226
FRH0,10.179132
FRI1,9.853907
FRI2,7.7281127
ITC4,4.6503844
ITF1,8.257257
ITF2,9.4274235
ITF3,11.2034855
ITF4,13.127588
ITF5,10.589533
ITF6,13.487818
ITG1,15.418238
LT01,1.7734009
LT02,2.5572753
LU00,5.1608825
PL22,3.329248
PL41,4.1928954
PL42,4.7108397
PT18,13.343103
PT20,-273.15
PT30,-273.15
RO11,2.682672
RO12,1.5076538
RO21,1.9476258
RO22,4.746515
RO31,3.9425292
RO32,4.1899657
ITH3,5.7167296
ITH4,5.0707946
ITH5,8.0246525
ITI1,10.323969
ITI2,8.1045475
ITI3,9.560022
ITI4,9.79693
LI00,0.97835696
FI1D,-2.3783631
TR82,5.9042296
TR83,5.87478
TR90,3.7352538
TRA1,0.2786499
TRA2,-0.73309934
PL43,4.7185607
PL51,3.7293944
PL52,3.8751464
PL61,3.8884826
PL62,3.2848754
PL63,4.323236
PL71,3.710504
PL72,3.5136962
PL81,3.1831298
PL82,2.9348388
PL84,2.6963744
PL91,3.5225158
PL92,3.3743834
PT11,9.95141
PT15,15.3319645
TRB1,3.288629
TRB2,2.0930114
TRC1,8.705835
RS12,5.2567077
RS21,4.299463
RS22,4.259607
SE11,3.4952636
SE12,2.5051818
NL33,7.646539
NL34,7.726892
NL41,7.1149535
NL42,6.8945556
PL21,2.6650634
UKM6,8.066767
TR22,10.514734
TRC2,8.907434
TRC3,9.067469
UKC1,7.421167
UKC2,7.391504
UKD1,7.1881957
UKD3,7.2381835
UKD4,7.534204
UKD6,7.7057433
UKD7,8.434137
UKE1,8.071985
UKE2,7.3317504
UKE3,7.442041
RO41,3.7949767
RO42,3.951593
RS11,5.520807
TR41,7.1455016
TR42,7.7837157
TR51,5.4114013
TR52,5.4897094
TR61,8.669092
TR62,9.730402
TR63,8.584803
TR71,5.1318603
TR72,3.2896972
TR81,7.4434752
UKK1,8.251551
UKK2,9.317713
UKK3,10.947687
UKK4,9.73501
UKL1,8.8962345
UKL2,7.549951
UKM5,7.063104
UKM7,6.4615417
UKM8,7.206781
UKM9,7.633447
UKN0,8.437525
SE21,3.8713317
SE22,4.8108153
SE23,3.8261962
SE31,0.21602783
SE32,-1.3367676
SE33,-3.052649
SI03,4.384851
SI04,4.8124633
SK01,4.743646
SK02,4.0762267
SK03,2.0376525
SK04,2.412866
TR10,11.199274
TR21,9.411707
UKE4,7.116327
UKF1,7.4039855
UKF2,7.714807
UKF3,7.9611754
UKG1,7.6914916
UKG2,7.421533
UKG3,7.677484
UKH1,8.423273
UKH2,7.9494567
UKH3,8.48266
UKI3,8.135218
UKI4,8.135218
UKI5,8.115961
UKI6,8.149164
UKI7,8.081995
UKJ1,7.871637
UKJ2,9.097193
UKJ3,9.041193
UKJ4,8.867548
NO09,1.5092713
NO0A,1.9128968
NO0B,3.660852
HR05,5.467706
HR06,5.2944274
NO02,-3.4066834
NO06,0.5558106
NO07,-0.94907224
NO08,-0.90912473
