nuts,Summer Mean Temperature (°C) ensemble median - RCP8.5 - (2071 - 2100)
DE50,19.981653
DE60,19.915339
DE71,21.319727
DE72,19.974756
DE73,19.689783
DE80,20.229425
DE91,20.067469
BG41,23.919
BG42,25.441126
CH01,17.300653
AT32,16.869684
AT33,15.361048
AT34,16.808863
BE10,20.63537
BE23,20.483606
BE24,20.658686
BE25,20.217493
BE31,20.416346
BE32,20.330225
BE33,19.686274
BE34,19.766779
BE35,20.01922
BG31,26.58285
BG32,26.596369
BG33,26.024256
BG34,26.257624
DE92,20.325312
DE93,20.256159
DE94,19.950861
CZ07,20.885706
CZ08,20.472803
AL01,25.18252
AL02,26.29165
AL03,26.351465
AT11,23.27279
AT12,21.740137
AT13,23.301264
AT21,18.572046
AT22,19.307398
AT31,20.384058
DK05,18.51745
BE21,20.732782
BE22,20.754084
ES43,29.699549
ES51,25.659754
ES52,27.217249
ES53,27.569696
ES61,28.72262
ES62,28.225946
ES63,24.30816
ES64,28.409174
CH02,18.861322
CH03,21.54986
CH04,21.264063
CH05,16.844934
CH06,17.843775
CH07,19.646235
CY00,30.311853
CZ01,21.671473
CZ02,21.125818
CZ03,20.399317
CZ04,19.923975
CZ05,20.189356
CZ06,21.692102
DE40,21.177729
EL53,25.865107
EL54,26.441126
EL61,27.792841
EL62,27.418634
EL63,27.596552
ES70,22.879572
ITC1,22.344141
ITC2,16.58175
DE11,21.264704
DE12,21.648493
DE13,21.389307
DE14,20.73614
DE21,20.6112
DE22,21.382837
DE23,20.843683
DE24,20.339838
DE25,21.268335
DE26,20.991938
DE27,20.055231
DE30,21.38003
EL42,27.555384
LV00,19.910303
ME00,23.267298
MK00,25.437342
MT00,27.65719
NL11,19.51562
NL12,19.28213
EL64,28.04214
EL65,28.40417
ES11,21.830652
ES12,20.26452
ES13,20.997553
ES21,21.742365
ES22,23.799585
ES23,23.27627
ES24,26.21557
ES30,28.445704
IE05,17.258936
IE06,17.480188
IS00,11.751581
ITC3,24.695368
FI19,18.698298
FI1B,19.2427
FI1C,19.278223
DEA1,20.87063
DEA2,20.127985
DEA3,20.629175
DEA4,20.156122
DEA5,19.711939
DEB1,20.32168
DEB2,20.001734
DEB3,21.85415
DEC0,21.229273
DED2,20.713709
DED4,19.764917
DED5,21.343592
DEE0,20.860498
DEF0,19.57339
DEG0,19.960962
DK01,19.453669
DK02,19.560297
DK03,18.966394
DK04,18.580408
ES41,24.83404
ES42,28.82168
HU23,24.968287
HU31,24.395227
HU32,25.406427
HU33,25.632715
IE04,16.73971
EE00,19.737146
EL30,29.465143
EL41,27.855616
EL43,28.065332
EL51,27.428919
EL52,28.221521
FI20,18.672205
FR10,22.13418
FRB0,22.97738
FRC1,22.9508
FRC2,22.078058
FRD1,20.076685
FRD2,20.25561
FRE1,20.12652
FRE2,20.798609
FRF1,21.916834
NL13,19.686975
NL21,20.076654
NL22,20.403437
NL23,19.890955
NL31,20.13714
NL32,19.404963
ITG2,27.3865
ITH1,15.582483
ITH2,18.987085
FRI3,23.689814
FRJ1,24.43133
FRJ2,23.541498
FRK1,22.089441
FRK2,21.87823
FRL0,23.83932
FRM0,26.15182
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,29.717157
TR32,29.75915
TR33,27.24911
HR03,25.634058
HR02,25.068598
HU11,24.954737
HU12,24.837336
HU21,24.431482
HU22,24.257685
PT16,25.181849
PT17,23.785913
FRF2,21.859888
FRF3,21.576777
FRG0,22.292017
FRH0,19.953302
FRI1,24.221582
FRI2,22.715631
ITC4,24.161493
ITF1,24.9938
ITF2,25.893824
ITF3,26.511896
ITF4,28.324549
ITF5,27.348383
ITF6,27.125147
ITG1,27.935633
LT01,20.323603
LT02,20.221796
LU00,19.958704
PL22,20.897303
PL41,21.248926
PL42,20.42489
PT18,27.03216
PT20,-273.15
PT30,-273.15
RO11,22.502588
RO12,21.502588
RO21,22.890436
RO22,26.211695
RO31,26.041315
RO32,27.314081
ITH3,24.209436
ITH4,22.995417
ITH5,26.713984
ITI1,26.230066
ITI2,25.97735
ITI3,26.198023
ITI4,26.207636
LI00,18.510859
FI1D,17.53802
TR82,24.19253
TR83,24.493097
TR90,22.253778
TRA1,22.915308
TRA2,21.470697
PL43,21.489313
PL51,20.722193
PL52,21.322626
PL61,20.785639
PL62,20.432367
PL63,20.056665
PL71,21.338282
PL72,21.563105
PL81,21.627283
PL82,21.386347
PL84,20.755182
PL91,21.421137
PL92,21.236261
PT11,24.722803
PT15,25.272303
TRB1,28.20315
TRB2,27.097742
TRC1,32.34835
RS12,26.20666
RS21,23.87469
RS22,24.731043
SE11,19.206598
SE12,19.187159
NL33,19.958277
NL34,20.306238
NL41,20.686487
NL42,20.859827
PL21,20.430231
UKM6,15.031641
TR22,27.359705
TRC2,34.8731
TRC3,35.13491
UKC1,17.158777
UKC2,16.852991
UKD1,16.71432
UKD3,17.74856
UKD4,17.45318
UKD6,18.228937
UKD7,18.241846
UKE1,18.357172
UKE2,17.423395
UKE3,18.363855
RO41,25.852167
RO42,23.83407
RS11,26.346704
TR41,26.377588
TR42,24.82876
TR51,26.852777
TR52,27.102167
TR61,27.715876
TR62,27.961267
TR63,28.639704
TR71,27.073084
TR72,24.417383
TR81,23.883661
UKK1,19.118586
UKK2,18.948328
UKK3,18.275537
UKK4,18.444513
UKL1,17.593164
UKL2,17.777277
UKM5,15.602869
UKM7,15.875605
UKM8,16.41015
UKM9,16.33523
UKN0,16.607233
SE21,18.993738
SE22,19.004572
SE23,18.825403
SE31,18.027796
SE32,16.384882
SE33,16.016443
SI03,22.98327
SI04,22.65899
SK01,23.768976
SK02,23.073053
SK03,20.63061
SK04,21.265985
TR10,26.711634
TR21,27.680109
UKE4,17.69137
UKF1,18.47848
UKF2,19.140162
UKF3,19.037317
UKG1,18.781
UKG2,18.167566
UKG3,18.902826
UKH1,19.155146
UKH2,19.550714
UKH3,19.650782
UKI3,20.015375
UKI4,20.015375
UKI5,19.846918
UKI6,19.817469
UKI7,19.726618
UKJ1,19.294275
UKJ2,19.422846
UKJ3,19.37292
UKJ4,19.620356
NO09,16.628778
NO0A,14.955652
NO0B,8.270441
HR05,25.05108
HR06,24.719965
NO02,15.242792
NO06,15.364557
NO07,14.732599
NO08,16.827478
