nuts,Spring Mean Temperature (°C) ensemble median - RCP4.5 - (2011 - 2040)
DE50,9.504358
DE60,9.01333
DE71,9.909418
DE72,9.042322
DE73,8.781885
DE80,8.701471
DE91,9.071711
BG41,10.016901
BG42,11.238581
CH01,3.9125
AT32,4.1722045
AT33,2.4407287
AT34,4.066034
BE10,10.4152775
BE23,10.421595
BE24,10.400476
BE25,10.261408
BE31,10.148035
BE32,10.12356
BE33,9.233088
BE34,9.13592
BE35,9.612574
BG31,12.331324
BG32,12.245661
BG33,11.584955
BG34,11.9265995
DE92,9.573633
DE93,9.441187
DE94,9.526453
CZ07,9.204126
CZ08,8.998835
AL01,11.312586
AL02,12.208796
AL03,12.348017
AT11,11.042566
AT12,9.698053
AT13,11.0559635
AT21,5.992578
AT22,7.0190063
AT31,8.411676
DK05,7.6809325
BE21,10.5099125
BE22,10.364222
ES43,14.740778
ES51,12.08993
ES52,14.383356
ES53,15.929865
ES61,15.359766
ES62,15.290247
ES63,16.193262
ES64,17.903376
CH02,6.4991393
CH03,9.796564
CH04,9.324671
CH05,3.8881774
CH06,5.265283
CH07,5.8893676
CY00,18.050013
CZ01,9.939997
CZ02,9.468378
CZ03,8.642878
CZ04,8.470331
CZ05,8.754663
CZ06,9.754877
DE40,9.769312
EL53,11.01388
EL54,12.272852
EL61,13.7902775
EL62,15.785425
EL63,14.009272
ES70,18.052057
ITC1,8.220179
ITC2,1.8494812
DE11,9.598291
DE12,10.0203495
DE13,9.643793
DE14,9.008783
DE21,8.735376
DE22,9.604883
DE23,9.137201
DE24,8.862787
DE25,9.544947
DE26,9.494776
DE27,8.192652
DE30,9.908594
EL42,16.681879
LV00,6.8450255
ME00,9.690577
MK00,10.9461
MT00,16.689539
NL11,9.31045
NL12,9.113092
EL64,14.357019
EL65,14.901758
ES11,11.626368
ES12,10.498224
ES13,10.915796
ES21,11.584742
ES22,11.451929
ES23,10.478724
ES24,11.655573
ES30,12.255243
IE05,9.1887455
IE06,9.046198
IS00,0.9771668
ITC3,11.998713
FI19,4.2421813
FI1B,4.7712646
FI1C,4.736444
DEA1,10.410273
DEA2,9.5758915
DEA3,10.145258
DEA4,9.479578
DEA5,9.117548
DEB1,9.349115
DEB2,9.027185
DEB3,10.286402
DEC0,9.857599
DED2,9.465601
DED4,8.5689335
DED5,10.01095
DEE0,9.574488
DEF0,8.5524845
DEG0,8.769007
DK01,7.3199706
DK02,7.741388
DK03,7.92077
DK04,7.7017455
ES41,10.67016
ES42,12.973658
HU23,12.15896
HU31,11.586206
HU32,12.44018
HU33,12.481592
IE04,9.054468
EE00,5.734094
EL30,16.300379
EL41,15.858362
EL43,16.38769
EL51,12.976343
EL52,13.990076
FI20,4.058496
FR10,10.810602
FRB0,11.161585
FRC1,11.018671
FRC2,10.31637
FRD1,10.350672
FRD2,10.227564
FRE1,10.140223
FRE2,10.37063
FRF1,10.290125
NL13,9.608393
NL21,9.904505
NL22,10.184504
NL23,9.8059025
NL31,10.044062
NL32,9.36413
ITG2,14.357904
ITH1,2.315515
ITH2,5.940088
FRI3,12.0307255
FRJ1,11.277491
FRJ2,10.706995
FRK1,9.568506
FRK2,8.690363
FRL0,10.171198
FRM0,13.5246525
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,15.306208
TR32,14.704706
TR33,12.214319
HR03,12.685175
HR02,12.222651
HU11,12.015284
HU12,11.927271
HU21,11.751795
HU22,11.840418
PT16,13.820093
PT17,15.42721
FRF2,10.476099
FRF3,10.103266
FRG0,11.367731
FRH0,10.793512
FRI1,12.543665
FRI2,10.600031
ITC4,10.176294
ITF1,11.227076
ITF2,12.207026
ITF3,13.20907
ITF4,14.85943
ITF5,13.159388
ITF6,14.119318
ITG1,15.313135
LT01,7.730829
LT02,7.6217895
LU00,9.104761
PL22,9.435175
PL41,9.538874
PL42,8.763239
PT18,15.56399
PT20,-273.15
PT30,-273.15
RO11,9.994654
RO12,8.499842
RO21,9.583246
RO22,11.543146
RO31,11.647821
RO32,12.622004
ITH3,10.785181
ITH4,10.07995
ITH5,12.796839
ITI1,12.953333
ITI2,11.654413
ITI3,12.477228
ITI4,12.460718
LI00,5.6956725
FI1D,2.015924
TR82,10.138056
TR83,10.813654
TR90,7.7605834
TRA1,5.5085387
TRA2,4.4296203
PL43,9.92779
PL51,9.266779
PL52,9.795343
PL61,8.969202
PL62,8.347834
PL63,7.97796
PL71,9.485163
PL72,9.605036
PL81,9.506525
PL82,9.456507
PL84,8.58581
PL91,9.364313
PL92,9.153528
PT11,12.243616
PT15,15.975061
TRB1,9.422571
TRB2,7.203729
TRC1,14.526972
RS12,12.959375
RS21,10.952204
RS22,11.232691
SE11,5.5832763
SE12,6.212854
NL33,9.967035
NL34,10.293879
NL41,10.448481
NL42,10.440119
PL21,8.978327
UKM6,7.574243
TR22,13.504236
TRC2,15.4237
TRC3,15.561701
UKC1,7.971185
UKC2,7.90249
UKD1,7.887262
UKD3,8.589319
UKD4,8.466089
UKD6,9.073175
UKD7,9.280451
UKE1,8.923212
UKE2,8.143335
UKE3,8.834986
RO41,11.642328
RO42,10.977045
RS11,13.153376
TR41,12.173761
TR42,11.278772
TR51,11.590357
TR52,11.529749
TR61,12.564753
TR62,13.399469
TR63,13.476648
TR71,11.55459
TR72,8.925928
TR81,10.6029
UKK1,9.552942
UKK2,9.630304
UKK3,10.021784
UKK4,9.485498
UKL1,9.03216
UKL2,8.621668
UKM5,7.146875
UKM7,7.189874
UKM8,8.06698
