nuts,Summer Mean Temperature (°C) ensemble median - RCP4.5 - (2041 - 2070)
DE50,18.010218
DE60,17.974146
DE71,19.240015
DE72,18.107172
DE73,17.871088
DE80,18.482843
DE91,18.272516
BG41,20.697992
BG42,22.62884
CH01,14.735193
AT32,14.5151005
AT33,12.958551
AT34,14.51156
BE10,18.643854
BE23,18.514978
BE24,18.6578
BE25,18.246302
BE31,18.397333
BE32,18.328913
BE33,17.573084
BE34,17.63769
BE35,17.950068
BG31,23.670038
BG32,23.864069
BG33,23.437494
BG34,23.795496
DE92,18.398615
DE93,18.301722
DE94,17.976954
CZ07,18.991297
CZ08,18.6914
AL01,22.367395
AL02,23.251795
AL03,23.354364
AT11,21.238337
AT12,19.617395
AT13,21.264063
AT21,16.324945
AT22,17.138636
AT31,18.200495
DK05,16.90072
BE21,18.722193
BE22,18.703638
ES43,26.280695
ES51,22.535517
ES52,24.53512
ES53,25.310328
ES61,25.915918
ES62,25.445063
ES63,22.525324
ES64,26.102564
CH02,16.616175
CH03,19.355066
CH04,19.081293
CH05,14.463831
CH06,15.55694
CH07,16.720362
CY00,28.121424
CZ01,19.71734
CZ02,19.172815
CZ03,18.325281
CZ04,18.12356
CZ05,18.391657
CZ06,19.66656
DE40,19.447535
EL53,22.622583
EL54,23.385645
EL61,25.303217
EL62,25.440424
EL63,25.040369
ES70,21.533014
ITC1,19.235132
ITC2,13.531427
DE11,19.132471
DE12,19.476923
DE13,19.18722
DE14,18.631006
DE21,18.45788
DE22,19.306055
DE23,18.811884
DE24,18.457788
DE25,19.242395
DE26,18.971582
DE27,17.913446
DE30,19.611353
EL42,25.407953
LV00,17.904688
ME00,20.599237
MK00,22.37826
MT00,25.613367
NL11,17.569788
NL12,17.402277
EL64,25.616785
EL65,26.085138
ES11,19.121881
ES12,17.908289
ES13,18.7037
ES21,19.47378
ES22,20.96264
ES23,20.169306
ES24,22.813013
ES30,24.652796
IE05,15.49682
IE06,15.662806
IS00,9.404963
ITC3,22.04043
FI19,16.417719
FI1B,17.097559
FI1C,17.077967
DEA1,18.820765
DEA2,18.077478
DEA3,18.59936
DEA4,18.222345
DEA5,17.724482
DEB1,18.245173
DEB2,17.8276
DEB3,19.697748
DEC0,18.98968
DED2,18.977411
DED4,18.063593
DED5,19.633387
DEE0,19.150965
DEF0,17.652979
DEG0,18.274622
DK01,17.736933
DK02,17.866083
DK03,17.145777
DK04,16.889856
ES41,21.229242
ES42,25.247644
HU23,22.721277
HU31,22.145227
HU32,23.170923
HU33,23.289057
IE04,15.058802
EE00,17.657038
EL30,27.22085
EL41,25.605402
EL43,25.9125
EL51,24.879725
EL52,25.622004
FI20,16.6477
FR10,19.64184
FRB0,20.27328
FRC1,20.398676
FRC2,19.803186
FRD1,18.0776
FRD2,18.239038
FRE1,18.097254
FRE2,18.728693
FRF1,19.73202
NL13,17.74911
NL21,18.126184
NL22,18.368769
NL23,17.95318
NL31,18.100367
NL32,17.554712
ITG2,24.775171
ITH1,13.097162
ITH2,16.3641
FRI3,20.901514
FRJ1,21.314722
FRJ2,20.450922
FRK1,19.047297
FRK2,19.12356
FRL0,20.83935
FRM0,23.580957
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,27.031916
TR32,26.79931
TR33,24.534113
HR03,23.5086
HR02,22.86123
HU11,22.711573
HU12,22.584894
HU21,22.27157
HU22,22.195032
PT16,22.40124
PT17,21.760157
FRF2,19.42074
FRF3,19.25445
FRG0,19.728296
FRH0,17.917505
FRI1,21.46908
FRI2,19.767939
ITC4,21.153955
ITF1,22.403559
ITF2,23.351679
ITF3,23.927057
ITF4,25.94787
ITF5,24.525904
ITF6,24.682642
ITG1,25.545069
LT01,18.336725
LT02,18.21435
LU00,17.816858
PL22,19.13531
PL41,19.478174
PL42,18.664637
PT18,24.443842
PT20,-273.15
PT30,-273.15
RO11,20.260035
RO12,19.04571
RO21,20.473536
RO22,23.506067
RO31,23.325281
RO32,24.555109
ITH3,21.67309
ITH4,20.601099
ITH5,24.03692
ITI1,23.513605
ITI2,23.25863
ITI3,23.821619
ITI4,23.52865
