nuts,Spring Mean Temperature (°C) ensemble median - RCP4.5 - (2071 - 2100)
DE50,10.556849
DE60,10.144312
DE71,10.940973
DE72,10.138086
DE73,9.933802
DE80,9.912195
DE91,10.24737
BG41,11.333063
BG42,12.333857
CH01,5.168329
AT32,5.4886413
AT33,3.7391906
AT34,5.4237304
BE10,11.303461
BE23,11.261377
BE24,11.298426
BE25,11.074945
BE31,11.045404
BE32,10.996302
BE33,10.223413
BE34,10.113367
BE35,10.54986
BG31,13.808435
BG32,13.517054
BG33,12.814417
BG34,13.196772
DE92,10.656031
DE93,10.519556
DE94,10.565821
CZ07,10.491999
CZ08,10.280695
AL01,12.590082
AL02,13.380396
AL03,13.475611
AT11,12.20669
AT12,11.026361
AT13,12.191217
AT21,7.4233947
AT22,8.565393
AT31,9.852045
DK05,8.850214
BE21,11.419306
BE22,11.308191
ES43,15.607111
ES51,12.904261
ES52,15.046289
ES53,16.766535
ES61,16.241632
ES62,15.911829
ES63,16.838526
ES64,18.638819
CH02,7.6954284
CH03,10.915003
CH04,10.513361
CH05,5.216638
CH06,6.436456
CH07,7.213983
CY00,19.027552
CZ01,10.921869
CZ02,10.53454
CZ03,9.935663
CZ04,9.724817
CZ05,9.989862
CZ06,10.939692
DE40,10.834772
EL53,12.158594
EL54,13.449213
EL61,14.816919
EL62,16.693262
EL63,14.989618
ES70,18.69317
ITC1,9.4717655
ITC2,2.9787536
DE11,10.643824
DE12,11.089502
DE13,10.80929
DE14,10.226099
DE21,10.005701
DE22,10.757837
DE23,10.242304
DE24,10.040064
DE25,10.5437565
DE26,10.549616
DE27,9.420221
DE30,10.95492
EL42,17.671808
LV00,8.603296
ME00,11.137629
MK00,12.39953
MT00,17.608545
NL11,10.332972
NL12,10.04339
EL64,15.3323
EL65,15.807611
ES11,12.118738
ES12,11.036982
ES13,11.498743
ES21,12.189386
ES22,12.200647
ES23,11.15307
ES24,12.43136
ES30,13.070642
IE05,9.973017
IE06,9.888727
IS00,2.7925963
ITC3,13.022333
FI19,6.308191
FI1B,6.5656676
FI1C,6.5749755
DEA1,11.367243
DEA2,10.599421
DEA3,11.128656
DEA4,10.550806
DEA5,10.220667
DEB1,10.385126
DEB2,10.043451
DEB3,11.269739
DEC0,10.807611
DED2,10.569422
DED4,9.8458805
DED5,11.003412
DEE0,10.68429
DEF0,9.715296
DEG0,9.973963
DK01,8.552149
DK02,8.953974
DK03,9.093439
DK04,8.867975
ES41,11.347681
ES42,13.825953
HU23,13.228479
HU31,12.780207
HU32,13.431391
HU33,13.497065
IE04,9.84292
EE00,7.4695373
EL30,17.247461
EL41,16.810175
EL43,17.377893
EL51,14.1210575
EL52,15.091333
FI20,5.491327
FR10,11.661737
FRB0,11.983393
FRC1,11.937708
FRC2,11.384485
FRD1,11.118219
FRD2,10.95022
FRE1,10.936396
FRE2,11.203882
FRF1,11.3172245
NL13,10.598963
NL21,10.88299
NL22,11.140528
NL23,10.749445
NL31,10.977381
NL32,10.247858
ITG2,15.236994
ITH1,3.6646361
ITH2,7.3043456
FRI3,12.710718
FRJ1,12.15365
FRJ2,11.549799
FRK1,10.603724
FRK2,9.790735
FRL0,11.133844
FRM0,14.375055
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,16.32467
TR32,15.821497
TR33,13.381952
HR03,13.730982
HR02,13.355036
HU11,13.034174
HU12,12.966242
HU21,12.818628
HU22,12.916559
PT16,14.508295
PT17,16.006067
FRF2,11.3849125
FRF3,11.064905
FRG0,12.096735
FRH0,11.587458
FRI1,13.23147
FRI2,11.497095
ITC4,11.452814
ITF1,12.430628
ITF2,13.357447
ITF3,14.189753
ITF4,15.928034
ITF5,14.189386
ITF6,15.040613
ITG1,16.211573
LT01,9.254297
LT02,9.148584
LU00,10.100824
PL22,10.613367
PL41,10.682795
PL42,9.968775
PT18,16.294916
PT20,-273.15
PT30,-273.15
RO11,11.311213
RO12,10.055414
RO21,11.015406
RO22,12.775934
RO31,13.001093
RO32,13.887934
ITH3,12.077509
ITH4,11.425531
ITH5,13.946344
ITI1,13.914606
ITI2,12.727564
ITI3,13.702997
ITI4,13.475367
LI00,7.183191
FI1D,3.8880858
TR82,11.528772
TR83,12.145411
TR90,9.030176
TRA1,6.9811645
TRA2,5.611078
PL43,10.988153
PL51,10.4865055
PL52,10.903101
PL61,10.251459
PL62,9.658014
PL63,9.370325
PL71,10.695124
PL72,10.781153
PL81,10.673365
PL82,10.747095
PL84,9.831903
PL91,10.609095
PL92,10.402491
PT11,12.88891
PT15,16.71786
TRB1,11.2969
TRB2,8.891382
TRC1,15.937738
RS12,14.044825
RS21,12.413752
RS22,12.708368
SE11,7.2719054
SE12,7.879541
NL33,10.841608
NL34,11.128199
NL41,11.376184
NL42,11.39715
PL21,10.300684
UKM6,8.485224
TR22,14.507441
TRC2,16.791498
TRC3,16.907648
UKC1,8.95846
UKC2,8.921167
UKD1,8.841944
UKD3,9.482569
UKD4,9.359827
UKD6,9.9265995
UKD7,10.110559
UKE1,9.822992
UKE2,9.06991
UKE3,9.731836
RO41,13.114283
RO42,12.270746
RS11,14.290979
TR41,13.297144
TR42,12.550531
TR51,12.98266
TR52,12.89065
TR61,13.890375
TR62,14.773981
TR63,14.91836
TR71,12.892633
TR72,10.603357
TR81,11.877039
UKK1,10.340296
UKK2,10.438837
UKK3,10.786341
UKK4,10.316523
UKL1,9.799402
UKL2,9.446711
UKM5,8.310328
UKM7,8.310236
UKM8,9.097376
UKM9,8.96081
UKN0,9.570978
SE21,7.9405456
SE22,8.369074
SE23,8.1236515
SE31,6.5612426
SE32,4.247644
SE33,2.4800353
SI03,11.870447
SI04,11.38595
SK01,12.459223
SK02,11.945917
SK03,10.156702
SK04,10.736048
TR10,13.845758
TR21,14.205988
UKE4,9.248194
UKF1,9.763636
UKF2,10.151667
UKF3,10.185663
UKG1,10.025354
UKG2,9.651392
UKG3,10.107965
UKH1,10.1731205
UKH2,10.393183
UKH3,10.467249
UKI3,10.633905
UKI4,10.633905
UKI5,10.562281
UKI6,10.567102
UKI7,10.5186405
UKJ1,10.28042
UKJ2,10.548883
UKJ3,10.568567
UKJ4,10.522394
NO09,5.6596007
NO0A,4.8326354
NO0B,0.76168215
HR05,13.325678
HR06,13.193323
NO02,3.3681273
NO06,4.7395873
NO07,2.3941283
NO08,5.279474
