nuts,March Mean Temperature (°C) ensemble median - RCP4.5 - (2041 - 2070)
DE50,6.26275
DE60,5.631067
DE71,6.5011535
DE72,5.745172
DE73,5.4800963
DE80,5.1778197
DE91,5.5580688
BG41,6.0310607
BG42,7.198236
CH01,0.87050784
AT32,0.60262454
AT33,-0.95636594
AT34,0.82817996
BE10,7.619409
BE23,7.780084
BE24,7.567041
BE25,7.8286986
BE31,7.3443236
BE32,7.4453063
BE33,6.2199035
BE34,6.1197143
BE35,6.740808
BG31,7.8919616
BG32,7.873529
BG33,7.5143676
BG34,7.94729
DE92,6.14364
DE93,5.9796996
DE94,6.387506
CZ07,4.75744
CZ08,4.5419555
AL01,7.904474
AL02,8.946375
AL03,9.239405
AT11,6.542413
AT12,5.3696837
AT13,6.508447
AT21,2.3619018
AT22,3.061914
AT31,4.4947143
DK05,4.527826
BE21,7.637811
BE22,7.359491
ES43,12.603205
ES51,9.805384
ES52,12.097162
ES53,14.210779
ES61,13.211969
ES62,12.879694
ES63,15.023462
ES64,16.147608
CH02,3.3342223
CH03,6.639459
CH04,6.1332335
CH05,0.66622317
CH06,2.1144042
CH07,2.786615
CY00,15.713617
CZ01,5.619592
CZ02,5.170099
CZ03,4.5710998
CZ04,4.562677
CZ05,4.3440795
CZ06,5.2584777
DE40,5.787866
EL53,7.323755
EL54,9.18725
EL61,10.503809
EL62,13.790613
EL63,11.154688
ES70,17.699152
ITC1,5.1693053
ITC2,-1.0787109
DE11,6.0160766
DE12,6.6066527
DE13,6.152002
DE14,5.483667
DE21,5.0067077
DE22,5.6997924
DE23,5.0999694
DE24,5.078058
DE25,5.730432
DE26,5.891931
DE27,4.6700377
DE30,5.881555
EL42,14.983973
LV00,2.3512206
ME00,6.197107
MK00,7.1771483
MT00,15.395014
NL11,6.3814635
NL12,6.482141
EL64,11.189264
EL65,12.088648
ES11,10.1896
ES12,9.156519
ES13,9.400049
ES21,9.915613
ES22,9.209803
ES23,8.303156
ES24,9.148096
ES30,9.760096
IE05,7.55755
IE06,7.3304687
IS00,-1.112738
ITC3,9.364283
FI19,-0.6336731
FI1B,0.2191101
FI1C,0.0026794435
DEA1,7.267816
DEA2,6.4348693
DEA3,6.910608
DEA4,6.1400084
DEA5,5.835443
DEB1,6.141504
DEB2,5.8745055
DEB3,6.902826
DEC0,6.551782
DED2,5.265161
DED4,4.7515807
DED5,6.0773864
DEE0,5.7768188
DEF0,5.2730346
DEG0,5.171045
DK01,4.1029906
DK02,4.4230285
DK03,4.6467223
DK04,4.429132
ES41,8.516047
ES42,10.466883
HU23,7.4801574
HU31,6.714441
HU32,7.4456115
HU33,7.611261
IE04,7.409265
EE00,1.3571411
EL30,13.535273
EL41,13.445337
EL43,14.2990055
EL51,9.16073
EL52,10.241419
FI20,1.0474793
FR10,8.167627
FRB0,8.5689945
FRC1,8.122248
FRC2,7.1241393
FRD1,8.310511
FRD2,8.006952
FRE1,7.6838317
FRE2,7.7758117
FRF1,6.970636
NL13,6.5771728
NL21,6.815454
NL22,7.1711364
NL23,6.9333434
NL31,7.210565
NL32,6.8446593
ITG2,12.147669
ITH1,-1.020758
ITH2,2.7706542
FRI3,9.564753
FRJ1,8.778101
FRJ2,8.193384
FRK1,7.020044
FRK2,5.7131896
FRL0,7.4427123
FRM0,11.33938
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,11.86529
TR32,11.406397
TR33,8.473597
HR03,9.405817
HR02,7.916803
HU11,7.177942
HU12,7.1092467
HU21,6.9795775
HU22,7.2376037
PT16,12.242823
PT17,14.252832
FRF2,7.5256896
FRF3,6.9635253
FRG0,9.0463505
FRH0,9.029871
FRI1,10.166346
FRI2,8.091974
ITC4,6.7219176
ITF1,8.111658
ITF2,9.181086
ITF3,10.494135
ITF4,12.19488
ITF5,10.215143
ITF6,11.841639
ITG1,13.212427
LT01,2.8185668
LT02,2.99093
LU00,5.9813476
PL22,4.8157287
PL41,5.0182433
PL42,4.793054
PT18,13.889826
PT20,-273.15
PT30,-273.15
RO11,5.229791
RO12,3.94671
RO21,4.4358764
RO22,6.9004455
RO31,7.1494994
RO32,8.032587
ITH3,7.2529235
ITH4,6.411096
ITH5,9.339624
ITI1,10.1210575
ITI2,8.4844
ITI3,9.327936
ITI4,9.577631
LI00,2.4561095
FI1D,-2.8195252
TR82,6.667688
TR83,7.3523192
TR90,3.955255
TRA1,1.4257752
TRA2,0.08876953
PL43,5.54931
PL51,4.7538695
PL52,5.142938
PL61,4.608087
PL62,3.9944701
PL63,4.146295
PL71,4.855188
PL72,5.0414977
PL81,4.618921
PL82,4.8171935
PL84,3.9226623
PL91,4.7482543
PL92,4.56109
PT11,10.516504
PT15,14.538172
TRB1,5.0051513
TRB2,2.6412597
TRC1,10.205408
RS12,8.277796
RS21,6.961633
RS22,7.1157775
SE11,2.1884093
SE12,2.09234
NL33,7.3064513
NL34,7.6532836
NL41,7.530908
NL42,7.385217
PL21,4.502069
UKM6,6.2275634
TR22,10.017145
TRC2,10.789759
TRC3,10.974909
UKC1,6.189264
UKC2,6.2269835
UKD1,5.9237914
UKD3,6.5416503
UKD4,6.447473
UKD6,6.9887023
UKD7,7.274957
UKE1,7.0870605
UKE2,6.2699523
UKE3,6.8315673
RO41,6.966089
RO42,6.4895873
RS11,8.641932
TR41,8.498346
TR42,7.9315124
TR51,7.7061095
TR52,7.5326476
TR61,9.182489
TR62,9.9396305
TR63,9.814936
TR71,7.4494567
TR72,4.933191
TR81,7.2618346
UKK1,7.3930297
UKK2,7.765924
UKK3,8.692804
UKK4,7.884973
UKL1,7.2559752
UKL2,6.5497985
UKM5,5.722833
UKM7,5.397821
UKM8,6.220056
UKM9,6.2658324
UKN0,7.0983825
SE21,2.8723998
SE22,3.5121093
SE23,2.8862853
SE31,0.43737182
SE32,-1.8103698
SE33,-3.8660035
SI03,6.454431
SI04,6.2186522
SK01,6.721124
SK02,6.1718993
SK03,3.9672484
SK04,4.5630126
TR10,9.362909
TR21,9.232386
UKE4,6.378595
UKF1,6.8375793
UKF2,7.167932
UKF3,7.2762084
UKG1,7.0321593
UKG2,6.7105346
UKG3,7.108606
UKH1,7.251184
UKH2,7.34469
UKH3,7.48327
UKI3,7.488672
UKI4,7.488672
UKI5,7.479425
UKI6,7.4968505
UKI7,7.4306273
UKJ1,7.245294
UKJ2,7.762323
UKJ3,7.7612243
UKJ4,7.6937804
NO09,0.7030884
NO0A,0.52120364
NO0B,-1.2995666
HR05,7.9981933
HR06,7.8070006
NO02,-2.441504
NO06,-0.7894043
NO07,-2.7221131
NO08,-0.20505372
