nuts,Winter Mean Temperature (°C) ensemble median - RCP8.5 - (2071 - 2100)
DE50,5.440271
DE60,5.1288085
DE71,4.7779174
DE72,4.210748
DE73,4.064264
DE80,4.6230407
DE91,4.4785094
BG41,4.034967
BG42,5.180841
CH01,-0.4633545
AT32,-0.54682004
AT33,-2.2510743
AT34,-0.7140869
BE10,6.5965514
BE23,6.873285
BE24,6.5250487
BE25,7.3280272
BE31,6.275354
BE32,6.462518
BE33,5.092096
BE34,4.802789
BE35,5.571283
BG31,4.5022216
BG32,4.85473
BG33,5.6203246
BG34,6.2245116
DE92,5.1553893
DE93,5.1935363
DE94,5.685266
CZ07,2.9378295
CZ08,2.8970885
AL01,6.5670104
AL02,7.7069335
AL03,8.40719
AT11,4.2207274
AT12,3.542108
AT13,4.396875
AT21,0.6487366
AT22,1.5536133
AT31,2.802423
DK05,5.4773803
BE21,6.61239
BE22,6.265619
ES43,10.714899
ES51,8.788507
ES52,11.362848
ES53,15.465052
ES61,12.010096
ES62,12.148249
ES63,15.961939
ES64,16.012293
CH02,2.1625304
CH03,5.0073485
CH04,4.718866
CH05,-0.87042844
CH06,1.2152039
CH07,1.44552
CY00,16.350214
CZ01,4.1303344
CZ02,3.719995
CZ03,3.0076232
CZ04,3.08703
CZ05,2.8714232
CZ06,3.4367614
DE40,4.598596
EL53,5.5658507
EL54,8.4760685
EL61,9.993067
EL62,14.847986
EL63,11.168451
ES70,19.598536
ITC1,3.5987182
ITC2,-2.7253785
DE11,4.2877746
DE12,4.8183837
DE13,4.689203
DE14,3.9973998
DE21,3.423944
DE22,3.673242
DE23,3.2864318
DE24,3.4355102
DE25,4.0158935
DE26,4.196527
DE27,3.1865478
DE30,4.596643
EL42,16.44723
LV00,1.2903076
ME00,5.1859984
MK00,4.9306273
MT00,17.504633
NL11,5.9287963
NL12,6.860742
EL64,11.107569
EL65,12.511103
ES11,10.12768
ES12,9.462336
ES13,9.575953
ES21,9.864862
ES22,8.316919
ES23,7.4900756
