nuts,September Mean Temperature (°C) ensemble median - RCP8.5 - (2011 - 2040)
DE50,15.157404
DE60,15.099237
DE71,15.278986
DE72,14.37295
DE73,14.168055
DE80,15.038843
DE91,14.632288
BG41,16.282373
BG42,18.079493
CH01,10.831049
AT32,10.578211
AT33,9.162989
AT34,10.562738
BE10,15.747644
BE23,15.90246
BE24,15.698084
BE25,16.080408
BE31,15.42898
BE32,15.466974
BE33,14.414759
BE34,14.24975
BE35,14.778803
BG31,18.592615
BG32,18.771418
BG33,18.946497
BG34,19.350214
DE92,15.131281
DE93,15.17779
DE94,15.317896
CZ07,14.577814
CZ08,14.397211
AL01,18.496881
AL02,19.493525
AL03,19.882563
AT11,16.488825
AT12,15.1817875
AT13,16.611536
AT21,12.198175
AT22,12.87356
AT31,13.889399
DK05,14.548822
BE21,15.836695
BE22,15.575098
ES43,22.98739
ES51,19.213282
ES52,21.620844
ES53,24.130945
ES61,22.934809
ES62,22.473475
ES63,22.12356
ES64,24.73855
CH02,12.629023
CH03,15.205286
CH04,14.935816
CH05,10.582544
CH06,11.784479
CH07,12.810938
CY00,26.378656
CZ01,15.203119
CZ02,14.665125
CZ03,13.858362
CZ04,13.752924
CZ05,13.942682
CZ06,15.141443
DE40,15.308863
EL53,18.217615
EL54,19.833338
EL61,21.341364
EL62,23.765009
EL63,21.853601
ES70,22.785212
ITC1,15.261164
ITC2,9.580408
DE11,14.937433
DE12,15.376062
DE13,15.040674
DE14,14.433924
DE21,14.158747
DE22,14.712091
DE23,14.295435
DE24,14.149958
DE25,14.847376
DE26,14.842554
DE27,13.709497
DE30,15.395685
EL42,24.110315
LV00,13.020716
ME00,16.598444
MK00,17.948694
MT00,25.325678
NL11,15.303186
NL12,15.835535
EL64,21.952845
EL65,22.975275
ES11,17.65832
ES12,16.71667
ES13,17.31164
ES21,17.91253
ES22,18.045588
ES23,17.283136
ES24,18.75326
ES30,20.583002
IE05,14.053431
IE06,13.850489
IS00,6.3550353
ITC3,18.929956
FI19,10.868677
FI1B,12.383814
FI1C,11.909082
DEA1,15.660883
DEA2,14.802454
DEA3,15.475
DEA4,14.927576
DEA5,14.43432
DEB1,14.5967045
DEB2,14.183191
DEB3,15.6479435
DEC0,15.053186
DED2,14.761591
DED4,13.940241
DED5,15.6149845
DEE0,15.237909
DEF0,15.015131
DEG0,14.314905
DK01,15.022699
DK02,15.185724
DK03,14.705683
DK04,14.411249
ES41,17.992487
ES42,21.132288
HU23,17.705164
HU31,17.003534
HU32,17.986933
HU33,18.208918
IE04,13.718958
EE00,12.946375
EL30,24.314997
EL41,23.230005
EL43,24.015436
EL51,20.681055
EL52,21.269037
FI20,13.845697
FR10,16.314417
FRB0,16.911005
FRC1,16.504145
FRC2,15.754847
FRD1,16.126978
FRD2,15.891504
FRE1,15.790766
FRE2,15.806971
FRF1,15.619043
NL13,15.14477
NL21,15.338221
NL22,15.50091
NL23,15.587976
NL31,15.525568
NL32,16.125544
ITG2,22.067621
ITH1,9.32107
ITH2,12.68841
FRI3,17.921564
FRJ1,17.755518
FRJ2,17.030573
FRK1,15.348658
FRK2,15.001459
FRL0,17.079676
FRM0,20.931147
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,23.254816
TR32,23.156672
TR33,20.191095
HR03,19.5693
HR02,17.926722
HU11,17.583338
HU12,17.540247
HU21,17.346888
HU22,17.32522
PT16,20.540186
PT17,21.142786
FRF2,15.771753
FRF3,15.359674
FRG0,17.145472
FRH0,16.478876
FRI1,18.62472
FRI2,16.37707
ITC4,17.031977
ITF1,18.426691
ITF2,19.461817
ITF3,20.715937
ITF4,22.638361
ITF5,20.660791
ITF6,22.027613
ITG1,23.456446
LT01,13.076075
LT02,13.409998
LU00,14.223169
PL22,14.7521
