nuts,April Mean Temperature (°C) ensemble median - RCP8.5 - (2071 - 2100)
DE50,11.682093
DE60,11.132166
DE71,11.977503
DE72,11.21615
DE73,11.06164
DE80,10.810816
DE91,11.417627
BG41,13.243982
BG42,14.28097
CH01,6.4769835
AT32,7.2015014
AT33,5.6295104
AT34,6.8905272
BE10,12.207666
BE23,12.185755
BE24,12.184015
BE25,12.002741
BE31,11.95196
BE32,11.93194
BE33,11.132166
BE34,11.063196
BE35,11.488733
BG31,15.682428
BG32,15.41366
BG33,14.611902
BG34,14.867365
DE92,11.813471
DE93,11.608789
DE94,11.551538
CZ07,11.6297245
CZ08,11.404047
AL01,14.00326
AL02,14.925776
AL03,15.001398
AT11,13.363184
AT12,12.208368
AT13,13.216578
AT21,9.034235
AT22,10.102289
AT31,11.143518
DK05,9.664057
BE21,12.2850895
BE22,12.139826
ES43,16.879877
ES51,13.944941
ES52,15.998346
ES53,17.476221
ES61,17.531672
ES62,17.087885
ES63,17.63354
ES64,19.289057
CH02,8.901117
CH03,11.9960575
CH04,11.713678
CH05,6.6035705
CH06,7.7195373
CH07,8.667383
CY00,21.112238
CZ01,11.915888
CZ02,11.535334
CZ03,11.116999
CZ04,10.887903
CZ05,11.109247
CZ06,11.969507
DE40,11.894617
EL53,13.9934025
EL54,15.00738
EL61,16.678797
EL62,17.704401
EL63,16.670496
ES70,19.281794
ITC1,10.7251835
ITC2,4.6367736
DE11,11.699427
DE12,12.108362
DE13,11.880701
DE14,11.343927
DE21,11.228327
DE22,11.970118
DE23,11.434961
DE24,11.156519
DE25,11.606562
DE26,11.636042
DE27,10.608789
DE30,12.0469
EL42,19.19021
LV00,9.64068
ME00,12.509241
MK00,14.269556
MT00,18.475855
NL11,11.176905
NL12,10.832026
EL64,17.13119
EL65,17.671839
ES11,13.12887
ES12,12.221369
ES13,12.534754
ES21,13.037378
ES22,13.136042
ES23,12.228601
ES24,13.570032
ES30,14.394373
IE05,10.657099
IE06,10.562677
IS00,3.6502929
ITC3,13.950342
FI19,7.78457
FI1B,7.624719
FI1C,7.7426085
DEA1,12.192621
DEA2,11.452997
DEA3,12.102289
DEA4,11.646448
DEA5,11.155817
DEB1,11.315699
DEB2,10.99032
DEB3,12.264185
DEC0,11.765192
DED2,11.443506
DED4,10.867853
DED5,12.076563
DEE0,11.8033085
DEF0,10.611597
DEG0,10.973658
DK01,9.390955
DK02,9.749964
DK03,9.854395
DK04,9.63003
ES41,12.632105
ES42,15.04397
HU23,14.7312565
HU31,14.161371
HU32,15.017725
HU33,15.158625
IE04,10.405298
EE00,8.682978
EL30,18.938745
EL41,18.49737
EL43,18.97381
EL51,15.705286
EL52,16.662653
FI20,6.469812
FR10,12.6922245
FRB0,12.987726
FRC1,12.892542
FRC2,12.360895
FRD1,12.043085
FRD2,12.021936
FRE1,11.923273
FRE2,12.175104
FRF1,12.284662
NL13,11.498377
NL21,11.768091
NL22,11.950525
NL23,11.592859
NL31,11.761866
NL32,11.089685
ITG2,16.06927
ITH1,5.5395446
ITH2,8.976831
FRI3,13.676569
FRJ1,13.1861515
FRJ2,12.614496
FRK1,11.582819
FRK2,10.800989
FRL0,12.262842
FRM0,15.072199
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,18.21023
TR32,17.934565
TR33,15.673212
HR03,14.715479
HR02,14.787073
HU11,14.554895
HU12,14.497644
HU21,14.232782
HU22,14.189447
PT16,15.567408
PT17,17.116968
FRF2,12.346613
FRF3,12.033533
FRG0,13.063593
FRH0,12.366083
FRI1,14.143
FRI2,12.391169
ITC4,12.625025
ITF1,13.47558
ITF2,14.249414
ITF3,15.118647
ITF4,16.849573
ITF5,15.379175
ITF6,16.264612
ITG1,17.428675
LT01,10.505854
LT02,10.260004
LU00,11.045465
PL22,11.555628
PL41,11.616266
PL42,10.857569
PT18,17.431543
PT20,-273.15
PT30,-273.15
RO11,13.1149235
RO12,11.971643
RO21,12.98675
RO22,14.785517
RO31,15.181513
RO32,16.058771
ITH3,13.161341
ITH4,12.570612
ITH5,15.035547
ITI1,14.683588
ITI2,13.754053
ITI3,14.50564
ITI4,14.338007
LI00,9.282068
FI1D,5.7925353
TR82,14.151667
TR83,14.658655
TR90,11.519617
TRA1,10.4248295
TRA2,8.435175
PL43,11.956263
PL51,11.402094
PL52,11.7442875
PL61,11.203119
PL62,10.661036
PL63,10.230677
PL71,11.607111
PL72,11.735102
PL81,11.76446
PL82,11.705103
PL84,11.001032
PL91,11.644892
PL92,11.463526
PT11,14.0802555
PT15,17.744684
TRB1,14.864374
TRB2,12.273096
TRC1,18.97973
RS12,15.748194
RS21,13.995569
RS22,14.541315
SE11,8.003138
SE12,8.636866
NL33,11.656031
NL34,12.055994
NL41,12.193384
NL42,12.187983
PL21,11.410852
UKM6,8.980249
TR22,16.307825
TRC2,19.861261
TRC3,19.67367
UKC1,9.67193
UKC2,9.60763
UKD1,9.51977
UKD3,10.284662
UKD4,10.128565
UKD6,10.772699
UKD7,10.9057255
UKE1,10.5750065
UKE2,9.825678
UKE3,10.547998
RO41,15.225672
RO42,14.121912
RS11,16.01919
TR41,15.583521
TR42,14.730494
TR51,15.408564
TR52,15.518061
TR61,16.312738
TR62,17.531794
TR63,17.980677
TR71,15.670771
TR72,14.395594
TR81,14.136377
UKK1,11.221674
UKK2,11.258142
UKK3,11.611872
UKK4,11.128412
UKL1,10.652216
UKL2,10.322199
UKM5,9.0422
UKM7,9.120264
UKM8,9.646875
UKM9,9.554377
UKN0,10.140802
SE21,8.792231
SE22,9.34997
SE23,8.914209
SE31,8.097406
SE32,6.0337768
SE33,3.8719115
SI03,13.126886
SI04,12.597193
SK01,13.523249
SK02,13.027735
SK03,11.561853
SK04,12.175348
TR10,15.3482
TR21,15.811609
UKE4,10.056513
UKF1,10.641962
UKF2,11.066767
UKF3,11.029078
UKG1,10.91485
UKG2,10.531885
UKG3,11.004419
UKH1,11.04159
UKH2,11.343653
UKH3,11.389856
UKI3,11.633661
UKI4,11.633661
UKI5,11.546442
UKI6,11.534113
UKI7,11.479517
UKJ1,11.20199
UKJ2,11.419306
UKJ3,11.422449
UKJ4,11.470087
NO09,6.963495
NO0A,6.140222
NO0B,2.73974
HR05,14.695337
HR06,14.558008
NO02,5.1245055
NO06,6.372064
NO07,3.91604
NO08,6.6341796
