nuts,Autumn Mean Temperature (°C) ensemble median - RCP4.5 - (2011 - 2040)
DE50,10.65774
DE60,10.5805
DE71,10.285242
DE72,9.560846
DE73,9.423883
DE80,10.305597
DE91,9.90597
BG41,10.504938
BG42,12.227747
CH01,5.630182
AT32,5.280725
AT33,3.84234
AT34,5.3416076
BE10,11.624384
BE23,11.869349
BE24,11.56576
BE25,12.209284
BE31,11.338465
BE32,11.427271
BE33,10.231867
BE34,9.961817
BE35,10.644068
BG31,12.245874
BG32,12.633692
BG33,13.091089
BG34,13.528986
DE92,10.519068
DE93,10.567469
DE94,10.949305
CZ07,9.163996
CZ08,9.130304
AL01,13.183863
AL02,14.270746
AL03,14.834711
AT11,10.768854
AT12,9.606684
AT13,10.861048
AT21,6.8920836
AT22,7.4804015
AT31,8.631342
DK05,10.585169
BE21,11.672388
BE22,11.385157
ES43,17.252619
ES51,14.736292
ES52,17.061731
ES53,20.70083
ES61,17.988214
ES62,17.865717
ES63,19.493677
ES64,21.067041
CH02,7.607385
CH03,10.184717
CH04,9.8623295
CH05,5.3215575
CH06,6.6801696
CH07,7.5772643
CY00,22.390833
CZ01,9.87472
CZ02,9.401361
CZ03,8.598932
CZ04,8.514399
CZ05,8.780085
CZ06,9.586908
DE40,10.2937565
EL53,12.542902
EL54,14.785334
EL61,16.313562
EL62,20.271082
EL63,17.211542
ES70,21.841272
ITC1,9.8970585
ITC2,4.0417113
DE11,9.841089
DE12,10.3649845
DE13,9.991968
DE14,9.335871
DE21,8.958826
DE22,9.421656
DE23,9.020502
DE24,9.024073
DE25,9.645563
DE26,9.759546
DE27,8.565332
DE30,10.371607
EL42,20.82818
LV00,7.8287597
ME00,11.387842
MK00,12.015284
MT00,22.477106
NL11,11.1531925
NL12,12.05517
EL64,17.171503
EL65,18.447504
ES11,14.029993
ES12,13.279413
ES13,13.867182
ES21,14.474878
ES22,13.714594
ES23,12.844324
ES24,13.746271
ES30,14.587061
IE05,11.271753
IE06,10.909937
IS00,2.7865233
ITC3,14.6383
FI19,5.5556273
FI1B,7.268823
FI1C,6.6858764
DEA1,11.294825
DEA2,10.438044
DEA3,11.020807
DEA4,10.385401
DEA5,9.9265995
DEB1,9.95257
DEB2,9.6627445
DEB3,10.69906
DEC0,10.361475
DED2,9.648554
DED4,8.898371
DED5,10.500116
DEE0,10.268946
DEF0,10.618097
DEG0,9.345575
DK01,10.721308
DK02,10.925592
DK03,10.547297
DK04,10.402613
ES41,12.965876
ES42,15.312799
HU23,11.948938
HU31,10.968103
HU32,11.920984
HU33,12.181818
IE04,11.020624
EE00,7.7701354
EL30,19.93072
EL41,19.354181
EL43,20.425135
EL51,15.10293
EL52,15.746546
FI20,9.227442
FR10,12.0776615
FRB0,12.559107
FRC1,11.992823
FRC2,11.003321
FRD1,12.55514
FRD2,12.114588
FRE1,11.931818
FRE2,11.73678
FRF1,10.684717
NL13,10.921656
NL21,11.102259
NL22,11.280878
NL23,11.556665
NL31,11.454096
NL32,12.397608
ITG2,18.232111
ITH1,4.0183654
ITH2,7.5002685
FRI3,13.755823
FRJ1,13.383173
FRJ2,12.648523
FRK1,11.021021
FRK2,10.06048
FRL0,12.419306
FRM0,17.23437
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,17.999414
TR32,17.58761
TR33,14.190638
HR03,14.853785
HR02,12.2922
HU11,11.563959
HU12,11.491236
HU21,11.492517
HU22,11.556055
PT16,16.237085
PT17,18.083216
FRF2,11.383905
FRF3,10.745874
FRG0,13.219904
FRH0,13.371302
FRI1,14.426386
FRI2,12.124018
ITC4,11.408594
ITF1,13.819452
ITF2,14.825739
ITF3,16.370173
ITF4,18.214563
ITF5,16.00741
ITF6,18.086573
ITG1,19.82934
LT01,7.781183
LT02,8.219416
LU00,9.792749
PL22,9.46496
PL41,9.718317
PL42,9.857538
PT18,18.077997
PT20,-273.15
PT30,-273.15
RO11,9.643732
RO12,8.463617
RO21,9.328638
RO22,12.424616
RO31,11.756037
RO32,12.577539
ITH3,12.34997
ITH4,11.303614
ITH5,14.402704
ITI1,15.550684
ITI2,13.823145
ITI3,15.011286
ITI4,15.284784
LI00,6.9238524
FI1D,3.068231
TR82,12.502314
TR83,12.913843
TR90,10.748926
TRA1,8.287561
TRA2,7.17901
PL43,10.088984
PL51,9.389704
PL52,9.899988
PL61,9.344355
PL62,8.81814
PL63,9.45196
PL71,9.595057
PL72,9.515802
PL81,9.24032
PL82,9.216394
PL84,8.511805
PL91,9.272181
PL92,9.127985
PT11,14.507746
PT15,18.808191
TRB1,12.528833
TRB2,10.593378
TRC1,17.349878
RS12,12.810724
RS21,11.193079
RS22,11.347162
SE11,8.547602
SE12,7.638086
NL33,12.010065
NL34,12.144922
NL41,11.587854
NL42,11.41601
PL21,8.824457
UKM6,10.225489
TR22,16.271357
TRC2,18.224298
TRC3,18.3482
UKC1,10.288263
UKC2,10.215387
UKD1,10.107386
UKD3,10.486597
UKD4,10.661188
UKD6,10.956263
UKD7,11.562799
UKE1,11.353022
UKE2,10.356562
UKE3,10.809198
RO41,11.468348
RO42,10.877893
RS11,13.051905
TR41,14.168177
TR42,13.9396
TR51,13.261042
TR52,13.598688
TR61,15.5012455
TR62,16.593348
TR63,16.459497
TR71,13.289423
TR72,11.069727
TR81,13.330805
UKK1,11.490168
UKK2,12.217279
UKK3,12.996637
UKK4,12.275385
UKL1,11.581995
UKL2,10.60647
UKM5,9.629175
UKM7,9.169214
UKM8,9.903437
UKM9,10.231195
UKN0,10.88595
SE21,8.567163
SE22,9.448938
SE23,8.483515
SE31,5.82229
SE32,3.7653136
SE33,2.1107116
SI03,10.783258
SI04,10.971521
SK01,11.13534
SK02,10.472223
SK03,8.389978
SK04,8.849787
TR10,16.886286
TR21,15.871515
UKE4,10.312494
UKF1,10.813227
UKF2,11.212976
UKF3,11.525721
UKG1,11.044092
UKG2,10.684626
UKG3,11.083155
UKH1,11.962702
UKH2,11.546106
UKH3,12.114832
UKI3,11.83526
UKI4,11.83526
UKI5,11.795008
UKI6,11.81518
UKI7,11.701471
UKJ1,11.372797
UKJ2,12.506556
UKJ3,12.2494755
UKJ4,12.494837
NO09,6.001764
NO0A,5.483667
NO0B,2.6875548
HR05,12.297449
HR06,12.06518
NO02,2.7802672
NO06,4.599817
NO07,2.785211
NO08,4.816339
