nuts,September Mean Temperature (°C) ensemble median - RCP4.5 - (2011 - 2040)
DE50,14.905848
DE60,14.893885
DE71,14.926447
DE72,14.039576
DE73,13.865534
DE80,14.837854
DE91,14.375849
BG41,16.117853
BG42,17.928675
CH01,10.61471
AT32,10.206354
AT33,8.829584
AT34,10.153711
BE10,15.546076
BE23,15.707727
BE24,15.488642
BE25,15.903711
BE31,15.236902
BE32,15.26977
BE33,14.165033
BE34,13.995844
BE35,14.555231
BG31,18.498468
BG32,18.758783
BG33,18.784266
BG34,19.228815
DE92,14.853266
DE93,14.969568
DE94,15.081354
CZ07,14.165552
CZ08,13.914392
AL01,17.995386
AL02,19.038416
AL03,19.516779
AT11,16.23321
AT12,14.827326
AT13,16.256708
AT21,11.902796
AT22,12.537806
AT31,13.59057
DK05,14.321283
BE21,15.619043
BE22,15.339197
ES43,22.710382
ES51,19.176752
ES52,21.58407
ES53,24.144068
ES61,22.897303
ES62,22.49264
ES63,22.029139
ES64,24.69018
CH02,12.35058
CH03,14.875055
CH04,14.565393
CH05,10.271509
CH06,11.447077
CH07,12.577997
CY00,26.23263
CZ01,15.026484
CZ02,14.480341
CZ03,13.621759
CZ04,13.549341
CZ05,13.69491
CZ06,14.806879
DE40,15.126581
EL53,18.058252
EL54,19.575098
EL61,21.16421
EL62,23.64123
EL63,21.589197
ES70,22.689539
ITC1,15.045496
ITC2,9.387323
DE11,14.569971
DE12,15.04394
DE13,14.688623
DE14,14.031305
DE21,13.807337
DE22,14.441858
DE23,14.004633
DE24,13.844263
DE25,14.464167
DE26,14.457788
DE27,13.288416
DE30,15.2747135
EL42,23.995142
LV00,12.671778
ME00,16.170923
MK00,17.752283
MT00,25.264643
NL11,15.171778
NL12,15.751032
EL64,21.743189
EL65,22.771967
ES11,17.597834
ES12,16.609858
ES13,17.27688
ES21,17.904627
ES22,18.132685
ES23,17.340876
ES24,18.822931
ES30,20.53219
IE05,13.911188
IE06,13.655481
IS00,6.105493
ITC3,18.868158
FI19,10.675409
FI1B,12.143518
FI1C,11.695337
DEA1,15.366114
DEA2,14.51272
DEA3,15.200861
DEA4,14.6609745
DEA5,14.121698
DEB1,14.293421
DEB2,13.90362
DEB3,15.364771
DEC0,14.758997
DED2,14.517725
DED4,13.688013
DED5,15.333521
DEE0,14.965815
DEF0,14.829218
DEG0,14.021753
DK01,14.808283
DK02,14.97497
DK03,14.51034
DK04,14.231867
ES41,18.095972
ES42,21.10879
HU23,17.377375
HU31,16.743158
HU32,17.679956
HU33,17.84701
IE04,13.528437
EE00,12.609797
EL30,24.098352
EL41,23.077143
EL43,23.895441
EL51,20.486475
EL52,21.117243
FI20,13.500788
FR10,16.11175
FRB0,16.64361
FRC1,16.33877
FRC2,15.539637
FRD1,15.874231
FRD2,15.687738
FRE1,15.589014
FRE2,15.632135
FRF1,15.34527
NL13,14.923304
NL21,15.107264
NL22,15.279291
NL23,15.47201
NL31,15.355005
NL32,15.995569
ITG2,21.988855
ITH1,9.049219
ITH2,12.493952
FRI3,17.71908
FRJ1,17.757715
FRJ2,17.03454
FRK1,15.248072
FRK2,14.875879
FRL0,17.043238
FRM0,20.904993
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,23.017542
TR32,22.943872
TR33,20.072412
HR03,19.233698
HR02,17.576288
HU11,17.272608
HU12,17.205347
HU21,17.008112
HU22,17.006647
PT16,20.311243
PT17,20.893183
FRF2,15.525629
FRF3,15.0932865
FRG0,16.87884
FRH0,16.353785
FRI1,18.563776
FRI2,16.225641
ITC4,16.785913
ITF1,18.201502
ITF2,19.170527
ITF3,20.433191
ITF4,22.412836
ITF5,20.383081
ITF6,21.85592
ITG1,23.381433
LT01,12.771845
LT02,13.040674
LU00,13.954798
PL22,14.297388
PL41,14.6826725
PL42,14.591913
PT18,22.348475
PT20,-273.15
PT30,-273.15
RO11,14.961298
RO12,13.893732
RO21,15.098169
RO22,18.341333
RO31,17.936335
RO32,18.992395
ITH3,17.543787
ITH4,16.300684
ITH5,19.611536
ITI1,19.927332
ITI2,18.53042
ITI3,19.491999
ITI4,19.581293
LI00,11.775324
FI1D,8.802607
TR82,17.707026
TR83,18.084467
TR90,15.89361
TRA1,14.951532
TRA2,12.976099
PL43,15.072351
PL51,14.288691
PL52,14.721369
PL61,14.198633
PL62,13.623377
PL63,14.158716
PL71,14.51269
PL72,14.452326
PL81,14.313349
PL82,14.183588
PL84,13.459986
PL91,14.232843
