nuts,August Mean Temperature (°C) ensemble median - RCP4.5 - (2041 - 2070)
DE50,18.611444
DE60,18.649347
DE71,19.62057
DE72,18.492273
DE73,18.241022
DE80,18.96255
DE91,18.673426
BG41,21.509546
BG42,23.387934
CH01,15.207361
AT32,15.009119
AT33,13.532312
AT34,14.797358
BE10,19.173822
BE23,19.140253
BE24,19.173578
BE25,19.067713
BE31,18.948542
BE32,18.90542
BE33,18.101526
BE34,18.156
BE35,18.496912
BG31,24.2344
BG32,24.360743
BG33,24.114649
BG34,24.493586
DE92,18.922632
DE93,18.890802
DE94,18.647028
CZ07,19.519617
CZ08,19.19134
AL01,23.392206
AL02,24.263056
AL03,24.621576
AT11,21.679346
AT12,20.205347
AT13,21.745874
AT21,16.85348
AT22,17.56341
AT31,18.693659
DK05,17.844385
BE21,19.250605
BE22,19.19436
ES43,27.114038
ES51,23.47198
ES52,25.734766
ES53,26.910456
ES61,27.100306
ES62,26.725428
ES63,23.720758
ES64,27.54806
CH02,17.015223
CH03,19.739435
CH04,19.44552
CH05,14.910852
CH06,16.054499
CH07,17.278284
CY00,29.271723
CZ01,20.26385
CZ02,19.688623
CZ03,18.81518
CZ04,18.4862
CZ05,18.85467
CZ06,20.232325
DE40,19.712915
EL53,23.562464
EL54,24.636469
EL61,25.875666
EL62,26.725214
EL63,26.178583
ES70,22.608423
ITC1,20.011774
ITC2,14.109766
DE11,19.448938
DE12,19.857264
DE13,19.49676
DE14,18.863062
DE21,18.744837
DE22,19.60415
DE23,19.039698
DE24,18.65069
DE25,19.43014
DE26,19.263147
DE27,18.16369
DE30,19.919397
EL42,26.543818
LV00,18.033564
ME00,21.622187
MK00,23.449305
MT00,27.343805
NL11,18.345026
NL12,18.513758
EL64,26.259241
EL65,27.014307
ES11,19.876581
ES12,18.868769
ES13,19.749262
ES21,20.573145
ES22,21.797937
ES23,21.086878
ES24,23.49792
ES30,25.68719
IE05,15.957911
IE06,16.022943
IS00,9.888025
ITC3,23.188929
FI19,16.075098
FI1B,17.34405
FI1C,17.019037
DEA1,19.281763
DEA2,18.586176
DEA3,19.123957
DEA4,18.731287
DEA5,18.212824
DEB1,18.737299
DEB2,18.318445
DEB3,20.115595
DEC0,19.436792
DED2,19.334864
DED4,18.403376
DED5,20.028467
DEE0,19.41189
DEF0,18.394342
DEG0,18.548578
DK01,18.693415
DK02,18.65542
DK03,18.01916
DK04,17.757807
ES41,22.055689
ES42,26.296778
HU23,23.15539
HU31,22.568628
HU32,23.681635
HU33,23.829615
IE04,15.552912
EE00,17.734919
EL30,28.077845
EL41,26.577967
EL43,26.875269
EL51,25.829187
EL52,26.33999
FI20,18.05807
FR10,20.261255
FRB0,20.782251
FRC1,20.948603
FRC2,20.2167
FRD1,18.853083
FRD2,19.015924
FRE1,18.887354
FRE2,19.41488
FRF1,20.133905
NL13,18.361475
NL21,18.67727
NL22,18.86886
NL23,18.650202
NL31,18.695948
NL32,18.67193
ITG2,26.149744
ITH1,13.738855
ITH2,17.077112
FRI3,21.438715
FRJ1,22.142084
FRJ2,21.241632
FRK1,19.717707
FRK2,19.613214
FRL0,21.670374
FRM0,24.908808
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,27.83819
TR32,27.96197
TR33,25.319849
HR03,24.456415
HR02,23.444391
HU11,23.01858
HU12,22.968042
HU21,22.658808
HU22,22.62176
PT16,23.163752
PT17,22.406763
FRF2,19.972834
FRF3,19.741693
FRG0,20.287317
FRH0,18.678461
FRI1,22.190485
FRI2,20.303522
ITC4,21.995264
ITF1,23.423578
ITF2,24.40127
ITF3,25.214746
ITF4,27.116632
ITF5,25.674585
ITF6,25.974482
ITG1,26.96316
LT01,18.32635
LT02,18.44729
LU00,18.28863
PL22,19.546076
PL41,19.759485
PL42,19.068323
PT18,25.197474
PT20,-273.15
PT30,-273.15
RO11,20.774683
RO12,19.477716
RO21,20.767786
RO22,24.065577
RO31,23.721552
RO32,24.943445
