nuts,Spring Mean Temperature (°C) ensemble median - RCP4.5 - (2041 - 2070)
DE50,10.128656
DE60,9.676264
DE71,10.512262
DE72,9.630213
DE73,9.381342
DE80,9.433893
DE91,9.7096195
BG41,10.531336
BG42,11.676935
CH01,4.5903563
AT32,4.7628417
AT33,3.1238036
AT34,4.837335
BE10,10.94549
BE23,10.958246
BE24,10.927637
BE25,10.788507
BE31,10.661951
BE32,10.641901
BE33,9.736231
BE34,9.671015
BE35,10.141016
BG31,13.125116
BG32,12.84231
BG33,12.132898
BG34,12.459467
DE92,10.180475
DE93,10.077021
DE94,10.123621
CZ07,9.713251
CZ08,9.500116
AL01,12.003931
AL02,12.946192
AL03,12.9465275
AT11,11.55578
AT12,10.211939
AT13,11.561396
AT21,6.6102843
AT22,7.5888915
AT31,9.0637455
DK05,8.272028
BE21,11.046473
BE22,10.8806095
ES43,15.476282
ES51,12.7185
ES52,14.784998
ES53,16.412134
ES61,15.9283695
ES62,15.674921
ES63,16.564905
ES64,18.278833
CH02,7.1617675
CH03,10.460413
CH04,10.062616
CH05,4.5453124
CH06,5.99328
CH07,6.717462
CY00,18.604853
CZ01,10.441065
CZ02,9.955866
CZ03,9.16485
CZ04,8.971949
CZ05,9.21908
CZ06,10.215815
DE40,10.4283085
EL53,11.44488
EL54,12.800928
EL61,14.203211
EL62,16.42248
EL63,14.554712
ES70,18.290918
ITC1,8.890894
ITC2,2.5074706
DE11,10.22085
DE12,10.62005
DE13,10.217493
DE14,9.664942
DE21,9.433374
DE22,10.301813
DE23,9.687433
DE24,9.454859
DE25,10.195215
DE26,10.115839
DE27,8.867975
DE30,10.570368
EL42,17.258966
LV00,7.614984
ME00,10.326593
MK00,11.622065
MT00,17.163263
NL11,9.915766
NL12,9.708582
EL64,14.785151
EL65,15.3458805
ES11,11.936304
ES12,10.865747
ES13,11.315638
ES21,12.009302
ES22,11.988642
ES23,10.917994
ES24,12.197626
ES30,12.919428
IE05,9.513788
IE06,9.403437
IS00,1.9069153
ITC3,12.6462345
FI19,5.1431518
FI1B,5.484735
FI1C,5.44552
DEA1,10.954065
DEA2,10.0898075
DEA3,10.692804
DEA4,10.066706
DEA5,9.657801
DEB1,9.89889
DEB2,9.56283
DEB3,10.867304
DEC0,10.413538
DED2,10.0185795
DED4,9.119715
DED5,10.609247
DEE0,10.232843
DEF0,9.22204
DEG0,9.376459
DK01,7.9689574
DK02,8.392023
DK03,8.554865
DK04,8.301355
ES41,11.170099
ES42,13.601862
HU23,12.761347
HU31,12.300837
HU32,13.0533695
HU33,13.126917
IE04,9.376673
EE00,6.589807
EL30,16.746698
EL41,16.337702
EL43,16.940119
EL51,13.47204
EL52,14.405542
FI20,4.8760924
FR10,11.380182
FRB0,11.763941
FRC1,11.579096
FRC2,10.853083
FRD1,10.860956
FRD2,10.780909
FRE1,10.68487
FRE2,10.911585
FRF1,10.846277
NL13,10.157221
NL21,10.44137
NL22,10.709101
NL23,10.382471
NL31,10.543299
NL32,9.964655
ITG2,14.94076
ITH1,3.1971679
ITH2,6.7055907
FRI3,12.604792
FRJ1,11.922266
FRJ2,11.351709
FRK1,10.2182255
FRK2,9.32818
FRL0,10.829554
FRM0,14.093927
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,15.669916
TR32,15.224085
TR33,12.753046
HR03,13.278254
HR02,12.831446
HU11,12.659571
HU12,12.587763
HU21,12.345423
HU22,12.341333
PT16,14.337549
PT17,15.817438
FRF2,11.032068
FRF3,10.652491
FRG0,11.917261
FRH0,11.245386
FRI1,13.09469
FRI2,11.258081
ITC4,10.949701
ITF1,11.752222
ITF2,12.772791
ITF3,13.806238
ITF4,15.478022
ITF5,13.680628
ITF6,14.704737
ITG1,15.862635
LT01,8.368433
LT02,8.327387
LU00,9.642664
PL22,9.920465
PL41,10.124048
PL42,9.448053
PT18,16.193384
PT20,-273.15
PT30,-273.15
RO11,10.720972
RO12,9.278406
RO21,10.395319
RO22,12.146204
RO31,12.428247
RO32,13.349421
ITH3,11.452875
ITH4,10.684534
ITH5,13.444178
ITI1,13.529963
ITI2,12.262598
ITI3,13.129572
ITI4,13.031519
LI00,6.458795
FI1D,3.3017516
TR82,10.841364
TR83,11.521082
TR90,8.526667
TRA1,6.3304076
TRA2,5.095056
PL43,10.4994755
PL51,9.8346195
PL52,10.304255
PL61,9.590418
PL62,8.959528
PL63,8.688868
PL71,10.087976
PL72,10.1557865
PL81,10.054926
PL82,10.108789
PL84,9.109644
PL91,9.994532
PL92,9.761164
PT11,12.777246
PT15,16.40661
TRB1,10.441767
TRB2,8.025476
TRC1,15.331842
