nuts,May Mean Temperature (°C) ensemble median - RCP8.5 - (2011 - 2040)
DE50,13.594385
DE60,13.290491
DE71,14.037287
DE72,13.149256
DE73,12.972528
DE80,13.355371
DE91,13.50503
BG41,14.7686405
BG42,16.08227
CH01,8.078882
AT32,8.81991
AT33,7.0361876
AT34,8.5490055
BE10,13.8189335
BE23,13.683008
BE24,13.849665
BE25,13.33581
BE31,13.5524845
BE32,13.4187565
BE33,12.831232
BE34,12.743677
BE35,13.092066
BG31,17.535944
BG32,17.584528
BG33,16.89953
BG34,17.017054
DE92,13.81872
DE93,13.776972
DE94,13.424768
CZ07,14.218927
CZ08,13.998957
AL01,15.918879
AL02,16.643244
AL03,16.695032
AT11,16.011591
AT12,14.609797
AT13,16.019434
AT21,10.897913
AT22,12.005457
AT31,13.217585
DK05,11.753962
BE21,14.0255375
BE22,13.972437
ES43,18.096216
ES51,15.560389
ES52,17.522211
ES53,18.592371
ES61,18.466028
ES62,18.454218
ES63,18.031885
ES64,20.526697
CH02,10.566462
CH03,13.739313
CH04,13.422602
CH05,8.376276
CH06,9.362024
CH07,10.296228
CY00,21.534266
CZ01,14.711512
CZ02,14.238092
CZ03,13.397089
CZ04,13.220911
CZ05,13.66839
CZ06,14.722559
DE40,14.665979
EL53,15.580591
EL54,16.618952
EL61,18.162867
EL62,19.04748
EL63,18.152826
ES70,18.887476
ITC1,12.505213
ITC2,6.241449
DE11,13.850397
DE12,14.171381
DE13,13.751123
DE14,13.287958
DE21,13.298792
DE22,14.278589
DE23,13.731043
DE24,13.386408
DE25,14.019434
DE26,13.821192
DE27,12.548487
DE30,14.871851
EL42,19.52511
LV00,12.947962
ME00,14.387934
MK00,15.85882
MT00,18.995478
NL11,12.959467
NL12,12.449732
EL64,18.605646
EL65,18.8399
ES11,13.455317
ES12,12.577478
ES13,13.235804
ES21,14.01391
ES22,14.563807
ES23,13.494593
ES24,15.308496
ES30,15.854425
IE05,11.421137
IE06,11.344019
IS00,4.043573
ITC3,15.57107
FI19,10.579767
FI1B,10.7494755
FI1C,10.934107
DEA1,14.16427
DEA2,13.332941
DEA3,14.06637
DEA4,13.597376
DEA5,13.103876
DEB1,13.251947
DEB2,12.828638
DEB3,14.286676
DEC0,13.701532
DED2,14.220758
DED4,13.172419
DED5,14.665888
DEE0,14.198877
DEF0,12.723261
DEG0,13.238855
DK01,11.660883
DK02,12.127283
DK03,12.144098
DK04,11.882654
ES41,13.745386
ES42,16.493586
HU23,17.473871
HU31,16.989618
HU32,17.87594
HU33,17.918604
IE04,11.276819
EE00,11.804804
EL30,20.238337
EL41,19.303461
EL43,19.713587
EL51,17.72915
EL52,18.610804
FI20,8.399317
FR10,14.062342
FRB0,14.400782
FRC1,14.539637
FRC2,14.03393
FRD1,12.991114
FRD2,13.074457
FRE1,13.14126
FRE2,13.569696
FRF1,14.232477
NL13,13.319788
NL21,13.658258
NL22,13.855127
NL23,13.335474
NL31,13.545618
NL32,12.577326
ITG2,17.661829
ITH1,6.960504
ITH2,10.628534
FRI3,15.1672
FRJ1,14.674707
FRJ2,14.017908
FRK1,13.021997
FRK2,12.581324
FRL0,13.962458
FRM0,16.778193
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,19.603388
TR32,19.022638
TR33,16.946283
HR03,16.9638
HR02,17.364801
HU11,17.397028
HU12,17.268671
HU21,16.986109
HU22,16.896906
PT16,16.294733
PT17,17.363367
FRF2,14.001429
FRF3,13.846064
FRG0,14.284449
FRH0,13.18371
FRI1,15.6210575
FRI2,13.843134
ITC4,14.702021
ITF1,15.550898
ITF2,16.517237
ITF3,17.067896
ITF4,18.9591
ITF5,17.46078
ITF6,17.799646
ITG1,18.649317
LT01,14.009485
LT02,13.733545
LU00,12.8189945
PL22,14.58407
PL41,14.906366
PL42,13.836878
PT18,18.254938
PT20,-273.15
PT30,-273.15
RO11,15.367945
RO12,13.868341
RO21,15.3612
RO22,17.351221
