nuts,February Mean Temperature (°C) (1981 - 2010)
UKF3,4.432092
UKG1,4.21261
UKG2,3.954187
UKG3,4.231836
UKH1,4.515405
UKH2,4.343408
UKH3,4.638208
UKI3,4.564203
UKI4,4.564203
UKI5,4.5075927
UKI6,4.5292296
UKI7,4.4807677
UKJ1,4.3315063
UKJ2,5.146417
UKJ3,5.154077
UKJ4,4.935022
NO09,-3.3555055
NO0A,-2.5718446
NO0B,-3.5056825
HR05,2.1450133
HR06,1.9389893
NO02,-7.7984376
NO06,-4.581061
NO07,-7.597052
NO08,-5.323981
