nuts,January Mean Temperature (°C) ensemble median - RCP4.5 - (2041 - 2070)
DE50,3.2980285
DE60,2.8654418
DE71,2.4259276
DE72,1.8284851
DE73,1.6507508
DE80,2.199884
DE91,2.1290526
BG41,0.51082766
BG42,1.9966675
CH01,-3.6935182
AT32,-4.378485
AT33,-5.997565
AT34,-4.3056703
BE10,4.7105346
BE23,5.0184264
BE24,4.615289
BE25,5.4034667
BE31,4.352655
BE32,4.5137877
BE33,3.0095153
BE34,2.663385
BE35,3.5797057
BG31,1.067041
BG32,1.4449402
BG33,2.4116454
BG34,2.9450622
DE92,2.981378
DE93,2.9277587
DE94,3.6802917
CZ07,-0.25342408
CZ08,-0.2666687
AL01,3.5426574
AL02,4.745477
AL03,5.724878
AT11,1.138086
AT12,0.5247742
AT13,1.7184998
AT21,-3.2265382
AT22,-2.1709352
AT31,-0.50220335
DK05,2.9968505
BE21,4.7335143
BE22,4.288049
ES43,8.408411
ES51,6.4329467
ES52,9.101923
ES53,13.410822
ES61,9.671442
ES62,9.796534
ES63,14.101465
ES64,13.914972
CH02,-0.8590454
CH03,2.2701354
CH04,1.7533814
CH05,-4.3906617
CH06,-1.9722046
CH07,-1.9633545
CY00,13.703547
CZ01,1.2692505
CZ02,0.7818543
CZ03,-0.14642945
CZ04,0.044641115
CZ05,-0.1086792
CZ06,0.45455322
DE40,2.0676513
EL53,2.5041137
EL54,5.8443236
EL61,7.3235717
EL62,12.761103
EL63,8.680811
ES70,17.937464
ITC1,0.49328002
ITC2,-5.9851747
DE11,1.6177002
DE12,2.2168822
DE13,1.9423157
DE14,1.0560242
DE21,0.19262084
DE22,0.8256775
DE23,0.48156127
DE24,0.79989016
DE25,1.376825
DE26,1.7658936
DE27,0.11611328
DE30,2.0651183
EL42,14.244562
LV00,-1.7834228
ME00,2.0538878
MK00,1.6158081
MT00,15.349939
NL11,3.973413
NL12,4.9207397
EL64,8.488306
EL65,10.031397
ES11,8.135279
ES12,7.343103
ES13,7.442102
ES21,7.9141173
ES22,6.1665587
ES23,5.3433776
ES24,5.4867797
ES30,5.430383
IE05,6.644525
IE06,5.9718566
IS00,-1.1160034
ITC3,6.4936156
FI19,-4.9697633
FI1B,-2.9706483
FI1C,-3.7860475
DEA1,4.0745177
DEA2,3.1005797
DEA3,3.8505797
DEA4,2.957666
DEA5,2.4255614
DEB1,2.365625
DEB2,2.130731
DEB3,2.7504516
DEC0,2.601129
DED2,1.2348877
DED4,0.56011355
DED5,2.3252196
DEE0,2.3111205
DEF0,2.8766112
DEG0,1.2043091
DK01,2.541162
DK02,2.6658263
DK03,2.688043
DK04,2.6513915
ES41,5.066156
ES42,6.3005004
HU23,1.9627625
HU31,0.539148
HU32,1.1713806
HU33,1.7130982
IE04,6.210443
EE00,-2.094336
EL30,11.6001835
EL41,12.205317
EL43,13.224054
EL51,5.1708007
EL52,5.778192
FI20,0.3861023
FR10,4.9312987
FRB0,5.2947936
FRC1,4.410913
FRC2,3.3120666
FRD1,6.298181
FRD2,5.578241
FRE1,5.1430907
FRE2,4.804895
FRF1,2.8263183
NL13,3.8888793
NL21,4.110315
NL22,4.369409
NL23,4.617273
NL31,4.632776
NL32,5.400171
ITG2,10.645533
ITH1,-6.379065
ITH2,-3.0598207
FRI3,6.514215
FRJ1,5.7552123
FRJ2,5.0478454
FRK1,3.7023559
FRK2,1.6098572
FRL0,3.9140868
FRM0,9.829309
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,8.852686
TR32,7.9209533
TR33,3.7557006
HR03,6.174066
HR02,2.3415465
HU11,1.3874756
HU12,1.230188
HU21,1.4880615
HU22,1.7484986
PT16,9.179132
PT17,12.380121
FRF2,4.0518126
FRF3,3.0961852
FRG0,6.5413146
FRH0,7.70791
FRI1,7.0678344
FRI2,4.9262023
ITC4,1.1848084
ITF1,5.0255065
ITF2,6.286218
ITF3,8.359766
ITF4,10.143793
ITF5,7.5546203
ITF6,10.33111
ITG1,12.114679
LT01,-2.0488038
LT02,-1.3096069
LU00,2.326776
PL22,0.016290283
PL41,0.899469
PL42,1.322168
PT18,10.59701
PT20,-273.15
PT30,-273.15
RO11,-1.1566833
RO12,-2.01438
RO21,-1.5257934
RO22,1.2885071
RO31,0.5615479
RO32,0.83822024
ITH3,2.3508239
ITH4,1.7906739
ITH5,4.7929015
ITI1,7.2023864
ITI2,5.037927
ITI3,6.3413634
ITI4,6.9058776
LI00,-2.5164857
FI1D,-8.728888
TR82,2.0685363
TR83,2.2126098
TR90,-1.1225342
TRA1,-5.7261415
TRA2,-6.2404237
PL43,1.5030762
PL51,0.5644165
PL52,0.7270142
PL61,0.37734374
PL62,-0.5775207
PL63,0.639032
PL71,0.36977538
PL72,0.13521728
PL81,-0.2802185
PL82,-0.5636047
PL84,-1.0114502
PL91,0.09835205
PL92,-0.102911375
PT11,7.2696776
PT15,12.469873
TRB1,-1.5082458
TRB2,-3.8491578
TRC1,4.363733
RS12,2.2758727
RS21,1.0267273
RS22,0.9409424
SE11,-0.12451782
SE12,-1.3120178
NL33,5.0805907
NL34,5.246362
NL41,4.6377807
NL42,4.2911315
PL21,-0.5868286
UKM6,5.636865
TR22,6.9884887
TRC2,4.4323363
TRC3,4.6842284
UKC1,4.833215
UKC2,4.879541
UKD1,4.708368
UKD3,5.014856
UKD4,5.2241454
UKD6,5.5290465
UKD7,6.122003
UKE1,5.577661
UKE2,4.8172545
UKE3,5.1043334
RO41,0.6889893
RO42,0.52160037
RS11,2.4954162
TR41,3.7665648
TR42,3.974176
TR51,2.0568786
TR52,2.0173583
TR61,5.2891784
TR62,5.3910766
TR63,4.1899047
TR71,1.6976868
TR72,-1.1574157
TR81,3.3617492
UKK1,5.7944274
UKK2,6.5645385
UKK3,8.244593
UKK4,6.9603515
UKL1,6.262506
UKL2,5.1908813
UKM5,4.570947
UKM7,3.881616
UKM8,4.891443
