nuts,February Mean Temperature (°C) ensemble median - RCP8.5 - (2041 - 2070)
DE50,4.0003905
DE60,3.562921
DE71,3.485498
DE72,2.798883
DE73,2.5896544
DE80,3.0374084
DE91,2.9300475
BG41,2.8354735
BG42,4.221582
CH01,-2.0737672
AT32,-2.253943
AT33,-3.8608766
AT34,-2.343451
BE10,5.355737
BE23,5.605615
BE24,5.260919
BE25,5.9302917
BE31,5.0049376
BE32,5.155847
BE33,3.6690917
BE34,3.3897338
BE35,4.1577086
BG31,3.9721618
BG32,4.219232
BG33,4.480554
BG34,5.029474
DE92,3.6731505
DE93,3.6630492
DE94,4.208154
CZ07,1.7338806
CZ08,1.4155823
AL01,5.0539184
AL02,6.267816
AL03,6.9428954
AT11,3.0190368
AT12,2.2856688
AT13,3.1983886
AT21,-0.88886106
AT22,0.012506103
AT31,1.4252259
DK05,3.2434936
BE21,5.3213134
BE22,4.934259
ES43,10.081293
ES51,7.8200927
ES52,10.427576
ES53,13.506098
ES61,11.236414
ES62,11.35531
ES63,14.608179
ES64,15.113794
CH02,0.5102173
CH03,3.5415282
CH04,3.1427245
CH05,-2.47016
CH06,-0.6259216
CH07,-0.25168458
CY00,14.340906
CZ01,2.7288756
CZ02,2.3525023
CZ03,1.5106751
CZ04,1.452478
CZ05,1.6062866
CZ06,2.3611083
DE40,3.0956664
EL53,4.313226
EL54,7.038873
EL61,8.375055
EL62,12.8120365
EL63,9.454615
ES70,18.15066
ITC1,2.2944274
ITC2,-4.269385
DE11,2.9278502
DE12,3.4440856
DE13,3.3039489
DE14,2.5006652
DE21,1.9272705
DE22,2.4132934
DE23,1.9157349
DE24,1.9488465
DE25,2.6267333
DE26,2.849237
DE27,1.6260926
DE30,3.1355224
EL42,14.325495
LV00,-1.1754516
ME00,3.78515
MK00,3.7532897
MT00,15.006556
NL11,4.4180846
NL12,4.9310546
EL64,9.356043
EL65,10.673487
ES11,8.752893
ES12,7.8390136
ES13,8.080225
ES21,8.479059
ES22,7.1854186
ES23,6.3556457
ES24,6.8430724
ES30,7.153711
IE05,7.103418
IE06,6.5631347
IS00,0.22326049
ITC3,7.378717
FI19,-4.045813
FI1B,-2.7762513
FI1C,-3.3523316
DEA1,4.6912475
DEA2,3.759027
DEA3,4.3679748
