nuts,Autumn Mean Temperature (°C) ensemble median - RCP4.5 - (2071 - 2100)
DE50,11.604303
DE60,11.509516
DE71,11.142969
DE72,10.4413395
DE73,10.31518
DE80,11.229731
DE91,10.806818
BG41,11.858698
BG42,13.431574
CH01,6.943506
AT32,6.5762877
AT33,5.2220397
AT34,6.694513
BE10,12.520319
BE23,12.732172
BE24,12.453821
BE25,13.063135
BE31,12.225519
BE32,12.285334
BE33,11.099207
BE34,10.8424015
BE35,11.526087
BG31,13.530207
BG32,13.8388
BG33,14.177149
BG34,14.651667
DE92,11.41485
DE93,11.47674
DE94,11.86413
CZ07,10.217127
CZ08,10.152369
AL01,14.518152
AL02,15.58938
AL03,16.027124
AT11,11.792749
AT12,10.663721
AT13,11.864527
AT21,8.025721
AT22,8.655573
AT31,9.75506
DK05,11.566736
BE21,12.549402
BE22,12.254023
ES43,18.563196
ES51,15.801966
ES52,18.193995
ES53,21.730738
ES61,19.195398
ES62,19.027979
ES63,20.318293
ES64,21.979334
CH02,8.840754
CH03,11.250086
CH04,11.050501
CH05,6.683038
CH06,8.071924
CH07,8.880884
CY00,23.659937
CZ01,10.951838
CZ02,10.462976
CZ03,9.657068
CZ04,9.566858
CZ05,9.822382
CZ06,10.635462
DE40,11.248194
EL53,13.93783
EL54,15.940363
EL61,17.496332
EL62,21.199427
EL63,18.250757
ES70,22.545465
ITC1,11.043207
ITC2,5.597772
DE11,10.763514
DE12,11.247736
DE13,10.998011
DE14,10.449396
DE21,10.134729
DE22,10.512812
DE23,10.052057
DE24,9.974878
DE25,10.589624
DE26,10.638544
DE27,9.734034
DE30,11.312769
EL42,21.926264
LV00,8.677393
ME00,12.727198
MK00,13.409571
MT00,23.39242
NL11,12.067713
NL12,12.946039
EL64,18.260248
EL65,19.479761
ES11,15.089228
ES12,14.290369
ES13,14.836206
ES21,15.463007
ES22,14.825953
ES23,13.969141
ES24,14.887537
ES30,15.775599
IE05,12.169703
IE06,11.764826
IS00,4.5065856
ITC3,15.573877
FI19,6.789972
FI1B,8.292292
FI1C,7.769586
DEA1,12.163996
DEA2,11.288172
DEA3,11.906
DEA4,11.280481
DEA5,10.803797
DEB1,10.808466
DEB2,10.5212345
DEB3,11.521631
DEC0,11.2052555
DED2,10.679224
DED4,9.901484
DED5,11.458551
DEE0,11.182032
DEF0,11.567102
DEG0,10.269953
DK01,11.698725
DK02,11.876581
DK03,11.498529
DK04,11.361322
ES41,14.059595
ES42,16.476618
HU23,12.995539
HU31,11.997889
HU32,12.905756
HU33,13.210566
IE04,11.849237
EE00,8.722467
EL30,20.975397
EL41,20.452051
EL43,21.587275
EL51,16.238092
EL52,17.004541
FI20,10.266657
FR10,12.91363
FRB0,13.427332
FRC1,12.836481
FRC2,11.962305
FRD1,13.354364
FRD2,12.936182
FRE1,12.76269
FRE2,12.570398
FRF1,11.562098
NL13,11.825373
NL21,11.976679
NL22,12.155146
NL23,12.449121
NL31,12.335108
NL32,13.285395
ITG2,19.259485
ITH1,5.265344
ITH2,8.685572
FRI3,14.684931
FRJ1,14.43902
FRJ2,13.83993
FRK1,11.987574
FRK2,11.151056
FRL0,13.489466
FRM0,18.146448
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,19.296198
TR32,18.976068
TR33,15.512903
HR03,15.878687
HR02,13.395624
HU11,12.602686
HU12,12.51269
HU21,12.511438
HU22,12.580103
PT16,17.327784
PT17,19.152765
FRF2,12.243891
FRF3,11.602259
FRG0,14.021936
FRH0,14.230524
FRI1,15.458887
FRI2,13.13415
ITC4,12.51388
ITF1,15.028742
ITF2,16.039331
ITF3,17.48147
ITF4,19.245874
ITF5,17.211634
ITF6,19.101557
ITG1,20.808985
LT01,8.5750675
LT02,9.032312
LU00,10.670557
PL22,10.4578495
PL41,10.764215
PL42,10.863611
PT18,19.304804
PT20,-273.15
PT30,-273.15
RO11,10.617914
RO12,9.516809
RO21,10.303736
RO22,13.4873905
RO31,12.955072
RO32,13.808344
ITH3,13.39889
ITH4,12.342463
ITH5,15.441156
ITI1,16.520838
ITI2,15.006098
ITI3,16.109247
ITI4,16.396448
LI00,8.427546
FI1D,4.5342345
TR82,13.724695
TR83,14.116083
TR90,11.941492
TRA1,9.804895
TRA2,8.665155
PL43,11.116144
PL51,10.408899
PL52,10.885767
PL61,10.357416
PL62,9.770807
PL63,10.483942
PL71,10.563684
PL72,10.494104
PL81,10.158411
PL82,10.205774
PL84,9.375574
PL91,10.203333
PL92,10.064447
PT11,15.558008
PT15,19.921595
TRB1,14.097956
TRB2,12.252375
TRC1,18.748377
RS12,14.01861
RS21,12.469385
RS22,12.638117
SE11,9.529108
SE12,8.658991
NL33,12.887384
NL34,13.004663
NL41,12.445154
NL42,12.263819
PL21,9.864161
UKM6,11.072779
TR22,17.41305
TRC2,19.6224
TRC3,19.786982
UKC1,11.135523
UKC2,11.0681095
UKD1,10.969751
UKD3,11.366755
UKD4,11.531122
UKD6,11.84701
UKD7,12.434504
UKE1,12.195856
UKE2,11.215845
UKE3,11.6609745
RO41,12.717432
RO42,11.975397
RS11,14.271112
TR41,15.363733
TR42,15.077417
TR51,14.598749
TR52,14.988642
TR61,16.872187
TR62,17.995813
TR63,17.860926
TR71,14.6922245
TR72,12.43136
TR81,14.472437
UKK1,12.386713
UKK2,13.068628
UKK3,13.934351
UKK4,13.110559
UKL1,12.447046
UKL2,11.515284
UKM5,10.536341
UKM7,10.115381
UKM8,10.818903
UKM9,11.087336
UKN0,11.70434
SE21,9.587976
SE22,10.444971
SE23,9.532129
SE31,6.8870482
SE32,5.133081
SE33,3.6483092
SI03,11.881189
SI04,11.996424
SK01,12.140284
SK02,11.522882
SK03,9.425867
SK04,9.8745365
TR10,18.015009
TR21,16.926722
UKE4,11.169733
UKF1,11.684351
UKF2,12.119013
UKF3,12.38592
UKG1,11.970697
UKG2,11.589991
UKG3,11.993189
UKH1,12.83407
UKH2,12.3971195
UKH3,12.9555
UKI3,12.619257
UKI4,12.619257
UKI5,12.596003
UKI6,12.60528
UKI7,12.511194
UKJ1,12.243952
UKJ2,13.2955265
UKJ3,13.085413
UKJ4,13.297907
NO09,7.2333922
NO0A,6.681268
NO0B,4.5632567
HR05,13.376276
HR06,13.122736
NO02,3.9763732
NO06,6.1085753
NO07,4.4453673
NO08,5.97146
