nuts,Winter Mean Temperature (°C) ensemble median - RCP4.5 - (2071 - 2100)
DE50,4.0266356
DE60,3.7217345
DE71,3.233148
DE72,2.6777282
DE73,2.5337768
DE80,3.1657043
DE91,2.963037
BG41,1.6059815
BG42,3.160028
CH01,-2.6890626
AT32,-3.2510743
AT33,-4.6826844
AT34,-3.0453858
BE10,5.4367003
BE23,5.7250304
BE24,5.3404784
BE25,6.1369567
BE31,5.1000304
BE32,5.2552123
BE33,3.7741637
BE34,3.4613585
BE35,4.273889
BG31,2.534265
BG32,2.9172301
BG33,3.7424254
BG34,4.229303
DE92,3.7377563
DE93,3.7775207
DE94,4.349359
CZ07,0.8313843
CZ08,0.76546633
AL01,4.7654967
AL02,5.9432006
AL03,6.783441
AT11,2.2872252
AT12,1.4806153
AT13,2.6203856
AT21,-1.8701843
AT22,-1.0166076
AT31,0.65075076
DK05,3.984552
BE21,5.4306884
BE22,5.0181518
ES43,9.306879
ES51,7.2590575
ES52,9.886591
ES53,14.112268
ES61,10.572901
ES62,10.691584
ES63,14.816492
ES64,14.695124
CH02,0.021173095
CH03,3.327478
CH04,2.8260741
CH05,-3.2751222
CH06,-1.0983948
CH07,-0.82236326
CY00,14.741816
CZ01,2.160028
CZ02,1.7410523
CZ03,0.98284304
CZ04,1.12948
CZ05,0.9292542
CZ06,1.461084
DE40,3.0114684
EL53,3.6698241
EL54,6.836969
EL61,8.21557
EL62,13.406946
EL63,9.634699
ES70,18.58938
ITC1,1.4520508
ITC2,-4.928412
DE11,2.6455932
DE12,3.2195373
DE13,2.977594
DE14,2.1462646
DE21,1.3635498
DE22,1.9092041
DE23,1.5578247
DE24,1.6595398
DE25,2.3531127
DE26,2.5763183
DE27,1.145929
DE30,3.0301452
EL42,14.837702
LV00,-0.76068723
ME00,3.1589293
MK00,2.9085937
MT00,15.845575
NL11,4.665521
NL12,5.679956
EL64,9.378138
EL65,10.960627
ES11,8.7842655
ES12,7.9344726
ES13,8.078424
ES21,8.443079
ES22,6.7992187
ES23,5.972467
ES24,6.201135
ES30,6.3338256
IE05,7.3963256
IE06,6.7748656
IS00,0.30272827
ITC3,7.372247
FI19,-3.5391297
FI1B,-1.7979187
FI1C,-2.5584474
DEA1,4.766992
DEA2,3.836145
DEA3,4.4451537
DEA4,3.6615233
DEA5,3.1692748
DEB1,3.2065978
DEB2,2.9939513
DEB3,3.630548
DEC0,3.4630065
DED2,2.2007995
DED4,1.5899903
DED5,3.1099792
DEE0,3.141687
DEF0,3.7326903
DEG0,2.1431518
DK01,3.5191283
DK02,3.6615233
DK03,3.6110168
DK04,3.6322265
ES41,5.787866
ES42,7.1482177
HU23,3.0543761
HU31,1.9197937
HU32,2.405603
HU33,2.9763122
IE04,7.0497375
EE00,-0.9884399
EL30,12.461878
EL41,12.85232
EL43,13.886133
EL51,6.3493285
EL52,7.0073485
FI20,1.2943665
FR10,5.677606
FRB0,6.0467467
FRC1,5.14068
FRC2,4.1084228
FRD1,6.9423766
FRD2,6.269647
FRE1,5.913385
FRE2,5.516046
FRF1,3.7457824
NL13,4.532373
NL21,4.6963744
NL22,4.9283996
NL23,5.220361
NL31,5.190454
NL32,6.1146483
ITG2,11.33584
ITH1,-5.1807313
ITH2,-1.7160705
FRI3,7.284265
FRJ1,6.5201964
FRJ2,5.87948
FRK1,4.4969115
FRK2,2.6180053
FRL0,4.8218627
FRM0,10.449854
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,9.835199
TR32,8.918268
TR33,5.097528
HR03,6.903772
HR02,3.4988341
HU11,2.467401
HU12,2.352716
HU21,2.5729918
HU22,2.8505492
PT16,9.946009
PT17,13.018396
FRF2,4.7384276
FRF3,3.896295
FRG0,7.2133727
FRH0,8.315424
FRI1,7.8380675
FRI2,5.6419616
ITC4,2.3826842
ITF1,5.8812194
ITF2,7.033441
ITF3,8.857447
ITF4,10.741602
ITF5,8.118097
ITF6,10.831629
ITG1,12.623835
LT01,-0.9635376
LT02,-0.2998413
LU00,3.1903014
PL22,1.0806824
PL41,2.009912
PL42,2.3774352
PT18,11.407679
PT20,-273.15
PT30,-273.15
RO11,0.34050903
RO12,-0.78690183
RO21,-0.15891114
RO22,2.5603576
RO31,1.8512512
RO32,2.274469
ITH3,3.3976989
ITH4,2.716638
ITH5,5.7887816
ITI1,7.8519225
ITI2,5.633508
ITI3,6.977136
ITI4,7.4547057
LI00,-1.3972229
FI1D,-6.562567
TR82,3.602899
TR83,3.9213195
TR90,0.61431277
TRA1,-3.794623
TRA2,-4.1733155
PL43,2.5502563
PL51,1.5820252
PL52,1.7932068
PL61,1.501886
PL62,0.55007327
PL63,1.6423279
PL71,1.4855591
PL72,1.162439
PL81,0.7184998
PL82,0.46553954
PL84,0.06109009
PL91,1.1492554
PL92,0.93825686
PT11,8.05279
PT15,13.222132
TRB1,-0.07120361
TRB2,-2.137793
TRC1,5.922174
RS12,3.5196776
RS21,2.3472533
RS22,2.2629943
SE11,0.7972046
SE12,-0.15491334
NL33,5.73385
NL34,5.875879
NL41,5.287927
NL42,4.9897094
PL21,0.4165283
UKM6,6.413934
TR22,8.111658
TRC2,6.04281
TRC3,6.476892
UKC1,5.5487304
UKC2,5.6037536
UKD1,5.2914977
UKD3,5.613733
UKD4,5.776178
UKD6,6.064752
UKD7,6.6708617
UKE1,6.2307982
UKE2,5.4625487
UKE3,5.7159057
RO41,1.8364807
