nuts,January Mean Temperature (°C) ensemble median - RCP4.5 - (2071 - 2100)
DE50,3.600244
DE60,3.2482238
DE71,2.939386
DE72,2.2618651
DE73,1.9738098
DE80,2.4777465
DE91,2.2459655
BG41,0.9952942
BG42,1.9411255
CH01,-2.8455873
AT32,-3.4087892
AT33,-5.2428956
AT34,-3.4289002
BE10,4.9999022
BE23,5.336267
BE24,4.8945556
BE25,5.839441
BE31,4.6582885
BE32,4.8457274
BE33,3.302606
BE34,2.9926696
BE35,3.8655028
BG31,1.3135926
BG32,1.554895
BG33,2.5322204
BG34,3.1537719
DE92,3.1524596
DE93,3.281671
DE94,3.8905578
CZ07,0.109155275
CZ08,0.07091675
AL01,3.745294
AL02,4.8598266
AL03,5.8073974
AT11,1.5788208
AT12,1.1660095
AT13,2.002191
AT21,-2.2189393
AT22,-1.2583069
AT31,0.52172244
DK05,3.6837707
BE21,5.023401
BE22,4.5573974
ES43,8.695795
ES51,6.7809997
ES52,9.327936
ES53,13.808344
ES61,9.844263
ES62,9.948633
ES63,14.395075
ES64,14.230799
CH02,0.079278566
CH03,3.2271972
CH04,2.7543578
CH05,-3.5793824
CH06,-0.91699827
CH07,-1.0856689
CY00,14.050684
CZ01,1.8280884
CZ02,1.4906555
CZ03,0.7006165
CZ04,0.6562134
CZ05,0.43343505
CZ06,0.8678223
DE40,2.2827392
EL53,2.7462707
EL54,5.808557
EL61,7.195703
EL62,12.813501
EL63,8.715448
ES70,18.135828
ITC1,1.0259339
ITC2,-5.1808534
DE11,2.3453307
DE12,2.8472228
DE13,2.8854918
DE14,2.0556273
DE21,1.3345581
DE22,1.6896302
DE23,1.3652893
DE24,1.4603821
DE25,2.0928893
DE26,2.2924438
DE27,1.1570984
DE30,2.3159118
EL42,14.24798
LV00,-1.7047485
ME00,2.4575438
MK00,1.8103882
MT00,15.546717
NL11,4.2789245
NL12,5.385919
EL64,8.4439945
EL65,10.117334
ES11,8.386652
ES12,7.4865966
ES13,7.682977
ES21,8.123499
ES22,6.365991
ES23,5.5422606
ES24,5.7437987
ES30,5.7835937
IE05,7.2648864
IE06,6.652002
IS00,0.16066894
ITC3,7.109979
FI19,-4.501868
FI1B,-2.6130128
FI1C,-3.4119325
DEA1,4.3673644
DEA2,3.3983703
DEA3,4.017328
DEA4,3.0536132
DEA5,2.6812377
DEB1,2.7766051
DEB2,2.550653
DEB3,3.2698302
DEC0,3.049951
DED2,1.5989014
DED4,1.0247437
DED5,2.546472
DEE0,2.4686522
DEF0,3.248529
DEG0,1.6404358
DK01,3.020227
DK02,3.2271056
DK03,3.2775207
DK04,3.3352904
ES41,5.3368163
ES42,6.5155272
HU23,2.0580077
HU31,0.72368777
HU32,1.3362366
HU33,1.7956177
IE04,6.902307
EE00,-1.725653
EL30,11.602594
EL41,12.171015
EL43,13.235529
EL51,5.3056884
EL52,5.756372
FI20,0.7244812
FR10,5.2903686
FRB0,5.7252135
FRC1,4.846826
FRC2,3.897821
FRD1,6.7483153
FRD2,5.974237
FRE1,5.606195
FRE2,5.1318297
FRF1,3.4071593
NL13,4.1341186
NL21,4.331964
NL22,4.578668
NL23,4.9657836
NL31,4.9091125
NL32,5.8965697
ITG2,11.0324955
ITH1,-5.7675233
ITH2,-2.1584535
FRI3,7.2390685
FRJ1,6.3245482
FRJ2,5.5812926
FRK1,4.295404
FRK2,2.5148253
FRL0,4.5801024
FRM0,10.289148
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,9.239038
TR32,8.525507
TR33,4.412256
HR03,6.5756164
HR02,2.6390014
HU11,1.4108521
HU12,1.2581726
HU21,1.5281922
HU22,1.909021
PT16,9.443232
PT17,12.636896
FRF2,4.3098083
FRF3,3.4197936
FRG0,6.991693
FRH0,8.093378
FRI1,7.61886
FRI2,5.5681396
ITC4,1.9362427
ITF1,5.5150695
ITF2,6.7153563
ITF3,8.659693
ITF4,10.377314
ITF5,7.8562865
ITF6,10.583918
ITG1,12.351709
LT01,-2.153357
LT02,-1.3677429
LU00,2.7332702
PL22,0.24709472
PL41,1.0539795
PL42,1.4862915
PT18,10.848047
PT20,-273.15
PT30,-273.15
RO11,-0.9895996
RO12,-1.613562
RO21,-1.3946289
RO22,1.4285828
RO31,0.66201174
RO32,1.2216126
ITH3,2.940515
ITH4,2.2455077
ITH5,5.371362
ITI1,7.6726317
ITI2,5.4308105
ITI3,6.6901793
ITI4,7.2489257
LI00,-1.7504944
FI1D,-7.7987733
TR82,2.7135863
TR83,3.0003905
TR90,-0.15680543
TRA1,-5.025061
TRA2,-5.4069276
PL43,1.614618
PL51,0.86824954
PL52,1.0916077
PL61,0.4545227
PL62,-0.45700684
PL63,0.6307312
PL71,0.4991394
PL72,0.23082885
PL81,-0.22684327
PL82,-0.58884275
PL84,-0.9014343
PL91,0.23330078
PL92,0.028283691
PT11,7.5436645
PT15,12.753778
TRB1,-1.250769
TRB2,-3.3161988
TRC1,4.9378295
RS12,2.211267
RS21,1.481836
RS22,1.1881653
SE11,0.42287597
SE12,-0.59125364
NL33,5.496301
NL34,5.6443114
NL41,4.900537
NL42,4.5401855
PL21,-0.50293577
UKM6,6.187616
TR22,7.3724
TRC2,5.101373
TRC3,5.51806
UKC1,5.5153136
UKC2,5.5275207
UKD1,5.332849
UKD3,5.5286193
UKD4,5.7458434
UKD6,5.9515624
UKD7,6.5625854
UKE1,6.1596923
UKE2,5.49624
UKE3,5.6800475
RO41,0.91512454
RO42,0.71895754
RS11,2.574182
TR41,4.644647
TR42,4.7443175
TR51,2.7229857
TR52,2.784387
TR61,5.622522
TR62,6.0638976
TR63,4.639337
TR71,2.673822
TR72,-1.1131958
TR81,4.090265
UKK1,6.2967467
UKK2,7.1721435
UKK3,8.883692
UKK4,7.5898986
UKL1,6.877252
UKL2,5.648767
UKM5,5.2029967
UKM7,4.6246276
UKM8,5.5055175
UKM9,5.726709
UKN0,6.613977
SE21,0.8999878
SE22,1.8410584
SE23,0.66008914
SE31,-3.0275025
SE32,-5.0855775
SE33,-7.4875855
SI03,1.8009583
SI04,2.2410522
SK01,1.6113526
SK02,0.6802918
SK03,-1.2244629
SK04,-1.1777405
TR10,7.7039733
TR21,6.1153502
UKE4,5.376123
UKF1,5.60885
UKF2,5.8316283
UKF3,6.0979247
UKG1,5.8669066
UKG2,5.639917
UKG3,5.850366
UKH1,6.3137145
UKH2,5.984155
UKH3,6.3780456
UKI3,6.1978393
UKI4,6.1978393
UKI5,6.1613708
UKI6,6.191278
UKI7,6.13067
UKJ1,5.944238
UKJ2,7.0763183
UKJ3,6.9635863
UKJ4,6.825311
NO09,-1.4728454
NO0A,-0.6955017
NO0B,0.7393433
HR05,2.7793517
HR06,2.6296935
NO02,-6.1220155
NO06,-2.6086488
NO07,-4.6386476
NO08,-3.7770448
