nuts,September Mean Temperature (°C) ensemble median - RCP8.5 - (2071 - 2100)
DE50,17.8742
DE60,17.80099
DE71,18.320856
DE72,17.236078
DE73,16.97616
DE80,17.839594
DE91,17.511072
BG41,19.857508
BG42,21.556055
CH01,14.238794
AT32,13.859705
AT33,12.554102
AT34,13.831568
BE10,18.778742
BE23,18.841242
BE24,18.738794
BE25,18.947474
BE31,18.492395
BE32,18.489649
BE33,17.403162
BE34,17.416529
BE35,17.919153
BG31,22.191584
BG32,22.329798
BG33,22.264887
BG34,22.688684
DE92,17.983332
DE93,17.962214
DE94,18.051325
CZ07,17.491632
CZ08,17.366999
AL01,21.930323
AL02,23.030909
AL03,23.31991
AT11,19.540003
AT12,18.26977
AT13,19.667414
AT21,15.389093
AT22,16.041254
AT31,17.141077
DK05,16.797144
BE21,18.726221
BE22,18.53396
ES43,27.268488
ES51,22.814844
ES52,25.085443
ES53,27.254236
ES61,26.91421
ES62,26.11883
ES63,24.529291
ES64,27.622675
CH02,15.976801
CH03,18.433191
CH04,18.1513
CH05,13.947016
CH06,15.029383
CH07,16.349695
CY00,29.478449
CZ01,18.467707
CZ02,17.94546
CZ03,17.066584
CZ04,16.762476
CZ05,17.081263
CZ06,18.214624
DE40,18.329554
EL53,21.818354
EL54,23.333765
EL61,24.56222
EL62,26.756739
EL63,25.143854
ES70,24.537226
ITC1,18.740015
ITC2,13.469965
DE11,18.217554
DE12,18.693964
DE13,18.280085
DE14,17.654963
DE21,17.504572
DE22,18.090235
DE23,17.52746
DE24,17.204767
DE25,18.11349
DE26,17.883142
DE27,16.978601
DE30,18.472132
EL42,26.808954
LV00,15.660944
ME00,19.883478
MK00,21.513666
MT00,28.191462
NL11,17.988672
NL12,18.435022
EL64,25.090693
EL65,26.130121
ES11,20.761255
ES12,19.581568
ES13,20.312006
ES21,21.067957
ES22,21.763117
ES23,21.021662
ES24,22.56222
ES30,24.808619
IE05,16.292688
IE06,16.15127
IS00,9.027033
ITC3,22.343866
FI19,13.716974
FI1B,15.136713
FI1C,14.710382
DEA1,18.481531
DEA2,17.657648
DEA3,18.317194
DEA4,17.798365
DEA5,17.201105
DEB1,17.602076
DEB2,17.321222
DEB3,18.929895
DEC0,18.393946
DED2,17.759943
DED4,16.90014
DED5,18.603235
DEE0,18.160547
DEF0,17.608484
DEG0,17.170374
DK01,17.474268
DK02,17.60296
DK03,17.12826
DK04,16.77102
ES41,21.979364
ES42,25.441736
HU23,21.06753
HU31,20.319513
HU32,21.41601
HU33,21.656275
IE04,15.857203
EE00,15.465662
EL30,27.322138
EL41,26.152796
EL43,26.721704
EL51,24.149408
EL52,24.631647
FI20,16.393702
FR10,19.486628
FRB0,20.08047
FRC1,19.9107
FRC2,19.043207
FRD1,18.890863
FRD2,18.849024
FRE1,18.711756
FRE2,18.895319
FRF1,18.954798
NL13,17.968927
NL21,18.21853
NL22,18.349848
NL23,18.467432
NL31,18.419336
NL32,18.763788
ITG2,25.574366
ITH1,12.730707
ITH2,16.091639
FRI3,21.178644
FRJ1,21.480371
FRJ2,20.952326
FRK1,18.923822
FRK2,18.650446
FRL0,20.797876
FRM0,24.30758
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,26.788538
TR32,26.87768
TR33,23.915003
HR03,22.772425
HR02,21.21551
HU11,20.946985
HU12,20.860834
HU21,20.605433
HU22,20.414545
PT16,23.992487
PT17,23.90127
FRF2,19.045954
FRF3,18.704279
FRG0,20.08935
FRH0,19.184809
FRI1,22.134027
FRI2,19.838007
ITC4,20.435022
ITF1,21.95907
ITF2,22.94433
ITF3,24.15896
ITF4,25.8399
ITF5,24.235498
ITF6,25.295343
ITG1,26.678919
LT01,15.908747
LT02,16.189417
LU00,17.461695
PL22,17.792536
PL41,18.056574
PL42,17.70379
PT18,26.068415
PT20,-273.15
PT30,-273.15
RO11,18.598291
RO12,17.422144
RO21,18.43896
RO22,21.89712
RO31,21.599237
RO32,22.713556
ITH3,20.954706
ITH4,19.829279
ITH5,23.02572
ITI1,23.5227
ITI2,22.512018
ITI3,23.136225
ITI4,23.438868
LI00,15.485743
FI1D,12.004877
TR82,21.101252
TR83,21.463953
TR90,19.269709
TRA1,18.995203
TRA2,16.888758
PL43,18.369226
PL51,17.578974
PL52,18.20321
PL61,17.592432
PL62,16.975855
PL63,17.289728
PL71,17.93249
PL72,17.910059
PL81,17.652857
PL82,17.664454
PL84,16.75982
PL91,17.620417
PL92,17.475977
PT11,22.815027
PT15,25.176294
TRB1,23.844385
TRB2,22.384607
TRC1,28.171198
RS12,22.383509
RS21,20.35412
RS22,20.97082
SE11,15.967157
SE12,15.328272
NL33,18.765528
NL34,18.932642
NL41,18.614405
NL42,18.532648
PL21,17.276575
UKM6,14.578089
TR22,24.4992
TRC2,29.895105
TRC3,30.118402
UKC1,15.950129
UKC2,15.7060795
UKD1,15.565729
UKD3,16.27096
UKD4,16.278101
UKD6,16.745356
UKD7,17.156763
UKE1,17.32342
UKE2,16.180109
UKE3,16.920038
RO41,21.435755
RO42,20.176844
RS11,22.63122
TR41,23.21145
TR42,22.141474
TR51,23.190271
TR52,23.699274
TR61,24.827204
TR62,25.707697
TR63,26.065363
TR71,23.432703
TR72,20.96676
TR81,21.341059
UKK1,17.623163
UKK2,17.9779
UKK3,17.973688
UKK4,17.7091
UKL1,16.883661
UKL2,16.416101
UKM5,14.667963
UKM7,14.531519
UKM8,15.10882
UKM9,15.350672
UKN0,15.745111
SE21,15.855646
SE22,16.444147
SE23,15.730646
SE31,13.844416
SE32,12.039057
SE33,11.057703
SI03,19.299646
SI04,19.321619
SK01,20.027765
SK02,19.379663
SK03,17.042963
SK04,17.686792
TR10,24.533197
TR21,24.552423
UKE4,16.248926
UKF1,16.952143
UKF2,17.559473
UKF3,17.755915
UKG1,17.210566
UKG2,16.646173
UKG3,17.26095
UKH1,18.1849
UKH2,17.954615
UKH3,18.436579
UKI3,18.306208
UKI4,18.306208
UKI5,18.255762
UKI6,18.24505
UKI7,18.122614
UKJ1,17.677546
UKJ2,18.552057
UKJ3,18.242579
UKJ4,18.695063
NO09,13.182184
NO0A,12.407465
NO0B,8.858545
HR05,21.139612
HR06,20.837336
NO02,10.81045
NO06,12.088587
NO07,11.029871
NO08,12.703089
