nuts,Winter Mean Temperature (°C) ensemble median - RCP4.5 - (2041 - 2070)
UKH1,5.88891
UKH2,5.5624022
UKH3,5.965509
UKI3,5.8037047
UKI4,5.8037047
UKI5,5.7581115
UKI6,5.78396
UKI7,5.721338
UKJ1,5.5197997
UKJ2,6.5584044
UKJ3,6.4817443
UKJ4,6.345941
NO09,-1.3279785
NO0A,-0.75116575
NO0B,-0.53986204
HR05,3.0912414
HR06,2.9234252
NO02,-6.11402
NO06,-2.5387025
NO07,-5.0857606
NO08,-3.5331483
