nuts,August Mean Temperature (°C) ensemble median - RCP8.5 - (2071 - 2100)
DE50,20.722101
DE60,20.742792
DE71,22.268305
DE72,21.062738
DE73,20.801142
DE80,21.069635
DE91,20.867151
BG41,24.171625
BG42,25.904291
CH01,18.513056
AT32,17.611444
AT33,16.182123
AT34,17.56344
BE10,21.732141
BE23,21.683527
BE24,21.723383
BE25,21.496881
BE31,21.504694
BE32,21.506159
BE33,20.644312
BE34,20.892298
BE35,21.12002
BG31,26.842157
BG32,27.127893
BG33,26.895624
BG34,27.110834
DE92,21.086878
DE93,21.006403
DE94,20.754816
CZ07,21.731897
CZ08,21.316217
AL01,26.292353
AL02,27.221582
AL03,27.316584
AT11,23.968805
AT12,22.424463
AT13,23.979944
AT21,19.41244
AT22,19.913507
AT31,21.133204
DK05,19.44845
BE21,21.758142
BE22,21.722345
ES43,30.581324
ES51,26.831507
ES52,28.383173
ES53,29.438135
ES61,29.828638
ES62,29.45788
ES63,25.429895
ES64,29.779139
CH02,20.15899
CH03,22.62597
CH04,22.19906
CH05,17.886133
CH06,18.94433
CH07,20.893702
CY00,31.505548
CZ01,22.693262
CZ02,22.098719
CZ03,21.21905
CZ04,20.961298
CZ05,21.169611
CZ06,22.42602
DE40,21.808008
EL53,26.346003
EL54,27.298243
EL61,28.30456
EL62,29.090235
EL63,28.646326
ES70,24.001245
ITC1,23.398188
ITC2,17.31759
DE11,22.209192
DE12,22.683191
DE13,22.538874
DE14,21.710535
DE21,21.374292
DE22,22.181787
DE23,21.674921
DE24,21.32458
DE25,22.120966
DE26,21.938562
DE27,20.83169
DE30,22.072535
EL42,28.554499
LV00,20.325098
ME00,24.355494
MK00,26.18902
MT00,29.57464
NL11,20.427881
NL12,20.518213
EL64,28.606989
EL65,29.42019
ES11,23.082422
ES12,21.544703
ES13,22.284784
ES21,23.078272
ES22,25.057398
ES23,24.447168
ES24,27.185328
ES30,29.429651
IE05,17.885096
IE06,17.99212
IS00,12.01333
ITC3,26.263483
FI19,18.577814
FI1B,19.722956
FI1C,19.475306
DEA1,21.761469
DEA2,21.093897
DEA3,21.510706
DEA4,20.985163
DEA5,20.59759
DEB1,21.287256
DEB2,20.987207
DEB3,22.872187
DEC0,22.215601
DED2,21.559046
DED4,20.857233
DED5,22.43548
DEE0,21.757685
DEF0,20.48672
DEG0,21.187708
DK01,20.600061
DK02,20.691523
DK03,20.02862
DK04,19.56045
ES41,25.902704
ES42,29.782679
HU23,25.529657
HU31,24.864588
HU32,26.093103
HU33,26.150354
IE04,17.387781
EE00,20.192957
EL30,30.434687
EL41,28.810846
EL43,29.00799
EL51,28.355524
EL52,28.781
FI20,20.209284
FR10,23.335505
FRB0,24.391565
FRC1,24.65365
FRC2,23.689814
FRD1,21.714563
FRD2,21.745539
FRE1,21.444178
FRE2,22.200922
FRF1,23.220331
NL13,20.534143
NL21,20.981806
NL22,21.278894
NL23,20.832819
NL31,21.04928
NL32,20.6896
ITG2,28.756586
ITH1,16.582788
ITH2,20.150995
FRI3,25.282892
FRJ1,25.833185
FRJ2,24.944727
FRK1,23.406733
FRK2,23.159723
FRL0,25.030481
FRM0,27.604883
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,30.653162
TR32,30.807306
TR33,28.298792
HR03,27.094141
HR02,25.974909
HU11,25.337
HU12,25.271875
HU21,25.055597
HU22,24.967218
PT16,25.854181
PT17,24.468622
FRF2,23.09997
FRF3,22.79165
FRG0,23.59762
FRH0,21.526117
FRI1,25.748072
FRI2,24.27276
ITC4,25.445581
ITF1,25.997889
ITF2,26.978601
ITF3,27.85409
ITF4,29.52804
ITF5,28.34762
ITF6,28.377344
ITG1,29.344934
LT01,20.646112
LT02,20.764673
LU00,21.067713
PL22,21.722925
PL41,21.975824
PL42,21.163141
PT18,27.78039
PT20,-273.15
PT30,-273.15
RO11,23.017939
RO12,21.811304
RO21,23.202112
RO22,26.883875
RO31,26.502344
RO32,27.912989
ITH3,25.623468
ITH4,24.37121
ITH5,27.962702
ITI1,27.675898
ITI2,26.947657
ITI3,27.284998
ITI4,27.541529
LI00,19.147638
FI1D,16.906366
TR82,25.192347
TR83,25.57519
TR90,22.954767
TRA1,23.817286
TRA2,21.899591
PL43,22.006952
PL51,21.535334
PL52,22.185389
PL61,21.451288
PL62,21.121973
PL63,20.95788
PL71,22.050226
PL72,22.0563
PL81,21.946589
PL82,21.715906
PL84,21.249018
PL91,21.842524
PL92,21.687525
PT11,25.534723
PT15,26.149073
TRB1,29.399805
TRB2,28.356256
TRC1,33.134666
RS12,26.88363
RS21,24.946192
RS22,25.616724
SE11,20.038599
SE12,19.337488
NL33,21.06051
NL34,21.438929
NL41,21.661463
NL42,21.749598
PL21,21.139338
UKM6,15.824396
TR22,28.246576
TRC2,35.461113
TRC3,35.699425
UKC1,17.805567
UKC2,17.514032
UKD1,17.31396
UKD3,18.28161
UKD4,18.066797
UKD6,18.850122
UKD7,18.967676
UKE1,19.165003
UKE2,18.078485
UKE3,19.039698
RO41,26.059656
RO42,24.622278
RS11,27.140558
TR41,27.366632
TR42,25.860498
TR51,27.975
TR52,28.28393
TR61,28.710352
TR62,29.215601
TR63,29.726374
TR71,28.144709
TR72,25.317621
TR81,25.064997
UKK1,20.140802
UKK2,19.974512
UKK3,19.495752
UKK4,19.408197
UKL1,18.42486
UKL2,18.531153
UKM5,16.35229
UKM7,16.457056
UKM8,16.897028
UKM9,16.969873
UKN0,17.24798
SE21,19.618097
SE22,19.803034
SE23,19.35769
SE31,17.920984
SE32,16.227686
SE33,15.500788
SI03,23.991938
SI04,23.922968
SK01,24.426294
SK02,23.70727
SK03,21.201838
SK04,21.861689
TR10,28.022547
TR21,28.697718
UKE4,18.273157
UKF1,19.214624
UKF2,20.091639
UKF3,19.999445
UKG1,19.677698
UKG2,18.901636
UKG3,19.704584
UKH1,20.353632
UKH2,20.599817
UKH3,20.813166
UKI3,20.9349
UKI4,20.9349
UKI5,20.870996
UKI6,20.83938
UKI7,20.725092
UKJ1,20.314905
UKJ2,20.64474
UKJ3,20.524378
UKJ4,20.818384
NO09,16.57934
NO0A,15.51803
NO0B,9.974939
HR05,26.05163
HR06,25.651423
NO02,15.13006
NO06,15.63949
NO07,14.710657
NO08,16.685328
