nuts,December Mean Temperature (°C) ensemble median - RCP4.5 - (2011 - 2040)
DE50,3.5532775
DE60,3.2941527
DE71,2.7022338
DE72,2.080316
DE73,1.9782349
DE80,2.7200255
DE91,2.4270263
BG41,0.8355347
BG42,2.5213256
CH01,-3.292395
AT32,-3.8836732
AT33,-5.4747987
AT34,-3.5550904
BE10,4.9449706
BE23,5.3011413
BE24,4.8588805
BE25,5.844415
BE31,4.625177
BE32,4.771631
BE33,3.3186584
BE34,2.9467711
BE35,3.8233886
BG31,1.4648072
BG32,2.166803
BG33,3.1577086
BG34,3.8690734
DE92,3.243463
DE93,3.2688231
DE94,3.936914
CZ07,-0.05472412
CZ08,-0.0428833
AL01,3.9932494
AL02,5.102014
AL03,5.9679503
AT11,1.311792
AT12,0.61828005
AT13,1.6362549
AT21,-2.8544984
AT22,-1.8526977
AT31,-0.07974853
DK05,4.0556273
BE21,4.9609313
BE22,4.552606
ES43,8.795008
ES51,6.678064
ES52,9.41717
ES53,14.333124
ES61,10.133905
ES62,10.156061
ES63,14.838861
ES64,14.437647
CH02,-0.40314332
CH03,2.6915526
CH04,2.2325072
CH05,-3.8125672
CH06,-1.5232605
CH07,-1.6669372
CY00,14.593348
CZ01,1.4972473
CZ02,0.9384705
CZ03,0.1848999
CZ04,0.28130493
CZ05,-0.031103516
CZ06,0.41570434
DE40,2.3705077
EL53,2.7040038
EL54,6.036615
EL61,7.57052
EL62,13.440821
EL63,9.145624
ES70,18.880335
ITC1,0.5230652
ITC2,-5.7652955
DE11,2.1876464
DE12,2.7292418
DE13,2.436792
DE14,1.6688477
DE21,0.7440735
DE22,1.1168762
DE23,0.8138367
DE24,1.1374451
DE25,1.8181702
DE26,2.1027465
DE27,0.6393677
DE30,2.3411193
EL42,14.788172
LV00,-0.63937986
ME00,2.396997
MK00,1.9565979
MT00,16.193659
NL11,4.4020934
NL12,5.5815063
EL64,8.921137
EL65,10.635889
ES11,8.647394
ES12,7.919946
ES13,8.032221
ES21,8.2790165
ES22,6.34765
ES23,5.5124755
ES24,5.548761
ES30,5.7094054
IE05,7.1937194
IE06,6.3462157
IS00,-1.7156128
ITC3,7.152124
FI19,-3.1046205
FI1B,-1.0053772
FI1C,-1.8962463
DEA1,4.318872
DEA2,3.3398986
DEA3,3.917047
DEA4,3.1626525
DEA5,2.674768
DEB1,2.6262145
DEB2,2.4153075
DEB3,3.112207
DEC0,2.9448485
DED2,1.573816
DED4,1.0046631
DED5,2.6332335
DEE0,2.5590453
DEF0,3.4028869
DEG0,1.6391846
DK01,3.6234374
DK02,3.7174315
DK03,3.557428
DK04,3.6145873
ES41,5.421991
ES42,6.519983
HU23,2.11239
HU31,0.66408694
HU32,1.362024
HU33,1.8417908
IE04,6.6621337
EE00,-0.61157835
EL30,12.267664
EL41,12.758448
EL43,13.872828
EL51,5.8985534
EL52,6.205072
FI20,2.269403
FR10,5.3149657
FRB0,5.8061767
FRC1,4.787256
FRC2,3.5814147
FRD1,6.733728
FRD2,5.8991027
FRE1,5.4996886
FRE2,5.0822387
FRF1,3.2038512
NL13,4.15072
NL21,4.2496276
NL22,4.4879394
NL23,4.9291015
NL31,4.7887816
NL32,5.9830565
ITG2,11.400629
ITH1,-6.0576234
ITH2,-2.3372865
FRI3,7.1780334
FRJ1,6.2333922
FRJ2,5.442804
FRK1,4.077905
FRK2,2.1245666
FRL0,4.4287353
FRM0,10.5811405
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,9.368097
TR32,8.390253
TR33,4.3101134
HR03,6.8910766
HR02,2.6149535
HU11,1.3709961
HU12,1.2249085
HU21,1.6161133
HU22,1.916864
PT16,9.561579
PT17,12.850153
FRF2,4.319055
FRF3,3.4449096
FRG0,7.052362
FRH0,8.3207035
FRI1,7.5757384
FRI2,5.4185424
ITC4,1.5880677
ITF1,5.7479186
ITF2,6.9732604
ITF3,8.869898
ITF4,10.732019
ITF5,7.979425
ITF6,10.842371
