nuts,Winter Mean Temperature (°C) ensemble median - RCP8.5 - (2011 - 2040)
DE50,3.1430907
DE60,2.7915893
DE71,2.16546
DE72,1.5473877
DE73,1.400293
DE80,2.1542602
DE91,1.843866
BG41,0.7913147
BG42,2.3948302
CH01,-4.0304933
AT32,-4.399054
AT33,-6.0843873
AT34,-4.3931947
BE10,4.3789
BE23,4.692804
BE24,4.286218
BE25,5.1321654
BE31,4.0265136
BE32,4.166986
BE33,2.6794677
BE34,2.3410888
BE35,3.2029357
BG31,1.5479065
BG32,1.9363953
BG33,2.8147216
BG34,3.5699096
DE92,2.7532592
DE93,2.7856994
DE94,3.5034118
CZ07,-0.34906617
CZ08,-0.43845215
AL01,3.8633971
AL02,4.8593383
AL03,5.736749
AT11,1.2721802
AT12,0.33571777
AT13,1.5292908
AT21,-3.2262025
AT22,-2.1709046
AT31,-0.594458
DK05,3.0924926
BE21,4.420709
BE22,3.987451
ES43,8.497858
ES51,6.3670287
ES52,9.13711
ES53,13.294794
ES61,9.734339
ES62,9.88357
ES63,14.225031
ES64,13.982782
CH02,-1.2855896
CH03,1.9887329
CH04,1.4666077
CH05,-4.603644
CH06,-2.383246
CH07,-2.1006532
CY00,13.656305
CZ01,1.0210205
CZ02,0.50283206
CZ03,-0.34140626
CZ04,-0.1694397
CZ05,-0.4175476
CZ06,0.2333313
DE40,1.9114319
EL53,2.8438659
EL54,5.82702
EL61,7.266046
EL62,12.724207
EL63,8.636194
ES70,18.098566
ITC1,0.2418457
ITC2,-6.2463136
DE11,1.490686
DE12,2.0669188
DE13,1.6918885
DE14,0.8473145
DE21,0.106378175
DE22,0.6214539
DE23,0.23766479
DE24,0.47817382
DE25,1.1628052
DE26,1.4835144
DE27,-0.10413208
DE30,1.9142395
EL42,14.039667
LV00,-2.28089
ME00,2.3034606
MK00,2.0776916
MT00,14.978907
NL11,3.8610778
NL12,4.7898498
EL64,8.424555
EL65,9.999872
ES11,8.151667
ES12,7.270471
ES13,7.395532
ES21,7.7635436
ES22,6.0219665
ES23,5.2009215
ES24,5.368921
ES30,5.5869384
IE05,6.7360473
IE06,6.0348144
IS00,-1.6967529
ITC3,6.38125
FI19,-4.7736573
FI1B,-3.0071168
FI1C,-3.7701478
DEA1,3.824182
DEA2,2.7814574
DEA3,3.5382628
DEA4,2.6675048
DEA5,2.1348205
DEB1,2.0778136
DEB2,1.8705078
DEB3,2.5999084
DEC0,2.4211364
DED2,1.0543152
DED4,0.35720214
DED5,2.082086
DEE0,2.0407958
DEF0,2.8463683
DEG0,0.97261965
DK01,2.5537658
DK02,2.7335448
DK03,2.8000731
DK04,2.7879577
ES41,5.0751586
ES42,6.340692
HU23,2.1386962
HU31,0.78127444
HU32,1.4463135
HU33,1.9764038
IE04,6.397363
EE00,-2.3508363
EL30,11.572565
EL41,12.092737
