nuts,Winter Mean Temperature (°C) ensemble median - RCP8.5 - (2011 - 2040)
EL43,13.0368595
EL51,5.5779967
EL52,6.0371947
FI20,0.39519653
FR10,4.647363
FRB0,5.0596557
FRC1,4.099664
FRC2,2.8687987
FRD1,5.9998717
FRD2,5.257623
FRE1,4.878198
FRE2,4.482019
FRF1,2.5664
NL13,3.7084594
NL21,3.817285
NL22,4.006494
NL23,4.3499084
NL31,4.2902465
NL32,5.1774535
ITG2,10.416101
ITH1,-6.5130677
ITH2,-2.9835267
FRI3,6.4034057
FRJ1,5.5417724
FRJ2,4.840112
FRK1,3.352838
FRK2,1.3908325
FRL0,3.707666
FRM0,9.647486
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,8.869562
TR32,7.90957
TR33,4.022058
HR03,6.2674804
HR02,2.5833678
HU11,1.5346009
HU12,1.4130188
HU21,1.6075073
HU22,1.8652893
PT16,9.212671
PT17,12.325098
FRF2,3.6552672
FRF3,2.8121276
FRG0,6.2545104
FRH0,7.475641
FRI1,6.9469543
FRI2,4.6821837
ITC4,1.2955567
ITF1,5.0651793
ITF2,6.28869
ITF3,8.088831
ITF4,10.03512
ITF5,7.3786254
ITF6,10.081202
ITG1,11.786951
LT01,-2.4415345
LT02,-1.6891845
LU00,2.0783324
PL22,-0.103308104
PL41,0.81014407
PL42,1.2934204
PT18,10.650202
PT20,-273.15
PT30,-273.15
RO11,-0.6866821
RO12,-1.8071045
RO21,-1.3335327
RO22,1.474878
RO31,0.80648196
RO32,1.1677796
ITH3,2.415399
ITH4,1.6787659
ITH5,4.9338927
ITI1,7.132898
ITI2,4.8965087
ITI3,6.271356
ITI4,6.6816344
LI00,-2.6504884
FI1D,-8.064581
TR82,2.384149
TR83,2.6058593
TR90,-0.56748044
TRA1,-5.1381288
TRA2,-5.5611634
PL43,1.4138123
PL51,0.33355102
PL52,0.5048157
PL61,0.3347412
PL62,-0.6160339
PL63,0.5199219
PL71,0.23244628
PL72,0.02489624
PL81,-0.42301026
PL82,-0.51260984
PL84,-1.1398071
PL91,-0.0730957
PL92,-0.24954835
PT11,7.358209
PT15,12.5220585
TRB1,-1.2665466
TRB2,-3.5949159
TRC1,4.652612
RS12,2.6455321
RS21,1.4986206
RS22,1.3996826
SE11,-0.21591797
SE12,-1.2040161
NL33,4.8065734
NL34,4.93905
NL41,4.320886
NL42,4.0039
PL21,-0.66678464
UKM6,5.543573
TR22,7.19317
TRC2,4.985193
TRC3,5.3894897
UKC1,4.7393737
UKC2,4.8125854
UKD1,4.526941
UKD3,4.739343
UKD4,4.9633117
UKD6,5.1892333
UKD7,5.846185
UKE1,5.3920226
UKE2,4.6688476
UKE3,4.8598266
RO41,0.88405764
RO42,1.0300232
RS11,2.9612975
TR41,4.1648192
TR42,4.137811
TR51,2.528894
TR52,2.372705
TR61,5.23681
TR62,5.501764
TR63,4.5605407
TR71,1.9825989
TR72,-1.1871399
TR81,3.6779723
UKK1,5.580072
UKK2,6.425714
UKK3,8.186396
UKK4,6.853479
UKL1,6.202234
UKL2,4.937219
UKM5,4.460962
UKM7,3.8427672
UKM8,4.7508483
UKM9,5.03515
UKN0,6.090509
SE21,0.27718505
SE22,1.3202759
SE23,0.10970459
SE31,-3.4401307
SE32,-5.5746217
SE33,-8.17008
SI03,1.2503296
SI04,1.5333496
SK01,1.4169251
SK02,0.6933228
SK03,-1.3830627
SK04,-0.9657043
TR10,7.5742126
TR21,6.213342
UKE4,4.535791
UKF1,4.8254943
UKF2,5.073816
UKF3,5.3140807
UKG1,5.133081
UKG2,4.878259
UKG3,5.136316
UKH1,5.5592895
UKH2,5.249292
UKH3,5.6463256
UKI3,5.5142455
UKI4,5.5142455
UKI5,5.446649
UKI6,5.466974
UKI7,5.40957
UKJ1,5.220514
UKJ2,6.2311645
UKJ3,6.1687255
UKJ4,6.0172057
NO09,-2.1001039
NO0A,-1.3326782
NO0B,-1.673468
HR05,2.5796142
HR06,2.4383178
NO02,-6.812964
NO06,-3.2823548
NO07,-5.5895143
NO08,-4.3109193
