nuts,December Mean Temperature (°C) ensemble median - RCP8.5 - (2041 - 2070)
DE50,4.7585692
DE60,4.541223
DE71,3.9533324
DE72,3.4011474
DE73,3.3271728
DE80,4.097009
DE91,3.6172118
BG41,1.917627
BG42,3.5117736
CH01,-2.416144
AT32,-2.813025
AT33,-4.453589
AT34,-2.6141114
BE10,5.947778
BE23,6.3122497
BE24,5.8779235
BE25,6.7898192
BE31,5.6056457
BE32,5.764917
BE33,4.4115844
BE34,4.0640807
BE35,4.852838
BG31,2.5434508
BG32,3.1149535
BG33,4.0888305
BG34,4.720636
DE92,4.4308715
DE93,4.453851
DE94,5.1226134
CZ07,1.4972473
CZ08,1.4934937
AL01,5.2713256
AL02,6.3111815
AL03,7.1904235
AT11,2.7237487
AT12,1.9448181
AT13,3.0138183
AT21,-1.6255554
AT22,-0.67371213
AT31,0.99538577
DK05,5.107385
BE21,6.028711
BE22,5.625879
ES43,9.758417
ES51,7.709558
ES52,10.417078
ES53,15.307642
ES61,11.165308
ES62,11.224451
ES63,15.769129
ES64,15.397089
CH02,0.27147827
CH03,3.5167174
CH04,3.0575805
CH05,-2.8396363
CH06,-0.77579343
CH07,-0.38349
CY00,15.861444
CZ01,2.8395324
CZ02,2.3018737
CZ03,1.5308777
CZ04,1.6726624
CZ05,1.4822327
CZ06,2.000421
DE40,3.6673827
EL53,3.877832
EL54,7.247888
EL61,8.727625
EL62,14.491388
EL63,10.211664
ES70,19.75982
ITC1,1.686792
ITC2,-4.7956605
DE11,3.3538451
DE12,3.8550963
DE13,3.3809752
DE14,2.6797729
DE21,1.7167603
DE22,2.2862487
DE23,2.086145
DE24,2.4236693
DE25,3.039575
DE26,3.3843932
DE27,1.6234986
DE30,3.669641
EL42,15.88479
LV00,0.07662354
ME00,3.8065429
MK00,3.111261
MT00,17.35995
NL11,5.4848876
NL12,6.7019897
EL64,10.053095
EL65,11.719233
ES11,9.486811
ES12,8.758478
ES13,8.845148
ES21,9.172571
ES22,7.335901
ES23,6.488092
ES24,6.6026855
ES30,6.6718993
IE05,8.023249
IE06,7.4131103
IS00,-0.10700073
ITC3,8.176111
FI19,-1.5954345
FI1B,0.0491272
FI1C,-0.5698608
DEA1,5.4486938
DEA2,4.5315795
DEA3,5.159723
DEA4,4.3653502
DEA5,3.9224486
DEB1,3.844171
DEB2,3.6240478
DEB3,4.3088927
DEC0,4.132196
DED2,2.8533263
DED4,2.1987853
DED5,3.7976928
DEE0,3.685907
DEF0,4.7516418
DEG0,2.8698974
DK01,4.6323485
DK02,4.801477
DK03,4.7094665
DK04,4.6979613
ES41,6.4062133
ES42,7.5051513
HU23,3.2674193
HU31,2.2401671
HU32,2.6657958
HU33,3.0399718
IE04,7.7293944
EE00,0.35073242
EL30,13.395838
EL41,13.7998905
EL43,14.985895
EL51,6.8157897
EL52,7.198419
FI20,3.540979
FR10,6.1421447
FRB0,6.5052123
FRC1,5.5832458
FRC2,4.472528
FRD1,7.4170165
FRD2,6.7119994
FRE1,6.4337096
FRE2,6.0072875
FRF1,4.1722045
NL13,5.2702575
NL21,5.4585204
NL22,5.6845946
NL23,6.086389
NL31,5.981317
NL32,7.1209655
ITG2,12.247004
ITH1,-4.8137574
ITH2,-1.1800293
FRI3,7.8156676
FRJ1,7.236749
FRJ2,6.40719
FRK1,5.0822997
FRK2,3.051538
FRL0,5.4894347
FRM0,11.526819
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,10.425623
TR32,9.551264
TR33,5.360498
HR03,8.0281925
HR02,3.5817199
HU11,2.869104
HU12,2.7400146
HU21,2.9927611
HU22,3.155786
PT16,10.488337
PT17,13.763239
FRF2,5.239679
FRF3,4.4547668
FRG0,7.588861
FRH0,8.909082
FRI1,8.23678
FRI2,6.2843566
ITC4,2.7925658
ITF1,6.739923
ITF2,8.02688
ITF3,9.981287
ITF4,11.926172
ITF5,9.1800785
ITF6,12.034143
ITG1,13.986231
LT01,-0.55136716
LT02,0.26311645
LU00,3.8356872
PL22,1.9919678
PL41,2.810083
PL42,3.3352904
PT18,11.91073
PT20,-273.15
PT30,-273.15
RO11,0.81969607
RO12,-0.3512024
RO21,0.37841186
RO22,3.002252
RO31,2.067041
RO32,2.3486266
ITH3,3.962854
ITH4,3.248773
ITH5,6.406671
ITI1,8.795099
ITI2,6.4773192
ITI3,7.982843
ITI4,8.383051
LI00,-1.0943359
FI1D,-5.085669
TR82,4.116266
TR83,4.0592284
TR90,1.687616
TRA1,-2.9082093
TRA2,-3.0821595
PL43,3.295465
PL51,2.28161
PL52,2.5136962
PL61,2.3471923
PL62,1.4632813
PL63,2.7322936
PL71,2.3160338
PL72,2.1429381
PL81,1.5795838
PL82,1.3906494
PL84,0.7490784
PL91,1.9240357
PL92,1.7725769
PT11,8.5906925
PT15,14.016748
TRB1,1.0530945
TRB2,-1.43302
TRC1,6.546289
RS12,3.468347
RS21,2.5447936
RS22,2.4140563
SE11,1.8720642
SE12,0.6948792
NL33,6.5466857
NL34,6.59176
NL41,5.9695983
NL42,5.6797423
PL21,1.2424561
UKM6,6.93197
TR22,8.883783
TRC2,6.628259
TRC3,6.8974547
UKC1,6.2278686
UKC2,6.2324767
UKD1,6.0714355
UKD3,6.393884
UKD4,6.614862
UKD6,6.8320556
UKD7,7.485315
UKE1,6.9659667
UKE2,6.2069945
UKE3,6.4951415
RO41,1.931543
RO42,2.098413
RS11,3.7332091
TR41,5.518762
TR42,5.942346
TR51,3.5929198
TR52,3.7094054
TR61,7.0734496
TR62,7.676233
TR63,6.669061
TR71,3.1551147
TR72,1.1324097
TR81,5.597528
UKK1,7.1220336
UKK2,7.9449096
UKK3,9.738733
UKK4,8.342188
UKL1,7.6785216
UKL2,6.4637084
UKM5,5.8705077
UKM7,5.2322936
UKM8,6.0522094
UKM9,6.4891295
UKN0,7.442102
SE21,2.2631774
SE22,3.2290282
SE23,2.0814147
SE31,-1.5256408
SE32,-3.2997804
SE33,-5.3058534
SI03,2.7489562
SI04,3.1529174
SK01,3.0590758
SK02,2.4036803
SK03,0.37749633
SK04,0.7488953
TR10,9.586054
TR21,7.706018
UKE4,6.1277404
UKF1,6.495233
UKF2,6.767114
UKF3,6.9922423
UKG1,6.760614
UKG2,6.506738
UKG3,6.7982726
UKH1,7.3256164
UKH2,6.881616
UKH3,7.338037
UKI3,7.066858
UKI4,7.066858
UKI5,7.052728
UKI6,7.00744
UKI7,7.013147
UKJ1,6.8285155
UKJ2,7.7283874
UKJ3,7.682733
UKJ4,7.5761046
NO09,-0.1628479
NO0A,0.25966796
NO0B,0.6002747
HR05,3.6131225
HR06,3.5164428
NO02,-5.1416383
NO06,-1.2075256
NO07,-3.0211549
NO08,-2.4596925
