nuts,March Mean Temperature (°C) ensemble median - RCP8.5 - (2011 - 2040)
DE50,5.880548
DE60,5.2201476
DE71,5.912317
DE72,5.0718017
DE73,4.780786
DE80,4.7192016
DE91,5.0150695
BG41,5.4665465
BG42,6.6291137
CH01,0.16918334
AT32,0.10296021
AT33,-1.5304321
AT34,-0.004370117
BE10,7.1403136
BE23,7.2796874
BE24,7.084436
BE25,7.33761
BE31,6.835626
BE32,6.917993
BE33,5.58999
BE34,5.48681
BE35,6.1291747
BG31,7.408685
BG32,7.287256
BG33,7.0549865
BG34,7.525232
DE92,5.734613
DE93,5.5661864
DE94,6.0294127
CZ07,4.3618407
CZ08,4.1606383
AL01,7.4179626
AL02,8.54394
AL03,8.810053
AT11,6.3333983
AT12,4.978967
AT13,6.307672
AT21,1.8101746
AT22,2.6198974
AT31,4.091699
DK05,4.0207763
BE21,7.183374
BE22,6.8673644
ES43,12.247797
ES51,9.341455
ES52,11.744379
ES53,13.859491
ES61,12.847101
ES62,12.538172
ES63,14.870874
ES64,15.9049015
CH02,2.793756
CH03,6.1213317
CH04,5.5601745
CH05,-0.116400145
CH06,1.5232788
CH07,2.1765685
CY00,15.120569
CZ01,5.396692
CZ02,4.8750854
CZ03,4.0996337
CZ04,3.9570556
CZ05,4.022943
CZ06,4.9482055
DE40,5.3956847
EL53,6.785669
EL54,8.736628
EL61,10.017878
EL62,13.41543
EL63,10.75506
ES70,17.498804
ITC1,4.640283
ITC2,-2.0072389
DE11,5.518213
DE12,5.968988
DE13,5.673364
DE14,5.025659
DE21,4.5696044
DE22,5.097284
DE23,4.6864867
DE24,4.6037536
DE25,5.3568664
DE26,5.4296813
DE27,4.1837707
DE30,5.456659
EL42,14.541742
LV00,1.3044678
ME00,5.7671447
MK00,6.6147094
MT00,14.912134
NL11,6.062738
NL12,6.1469054
EL64,10.695337
EL65,11.635859
ES11,9.888361
ES12,8.769342
ES13,9.048151
ES21,9.591425
ES22,8.821405
ES23,7.848169
ES24,8.704828
ES30,9.34408
IE05,7.3138976
IE06,6.9744506
IS00,-1.4927429
ITC3,8.967798
FI19,-1.3868774
FI1B,-0.7681335
FI1C,-1.0366882
DEA1,6.7836547
DEA2,5.81759
DEA3,6.478601
DEA4,5.6382384
DEA5,5.1996093
DEB1,5.4867797
DEB2,5.237573
DEB3,6.279382
DEC0,5.9535155
DED2,5.026727
DED4,4.20556
DED5,5.6835876
DEE0,5.358148
DEF0,4.8713927
DEG0,4.6214843
DK01,3.6061645
DK02,3.9359984
DK03,4.1980834
DK04,3.9573607
ES41,8.092524
ES42,10.082483
HU23,7.273401
HU31,6.4051757
HU32,7.1823974
HU33,7.3742003
IE04,7.132196
EE00,0.37664184
EL30,13.023432
EL41,13.057886
EL43,13.825769
EL51,8.834223
EL52,9.790247
FI20,0.49959716
FR10,7.625879
FRB0,8.05871
FRC1,7.532953
FRC2,6.598047
FRD1,7.919702
FRD2,7.4928527
FRE1,7.203546
FRE2,7.2708983
FRF1,6.3958373
NL13,6.2452636
NL21,6.4592223
NL22,6.7608275
NL23,6.5891967
NL31,6.7926574
NL32,6.475641
ITG2,11.666498
ITH1,-1.5582641
ITH2,1.9798218
FRI3,9.129053
FRJ1,8.327051
FRJ2,7.81875
FRK1,6.390741
FRK2,5.1526732
FRL0,6.8400817
FRM0,10.82403
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,11.405146
TR32,10.866724
TR33,7.8740478
HR03,9.025019
HR02,7.706445
HU11,6.7860045
HU12,6.7297606
HU21,6.757837
HU22,7.002008
PT16,11.939814
PT17,13.976282
FRF2,6.941522
FRF3,6.3220763
FRG0,8.561487
FRH0,8.624262
FRI1,9.823847
FRI2,7.642328
ITC4,6.2860045
ITF1,7.6721435
ITF2,8.713434
