nuts,Winter Mean Temperature (°C) ensemble median - RCP4.5 - (2011 - 2040)
DE50,3.070764
DE60,2.7142577
DE71,2.1470275
DE72,1.540857
DE73,1.3740479
DE80,2.088861
DE91,1.7990052
BG41,0.523584
BG42,2.0234008
CH01,-3.9383607
AT32,-4.448279
AT33,-6.099982
AT34,-4.423346
BE10,4.465509
BE23,4.784784
BE24,4.3665404
BE25,5.24917
BE31,4.1136413
BE32,4.268701
BE33,2.7391295
BE34,2.4213195
BE35,3.2873778
BG31,1.2164551
BG32,1.6783386
BG33,2.5459838
BG34,3.222406
DE92,2.6931396
DE93,2.7282958
DE94,3.4313903
CZ07,-0.47788087
CZ08,-0.6226257
AL01,3.51156
AL02,4.6734557
AL03,5.559076
AT11,1.0132996
AT12,0.24266967
AT13,1.3811585
AT21,-3.239264
AT22,-2.275824
AT31,-0.6576294
DK05,3.0023742
BE21,4.4969115
BE22,4.057855
ES43,8.452204
ES51,6.398462
ES52,9.028498
ES53,13.274103
ES61,9.672968
ES62,9.798212
ES63,14.140528
ES64,13.967859
CH02,-1.1903747
CH03,2.118219
CH04,1.5412232
CH05,-4.557471
CH06,-2.3104615
CH07,-2.106482
CY00,13.6
CZ01,0.9761292
CZ02,0.42351684
CZ03,-0.36002198
CZ04,-0.22675171
CZ05,-0.48428956
CZ06,0.1706787
DE40,1.8453919
EL53,2.4765258
EL54,5.635553
EL61,7.052942
EL62,12.493219
EL63,8.492456
ES70,17.977137
ITC1,0.30300292
ITC2,-6.136206
DE11,1.4591614
DE12,2.0388427
DE13,1.721399
DE14,0.8982178
DE21,0.08214722
DE22,0.5867859
DE23,0.26653442
DE24,0.4777771
DE25,1.1469666
DE26,1.4586731
DE27,-0.053869627
DE30,1.8523804
EL42,13.879938
LV00,-2.0950074
ME00,1.9625489
MK00,1.7417542
MT00,15.047083
NL11,3.7819152
NL12,4.748529
EL64,8.2568
EL65,9.855555
ES11,8.106379
ES12,7.209924
ES13,7.3452086
ES21,7.6779113
ES22,5.997339
ES23,5.1400695
ES24,5.369806
ES30,5.4917846
IE05,6.702783
IE06,5.9713073
IS00,-1.8295349
ITC3,6.3958983
FI19,-4.635321
FI1B,-2.9088197
FI1C,-3.6857972
DEA1,3.8218322
DEA2,2.7823424
DEA3,3.5006957
DEA4,2.6060424
DEA5,2.093408
DEB1,2.1093078
DEB2,1.916864
DEB3,2.596521
DEC0,2.4437804
DED2,0.9735962
DED4,0.29714355
DED5,1.999231
DEE0,1.9746338
DEF0,2.7524047
DEG0,0.9294373
DK01,2.4835753
DK02,2.6381164
DK03,2.6834655
DK04,2.6809936
ES41,5.0354247
ES42,6.2712035
HU23,1.7358032
HU31,0.45614013
HU32,1.0896851
HU33,1.5389649
IE04,6.3106627
EE00,-2.3049989
EL30,11.427881
EL41,11.888514
EL43,12.873713
EL51,5.2961364
EL52,5.8509154
FI20,0.23284301
FR10,4.7535033
FRB0,5.142877
FRC1,4.169061
FRC2,2.9379516
FRD1,6.0495543
FRD2,5.333978
FRE1,4.9914794
FRE2,4.571466
FRF1,2.5693297
NL13,3.6494384
NL21,3.80343
NL22,4.046045
NL23,4.3742003
NL31,4.339624
NL32,5.175775
ITG2,10.365076
ITH1,-6.4554505
ITH2,-2.888678
FRI3,6.4687743
FRJ1,5.5885863
FRJ2,4.8982177
FRK1,3.4099364
FRK2,1.4383484
FRL0,3.8035216
FRM0,9.560968
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,8.729334
TR32,7.8111205
TR33,3.8554626
HR03,6.018213
HR02,2.1690307
HU11,1.1572205
HU12,1.0147339
HU21,1.2636658
HU22,1.5732056
PT16,9.1869755
PT17,12.299707
FRF2,3.7692504
FRF3,2.8483825
FRG0,6.3323913
FRH0,7.50802
FRI1,7.016931
FRI2,4.761621
ITC4,1.2218872
ITF1,4.8520446
ITF2,6.131799
ITF3,8.007471
ITF4,9.886316
ITF5,7.253198
ITF6,10.012415
ITG1,11.849695
LT01,-2.43302
LT02,-1.6600708
LU00,2.1310058
PL22,-0.38269654
PL41,0.7082764
PL42,1.1970459
PT18,10.612513
PT20,-273.15
PT30,-273.15
RO11,-1.107428
RO12,-2.1399598
RO21,-1.6532654
RO22,1.3365113
RO31,0.64968264
RO32,1.1106201
ITH3,2.280023
ITH4,1.5511109
ITH5,4.739465
ITI1,6.980615
ITI2,4.777307
ITI3,6.0244994
ITI4,6.604425
LI00,-2.7422853
FI1D,-7.9794984
TR82,2.3222594
TR83,2.5093627
TR90,-0.66608274
TRA1,-5.112433
TRA2,-5.5772767
PL43,1.320398
PL51,0.21895751
PL52,0.33883056
PL61,0.17418823
PL62,-0.75671995
PL63,0.45275268
PL71,0.040948488
PL72,-0.29700318
PL81,-0.6760315
PL82,-0.8933166
PL84,-1.3585571
PL91,-0.281958
PL92,-0.48044434
PT11,7.312433
PT15,12.467035
TRB1,-1.3003906
TRB2,-3.5417848
TRC1,4.370233
RS12,2.1502013
RS21,0.9348694
RS22,0.9031006
SE11,-0.21298829
SE12,-1.2509216
NL33,4.8698974
NL34,5.020929
NL41,4.380487
NL42,4.0430236
PL21,-0.99127805
UKM6,5.453851
TR22,7.0026793
TRC2,4.7200255
TRC3,5.1816955
UKC1,4.6523986
UKC2,4.695642
UKD1,4.4703918
UKD3,4.7161803
UKD4,4.9407897
UKD6,5.183435
UKD7,5.870477
UKE1,5.314752
UKE2,4.6
UKE3,4.82937
RO41,0.5893799
RO42,0.49926147
RS11,2.4265685
TR41,3.9650207
TR42,4.050714
TR51,2.2955565
TR52,2.1361938
TR61,5.0690246
TR62,5.539392
TR63,4.468683
TR71,1.8361756
TR72,-1.1270813
TR81,3.5578856
UKK1,5.577417
UKK2,6.482385
UKK3,8.169519
UKK4,6.8958373
UKL1,6.1639953
UKL2,4.93432
UKM5,4.3913207
UKM7,3.7199035
UKM8,4.6529174
UKM9,4.934442
UKN0,5.9574523
SE21,0.1928955
SE22,1.2009827
SE23,0.051965334
SE31,-3.630652
SE32,-5.8235536
SE33,-8.236334
SI03,0.9926392
SI04,1.3941284
SK01,1.1856629
SK02,0.43795165
SK03,-1.6276611
SK04,-1.3198303
TR10,7.4296813
TR21,5.9960265
UKE4,4.4912963
UKF1,4.801355
UKF2,5.06582
UKF3,5.25979
UKG1,5.105951
UKG2,4.8567443
UKG3,5.1126647
UKH1,5.5227294
UKH2,5.2528014
UKH3,5.6522155
UKI3,5.545709
UKI4,5.545709
UKI5,5.4832397
UKI6,5.500543
UKI7,5.433862
UKJ1,5.225946
UKJ2,6.2270446
UKJ3,6.183252
UKJ4,6.0097594
NO09,-2.1939454
NO0A,-1.4892334
NO0B,-2.0588746
HR05,2.2306762
HR06,2.0857482
NO02,-6.973456
NO06,-3.4654603
NO07,-5.728461
NO08,-4.485785
