nuts,June Mean Temperature (°C) ensemble median - RCP8.5 - (2041 - 2070)
DE50,16.795008
DE60,16.701319
DE71,18.031275
DE72,16.909998
DE73,16.609827
DE80,16.983027
DE91,16.876032
BG41,20.015497
BG42,21.785212
CH01,13.430689
AT32,13.536402
AT33,11.965998
AT34,13.2616825
BE10,17.419
BE23,17.283808
BE24,17.41839
BE25,16.969324
BE31,17.174433
BE32,17.13064
BE33,16.39004
BE34,16.50091
BE35,16.764856
BG31,22.751093
BG32,22.835047
BG33,22.462885
BG34,22.742975
DE92,17.031519
DE93,17.044123
DE94,16.698511
CZ07,17.792353
CZ08,17.492304
AL01,21.113367
AL02,21.79922
AL03,22.046625
AT11,19.976923
AT12,18.484888
AT13,19.942316
AT21,15.326014
AT22,16.18786
AT31,17.127344
DK05,15.636621
BE21,17.48443
BE22,17.438105
ES43,25.159113
ES51,21.152735
ES52,23.251245
ES53,23.597742
ES61,24.890436
ES62,24.396906
ES63,21.475183
ES64,25.047388
CH02,15.261805
CH03,18.264978
CH04,17.944666
CH05,13.313684
CH06,14.218988
CH07,15.589228
CY00,26.960474
CZ01,18.474207
CZ02,17.945429
CZ03,17.09051
CZ04,16.892725
CZ05,17.152552
CZ06,18.446222
DE40,18.08578
EL53,21.697107
EL54,22.17019
EL61,24.491266
EL62,24.059198
EL63,23.72201
ES70,20.762934
ITC1,17.788416
ITC2,12.343653
DE11,17.978388
DE12,18.379541
DE13,18.096674
DE14,17.517267
DE21,17.316462
DE22,18.138208
DE23,17.655024
DE24,17.279016
DE25,18.023676
DE26,17.792322
DE27,16.783289
DE30,18.264185
EL42,24.525751
LV00,16.92428
ME00,19.346674
MK00,21.396448
MT00,23.902338
NL11,16.303186
NL12,15.970697
EL64,24.922724
EL65,24.908625
ES11,18.134516
ES12,16.959772
ES13,17.523218
ES21,18.17904
ES22,19.66955
ES23,18.927912
ES24,21.416346
ES30,23.395685
IE05,14.919886
IE06,15.066156
IS00,9.00799
ITC3,20.342005
FI19,16.17364
FI1B,15.999506
FI1C,16.490564
DEA1,17.507715
DEA2,16.836634
DEA3,17.345972
DEA4,16.887201
DEA5,16.504572
DEB1,17.069391
DEB2,16.666285
DEB3,18.441095
DEC0,17.748255
DED2,17.78457
DED4,16.805475
DED5,18.359278
DEE0,17.745417
DEF0,16.38833
DEG0,16.97616
DK01,16.115137
DK02,16.389856
DK03,15.874781
DK04,15.591974
ES41,19.980341
ES42,23.911371
HU23,21.476954
HU31,20.865046
HU32,21.861933
HU33,22.002161
IE04,14.483301
EE00,16.527552
EL30,26.292627
EL41,24.768793
EL43,25.098047
EL51,23.690271
EL52,24.709436
FI20,14.3181095
FR10,18.45724
FRB0,19.125757
FRC1,19.236872
FRC2,18.637903
FRD1,17.137995
FRD2,17.200006
FRE1,16.906794
FRE2,17.588556
FRF1,18.621668
NL13,16.538355
NL21,16.896875
NL22,17.139307
NL23,16.65127
NL31,16.814203
NL32,16.05755
ITG2,23.135126
ITH1,12.186792
ITH2,15.310633
FRI3,19.879541
FRJ1,20.007166
FRJ2,19.27865
FRK1,18.008356
FRK2,17.786585
FRL0,19.384333
FRM0,21.742365
