nuts,Annual Mean Temperature (°C) ensemble median - RCP8.5 - (2071 - 2100)
DE50,12.6383915
DE60,12.417322
DE71,12.744806
DE72,11.8536625
DE73,11.616785
DE80,12.2668705
DE91,12.118708
BG41,13.699152
BG42,14.956903
CH01,7.8035827
AT32,7.685724
AT33,6.1279845
AT34,7.662439
BE10,13.405451
BE23,13.498255
BE24,13.367701
BE25,13.547998
BE31,13.127832
BE32,13.1870365
BE33,12.12417
BE34,12.032434
BE35,12.5559635
BG31,15.387995
BG32,15.5125065
BG33,15.493525
BG34,15.896753
DE92,12.656244
DE93,12.639063
DE94,12.738764
CZ07,11.837427
CZ08,11.664484
AL01,15.559656
AL02,16.545282
AL03,16.923853
AT11,13.680628
AT12,12.404078
AT13,13.71792
AT21,9.358942
AT22,10.142542
AT31,11.35
DK05,11.708704
BE21,13.460779
BE22,13.249231
ES43,19.697779
ES51,16.596216
ES52,18.928217
ES53,21.047358
ES61,20.20733
ES62,19.85708
ES63,20.183771
ES64,21.931238
CH02,10.131464
CH03,12.878656
CH04,12.546869
CH05,7.5786376
CH06,9.085413
CH07,9.973871
CY00,23.248407
CZ01,12.653528
CZ02,12.149561
CZ03,11.331507
CZ04,11.235468
CZ05,11.404383
CZ06,12.380487
DE40,12.789148
EL53,15.264551
EL54,16.946894
EL61,18.386896
EL62,20.790247
EL63,18.927027
ES70,21.323511
ITC1,12.179346
ITC2,6.1422973
DE11,12.418787
DE12,12.878962
DE13,12.677271
DE14,11.985834
DE21,11.729151
DE22,12.292963
DE23,11.797541
DE24,11.599176
DE25,12.307703
DE26,12.282557
DE27,11.305811
DE30,12.866297
EL42,21.643732
LV00,10.29574
ME00,14.054682
MK00,14.938288
MT00,22.282068
NL11,12.665003
NL12,12.973597
EL64,19.047571
EL65,19.981012
ES11,15.406824
ES12,14.427637
ES13,14.939417
ES21,15.497278
ES22,15.483088
ES23,14.706934
ES24,16.160913
ES30,17.31637
IE05,12.549768
IE06,12.236139
IS00,5.904199
ITC3,16.32458
FI19,8.48852
FI1B,9.370844
FI1C,9.074945
DEA1,13.226709
DEA2,12.425318
DEA3,13.000483
DEA4,12.4638
DEA5,11.9196415
DEB1,12.191187
DEB2,11.886927
DEB3,13.146875
