nuts,March Mean Temperature (°C) ensemble median - RCP8.5 - (2071 - 2100)
DE50,7.813928
DE60,7.3130126
DE71,8.282801
DE72,7.510492
DE73,7.2886596
DE80,6.887811
DE91,7.357843
BG41,8.507776
BG42,9.504877
CH01,3.3921447
AT32,2.7495055
AT33,1.1492859
AT34,3.0995116
BE10,9.180292
BE23,9.307032
BE24,9.1340885
BE25,9.391199
BE31,8.95019
BE32,9.041254
BE33,7.91134
BE34,7.7788024
BE35,8.367975
BG31,10.202112
BG32,9.933191
BG33,9.526972
BG34,10.064234
DE92,7.8193297
DE93,7.6012206
DE94,8.009607
CZ07,7.07287
CZ08,6.8943725
AL01,10.18432
AL02,11.137995
AL03,11.383997
AT11,8.726831
AT12,7.7575927
AT13,8.668512
AT21,4.849542
AT22,5.6746764
AT31,7.029138
DK05,6.3539977
BE21,9.1783085
BE22,8.957209
ES43,14.161646
ES51,11.560144
ES52,13.766169
ES53,15.649073
ES61,14.970087
ES62,14.691126
ES63,16.45788
ES64,17.506037
CH02,5.787164
CH03,8.805017
CH04,8.457178
CH05,3.1447387
CH06,4.6643004
CH07,5.29989
CY00,17.68374
CZ01,7.642633
CZ02,7.252588
CZ03,6.752771
CZ04,6.62124
CZ05,6.6203246
CZ06,7.457605
DE40,7.47973
EL53,9.583338
EL54,11.330713
EL61,12.703577
EL62,15.363459
EL63,13.170343
ES70,19.020472
ITC1,7.501703
ITC2,1.4354187
DE11,8.038172
DE12,8.479425
DE13,8.502741
DE14,7.815393
DE21,7.441797
DE22,7.794641
DE23,7.2284484
DE24,7.062494
DE25,7.7340026
DE26,7.803766
DE27,7.0559325
DE30,7.5272765
EL42,16.843164
LV00,4.665796
ME00,8.631525
MK00,9.499506
MT00,17.133387
NL11,8.0255375
NL12,8.130152
EL64,13.313318
EL65,14.126734
ES11,11.536585
ES12,10.589258
ES13,10.934076
ES21,11.532343
ES22,11.001368
ES23,10.100122
ES24,10.973322
ES30,11.476831
IE05,8.791834
IE06,8.52807
IS00,1.4070984
ITC3,11.210321
FI19,2.0184875
FI1B,2.8785949
FI1C,2.6130004
DEA1,8.827478
DEA2,8.106501
DEA3,8.470301
DEA4,7.83761
DEA5,7.594812
DEB1,7.8419433
DEB2,7.5828185
DEB3,8.658808
DEC0,8.274683
DED2,7.26629
DED4,6.794885
DED5,7.8394103
DEE0,7.589868
DEF0,6.9907165
DEG0,7.115564
DK01,5.966821
DK02,6.2681518
DK03,6.3772216
DK04,6.153497
ES41,10.135828
ES42,12.237696
HU23,9.590448
HU31,8.879572
HU32,9.442682
HU33,9.601831
IE04,8.594019
EE00,3.727075
EL30,15.552546
EL41,15.424646
EL43,16.014765
EL51,11.404627
EL52,12.4283085
FI20,3.0661864
FR10,9.840296
FRB0,10.273279
FRC1,9.875513
FRC2,9.233667
FRD1,9.853296
FRD2,9.557093
FRE1,9.296137
FRE2,9.440882
FRF1,8.787134
NL13,8.137232
NL21,8.353571
