nuts,Annual Mean Temperature (°C) ensemble median - RCP4.5 - (2071 - 2100)
DE50,11.183802
DE60,10.948236
DE71,11.104029
DE72,10.304682
DE73,10.164179
DE80,10.754877
DE91,10.664148
BG41,11.422358
BG42,12.891718
CH01,5.98858
AT32,5.9277587
AT33,4.3322997
AT34,5.829675
BE10,11.983057
BE23,12.07757
BE24,11.946466
BE25,12.172174
BE31,11.701624
BE32,11.725336
BE33,10.639185
BE34,10.491236
BE35,11.07815
BG31,13.477289
BG32,13.60058
BG33,13.61178
BG34,14.002741
DE92,11.1861515
DE93,11.1497135
DE94,11.310907
CZ07,10.325953
CZ08,10.145655
AL01,13.631952
AL02,14.589228
AL03,14.978876
AT11,11.987757
AT12,10.81991
AT13,12.070734
AT21,7.5482726
AT22,8.399897
AT31,9.632135
DK05,10.43255
BE21,12.05224
BE22,11.828119
ES43,17.551966
ES51,14.747705
ES52,17.112085
ES53,19.589228
ES61,18.153833
ES62,17.926722
ES63,18.707483
ES64,20.50744
CH02,8.343439
CH03,11.179834
CH04,10.805201
CH05,5.7837462
CH06,7.3254943
CH07,8.086756
CY00,21.446466
CZ01,11.100885
CZ02,10.619623
CZ03,9.768915
CZ04,9.681604
CZ05,9.917871
CZ06,10.831995
DE40,11.229609
EL53,13.155939
EL54,14.950251
EL61,16.46145
EL62,19.222773
EL63,16.958338
ES70,20.375055
ITC1,10.324244
ITC2,4.1809325
DE11,10.752985
DE12,11.204279
DE13,10.966547
DE14,10.279718
DE21,9.917566
DE22,10.601923
DE23,10.131067
DE24,10.015131
DE25,10.642267
DE26,10.660791
DE27,9.497065
DE30,11.325769
EL42,20.073328
LV00,8.588282
ME00,11.97323
MK00,12.905237
MT00,20.744501
NL11,11.259943
NL12,11.600946
EL64,17.161066
EL65,18.053308
ES11,13.772547
ES12,12.832483
ES13,13.283594
ES21,13.860682
ES22,13.703363
ES23,12.861902
ES24,14.167475
ES30,15.138575
IE05,11.373896
IE06,11.083765
IS00,4.6451354
ITC3,14.604395
FI19,6.609155
FI1B,7.6415954
FI1C,7.351129
DEA1,11.79339
DEA2,10.915735
DEA3,11.633448
DEA4,11.041254
DEA5,10.493708
DEB1,10.621424
DEB2,10.316309
DEB3,11.538813
DEC0,11.123865
DED2,10.762049
DED4,9.903681
DED5,11.44668
DEE0,11.1349125
DEF0,10.774347
DEG0,10.177088
DK01,10.395319
DK02,10.616877
DK03,10.468164
DK04,10.306086
ES41,13.201593
ES42,15.875269
HU23,13.005945
HU31,12.341425
