nuts,June Mean Temperature (°C) ensemble median - RCP8.5 - (2011 - 2040)
DE50,16.126673
DE60,15.993158
DE71,17.19491
DE72,16.059565
DE73,15.728449
DE80,16.274317
DE91,15.992762
BG41,18.604853
BG42,20.094324
CH01,12.325739
AT32,12.591333
AT33,10.843683
AT34,12.252314
BE10,16.711054
BE23,16.56161
BE24,16.740534
BE25,16.219538
BE31,16.463068
BE32,16.338892
BE33,15.71792
BE34,15.74975
BE35,16.029749
BG31,21.365656
BG32,21.44253
BG33,21.113764
BG34,21.317621
DE92,16.314142
DE93,16.337824
DE94,16.007105
CZ07,16.932978
CZ08,16.680048
AL01,19.714655
AL02,20.602198
AL03,20.784784
AT11,19.229395
AT12,17.597712
AT13,19.221643
AT21,14.412348
AT22,15.260309
AT31,16.124353
DK05,14.767511
BE21,16.851496
BE22,16.82992
ES43,23.563318
ES51,19.826838
ES52,22.140497
ES53,22.450464
ES61,23.431818
ES62,23.079126
ES63,20.788813
ES64,23.969385
CH02,14.431849
CH03,17.331263
CH04,17.02505
CH05,12.389521
CH06,13.403498
CH07,14.6470585
CY00,25.45312
CZ01,17.664454
CZ02,17.126276
CZ03,16.225275
CZ04,15.980219
CZ05,16.358881
CZ06,17.642756
DE40,17.291468
EL53,20.286036
EL54,20.833887
EL61,22.958155
EL62,22.778193
EL63,22.374903
ES70,20.172083
ITC1,16.802485
ITC2,10.954554
DE11,17.152124
DE12,17.53393
DE13,17.209375
DE14,16.575922
DE21,16.350824
DE22,17.186548
DE23,16.701166
DE24,16.294397
DE25,17.15307
DE26,16.856318
DE27,15.8172245
DE30,17.485163
EL42,23.294764
LV00,16.047937
ME00,17.983576
MK00,20.07818
MT00,22.668512
NL11,15.544825
NL12,15.201044
EL64,23.388727
EL65,23.412714
ES11,16.90722
ES12,15.663935
ES13,16.318903
ES21,17.02505
ES22,18.284296
ES23,17.431818
ES24,20.0422
ES30,21.73269
IE05,13.800776
IE06,14.001673
IS00,7.6603026
ITC3,19.364862
FI19,14.81988
FI1B,14.8388
FI1C,15.143885
DEA1,16.969019
DEA2,16.219019
DEA3,16.720331
DEA4,16.151056
DEA5,15.810663
DEB1,16.337244
DEB2,15.938105
DEB3,17.67663
DEC0,16.998713
DED2,16.857874
DED4,15.81106
DED5,17.34884
DEE0,16.837732
DEF0,15.685877
DEG0,15.950647
DK01,15.255182
DK02,15.543024
DK03,15.104853
DK04,14.777674
ES41,18.408258
ES42,22.342402
