nuts,Summer Mean Temperature (°C) ensemble median - RCP4.5 - (2071 - 2100)
DE50,18.444178
DE60,18.353144
DE71,19.489832
DE72,18.381586
DE73,18.13537
DE80,18.632624
DE91,18.486963
BG41,21.197138
BG42,22.99969
CH01,15.044825
AT32,14.688074
AT33,13.235315
AT34,14.56402
BE10,18.918268
BE23,18.819849
BE24,18.94073
BE25,18.577478
BE31,18.703272
BE32,18.598505
BE33,17.960474
BE34,18.024927
BE35,18.298517
BG31,23.951319
BG32,23.95733
BG33,23.662317
BG34,23.897852
DE92,18.75091
DE93,18.687311
DE94,18.397821
CZ07,19.29864
CZ08,18.935541
AL01,22.634577
AL02,23.5776
AL03,23.716303
AT11,21.37829
AT12,19.85415
AT13,21.489862
AT21,16.619349
AT22,17.3128
AT31,18.40722
DK05,17.29925
BE21,19.059565
BE22,19.030207
ES43,26.792994
ES51,23.029902
ES52,25.017542
ES53,25.592798
ES61,26.453424
ES62,25.984217
ES63,22.981073
ES64,26.538599
CH02,16.78576
CH03,19.432459
CH04,19.095697
CH05,14.759485
CH06,15.734278
CH07,17.292658
CY00,28.355707
CZ01,19.99502
CZ02,19.442438
CZ03,18.543604
CZ04,18.374445
CZ05,18.711512
CZ06,19.929468
DE40,19.579065
EL53,23.19546
EL54,23.772394
EL61,25.5422
EL62,25.611414
EL63,25.482935
ES70,21.851038
ITC1,19.817133
ITC2,14.106134
DE11,19.29809
DE12,19.690638
DE13,19.314081
DE14,18.670801
DE21,18.56936
DE22,19.461878
DE23,18.962152
DE24,18.610926
DE25,19.359522
DE26,19.156214
DE27,17.965174
DE30,19.819391
EL42,25.770258
LV00,18.234705
ME00,20.84762
MK00,22.806055
MT00,25.948786
NL11,17.968653
NL12,17.75686
EL64,25.83404
EL65,26.254816
ES11,19.197107
ES12,18.033106
ES13,18.788721
ES21,19.523218
ES22,21.265833
ES23,20.576563
ES24,23.248957
ES30,25.274714
IE05,15.944635
IE06,16.0964
IS00,10.048822
ITC3,22.42547
FI19,16.96078
FI1B,17.644526
FI1C,17.634089
DEA1,19.221582
DEA2,18.45315
DEA3,19.010431
DEA4,18.568995
DEA5,18.086634
DEB1,18.586206
DEB2,18.190668
DEB3,19.940302
DEC0,19.28271
DED2,19.230707
DED4,18.307184
DED5,19.878382
DEE0,19.363642
DEF0,18.048883
DEG0,18.454401
DK01,18.03869
DK02,18.156702
DK03,17.552668
DK04,17.269312
ES41,21.69491
ES42,25.833979
HU23,22.829767
HU31,22.381342
HU32,23.353724
HU33,23.406794
IE04,15.604364
EE00,18.071985
EL30,27.396875
EL41,25.940882
EL43,26.16067
EL51,25.191523
EL52,26.03042
FI20,17.082819
FR10,19.99679
FRB0,20.600214
FRC1,20.748194
FRC2,20.015863
FRD1,18.303644
FRD2,18.4826
FRE1,18.402674
FRE2,19.00152
FRF1,19.969019
NL13,18.14297
NL21,18.51153
NL22,18.79043
NL23,18.334772
NL31,18.52862
NL32,17.894007
ITG2,25.02917
ITH1,13.561762
ITH2,16.915186
FRI3,21.27566
FRJ1,21.761225
FRJ2,20.78686
FRK1,19.507166
FRK2,19.381342
FRL0,21.28634
FRM0,23.871973
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,27.250849
TR32,27.296137
TR33,24.777216
HR03,23.742212
HR02,23.078089
HU11,22.818842
HU12,22.725245
HU21,22.397058
HU22,22.344324
PT16,22.516535
PT17,21.962824
FRF2,19.758905
FRF3,19.552942
FRG0,19.928858
FRH0,18.149286
FRI1,21.78985
FRI2,20.174006
ITC4,21.804316
ITF1,22.690058
ITF2,23.642878
ITF3,24.162256
ITF4,26.238764
ITF5,24.844172
ITF6,24.97677
ITG1,25.815027
LT01,18.593409
LT02,18.540583
LU00,18.18316
PL22,19.406397
PL41,19.674067
PL42,18.911676
PT18,24.80636
PT20,-273.15
PT30,-273.15
RO11,20.492243
RO12,19.143427
RO21,20.918756
RO22,24.008112
RO31,23.530817
RO32,24.851496
ITH3,22.161158
ITH4,21.02633
ITH5,24.484247
ITI1,23.894312
ITI2,23.454126
ITI3,24.086115
ITI4,23.698664
LI00,16.023676
FI1D,15.79043
TR82,21.699762
TR83,22.113825
TR90,19.543116
TRA1,19.560785
TRA2,17.599756
PL43,19.903345
PL51,19.246119
PL52,19.795618
PL61,19.195581
PL62,18.78982
PL63,18.481958
PL71,19.796076
PL72,19.880945
PL81,19.829676
PL82,19.621027
PL84,19.091333
PL91,19.654902
PL92,19.491755
PT11,21.54223
PT15,23.524622
TRB1,25.19082
TRB2,23.650934
TRC1,29.487085
RS12,23.958612
RS21,21.715845
RS22,22.42953
SE11,17.57049
SE12,17.613123
NL33,18.396418
NL34,18.671473
NL41,19.025934
NL42,19.138056
PL21,18.929865
UKM6,13.945246
TR22,25.188074
TRC2,31.834589
TRC3,32.169395
UKC1,15.604242
UKC2,15.394342
UKD1,15.319086
UKD3,16.179163
UKD4,15.969507
UKD6,16.667658
UKD7,16.747065
UKE1,16.774622
UKE2,15.840418
UKE3,16.73147
RO41,23.276361
RO42,21.600122
RS11,24.079187
TR41,23.952204
TR42,22.611322
TR51,24.310144
TR52,24.606348
TR61,25.242975
TR62,25.694117
TR63,26.28277
