nuts,Annual Aridity Actual (-) ensemble median - RCP4.5 - (2041 - 2070) e_hypegrid
DE50,0.81368687748909
DE60,0.7918395400047302
DE71,0.9856412410736084
DE72,0.8998576104640961
DE73,0.8661378026008606
DE80,1.0395065546035767
DE91,0.8920360207557678
BG41,1.57683527469635
BG42,2.0112123489379883
CH01,0.586369663476944
AT32,0.35092122852802277
AT33,0.300988107919693
AT34,0.3571391999721527
BE10,0.8827645182609558
BE23,0.9715718924999237
BE24,0.9569365680217743
BE25,1.0419867038726807
BE31,1.0373709201812744
BE32,0.9796847403049469
BE33,0.7957650423049927
BE34,0.7610672414302826
BE35,0.8620817065238953
BG31,1.7918184995651245
BG32,1.686161756515503
BG33,1.991990566253662
BG34,2.2392748594284058
DE92,0.9292899072170258
DE93,0.8575007617473602
DE94,0.8578127920627594
CZ07,0.8845234215259552
CZ08,0.7754914164543152
AL01,2.6172351837158203
AL02,2.2731902599334717
AL03,2.9774210453033447
AT11,1.216630756855011
AT12,0.8674132823944092
AT13,0.987537682056427
AT21,0.558461993932724
AT22,0.5922653675079346
AT31,0.6271122097969055
DK05,0.8678247332572937
BE21,0.9121033847332001
BE22,0.9750918447971344
ES43,4.926061153411865
ES51,2.933040976524353
ES52,4.577905654907227
ES53,6.52003812789917
ES61,6.670653820037842
ES62,5.3636345863342285
ES63,9.997262001037598
ES64,9.207671165466309
CH02,0.590162456035614
CH03,0.7459320425987244
CH04,0.7216717898845673
CH05,0.42792806029319763
CH06,0.46400730311870575
CH07,0.7125497758388519
CY00,5.529079437255859
CZ01,1.1047678589820862
CZ02,1.0330209136009216
CZ03,0.7911179661750793
CZ04,0.780293345451355
CZ05,0.8046193718910217
CZ06,1.055749535560608
DE40,1.0357863903045654
EL53,2.6561156511306763
EL54,2.9562604427337646
EL61,2.6344019174575806
EL62,7.62508749961853
EL63,4.602614402770996
ES70,0.0
ITC1,1.8984532356262207
ITC2,0.49871742725372314
DE11,0.980727881193161
DE12,0.9525510966777802
DE13,0.7585819363594055
DE14,0.7577553391456604
DE21,0.7013520896434784
DE22,0.8055101633071899
DE23,0.8452522456645966
DE24,0.9291240274906158
DE25,1.010448396205902
DE26,1.0263456106185913
DE27,0.667391836643219
DE30,1.3936586380004883
EL42,8.336751461029053
LV00,0.7868549525737762
ME00,1.9641451239585876
MK00,1.968311071395874
MT00,7.286550283432007
NL11,0.7854180037975311
NL12,0.8713135719299316
EL64,4.08870005607605
EL65,4.156081438064575
ES11,1.8338921666145325
ES12,1.1187646985054016
ES13,1.3299466371536255
ES21,1.494121253490448
ES22,1.9203302264213562
ES23,2.168748378753662
ES24,2.7245943546295166
ES30,3.8923003673553467
IE05,0.6644135415554047
IE06,0.7439187467098236
IS00,0.297934889793396
ITC3,2.0588295459747314
FI19,0.8180766999721527
FI1B,0.8664549291133881
FI1C,0.899918407201767
DEA1,0.9022081196308136
DEA2,0.8750954270362854
DEA3,0.9165695011615753
DEA4,0.8741313517093658
DEA5,0.7803945243358612
DEB1,0.9810416996479034
DEB2,0.969428539276123
DEB3,1.0630048513412476
DEC0,0.9219784140586853
DED2,0.9223377704620361
DED4,0.8151565492153168
DED5,1.228980302810669
DEE0,1.1009946465492249
DEF0,0.8441629707813263
DEG0,0.9284911155700684
DK01,0.9948774576187134
DK02,1.0611531138420105
DK03,0.8778702318668365
DK04,0.859241783618927
ES41,2.6706138849258423
ES42,4.149871349334717
HU23,1.5326655507087708
HU31,1.4884511828422546
HU32,1.4493639469146729
HU33,1.540040135383606
IE04,0.5507444143295288
EE00,0.7715882956981659
EL30,5.18613076210022
EL41,7.857198238372803
EL43,6.967380523681641
EL51,2.518872380256653
EL52,2.227934718132019
FI20,0.9871288239955902
FR10,1.1993228197097778
FRB0,1.2817266583442688
FRC1,1.0069663524627686
FRC2,0.7860380113124847
FRD1,1.1924576163291931
FRD2,1.2140687108039856
FRE1,1.1020439267158508
FRE2,1.1347230076789856
FRF1,0.9094215035438538
NL13,0.783280611038208
NL21,0.8545066118240356
NL22,0.8957580327987671
NL23,1.1938350796699524
NL31,0.8856258392333984
NL32,0.9737168550491333
ITG2,5.567850112915039
ITH1,0.5359102189540863
ITH2,0.7772944271564484
FRI3,1.2242635488510132
FRJ1,1.7043496966362
FRJ2,1.1786750555038452
FRK1,0.9043006002902985
FRK2,0.9959329962730408
FRL0,2.5013316869735718
FRM0,5.021292209625244
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,5.809422731399536
TR32,4.208439826965332
TR33,3.480009078979492
HR03,2.087387442588806
HR02,1.0923848152160645
HU11,1.551959216594696
HU12,1.5961949825286865
HU21,1.6065287590026855
HU22,1.4623268246650696
PT16,3.911061644554138
PT17,5.682555437088013
FRF2,1.0667351484298706
FRF3,0.9466127157211304
FRG0,1.3597655296325684
FRH0,1.3147769570350647
FRI1,1.1272509694099426
FRI2,0.881491094827652
ITC4,1.5911960005760193
ITF1,1.900317132472992
ITF2,2.085253357887268
ITF3,2.4934855699539185
ITF4,2.4406163692474365
ITF5,2.838692784309387
ITF6,3.503915309906006
ITG1,5.7003278732299805
LT01,0.7261667847633362
LT02,0.7997356951236725
LU00,0.8927868604660034
PL22,0.8032555878162384
PL41,0.970225602388382
PL42,0.9323728680610657
PT18,5.880799770355225
PT20,0.0
PT30,0.0
RO11,1.0864482522010803
RO12,0.968845546245575
RO21,1.1678423881530762
RO22,1.8479161858558655
RO31,1.695854663848877
RO32,1.885434091091156
ITH3,1.4242645502090454
ITH4,1.0273956656455994
ITH5,1.9178262948989868
ITI1,1.9693101644515991
ITI2,1.65655118227005
ITI3,1.818200707435608
ITI4,2.5139899253845215
LI00,0.5241415202617645
FI1D,0.6153713464736938
TR82,1.5293580889701843
TR83,1.546812355518341
TR90,0.700421154499054
TRA1,0.6543592810630798
TRA2,0.0
PL43,1.000129371881485
PL51,0.9021644592285156
PL52,0.9470801055431366
PL61,0.9750074148178101
PL62,0.9336963593959808
PL63,0.8764825463294983
PL71,0.9715099036693573
PL72,0.9190656244754791
PL81,0.9034436047077179
PL82,0.8408275246620178
PL84,0.8709502518177032
PL91,0.94936203956604
PL92,0.9240034222602844
PT11,2.611226201057434
PT15,6.921452283859253
TRB1,5.471442222595215
TRB2,0.0
TRC1,5.209296464920044
RS12,1.36811101436615
RS21,1.1284047961235046
RS22,1.6788554191589355
SE11,1.183471918106079
SE12,1.0201782584190369
NL33,0.9082603454589844
NL34,1.0635414719581604
NL41,0.9509328305721283
NL42,0.9918942451477051
PL21,0.7848213016986847
UKM6,0.420108899474144
TR22,6.0819785594940186
TRC2,0.0
TRC3,0.0
UKC1,0.7129709720611572
UKC2,0.6397683024406433
UKD1,0.5345249176025391
UKD3,0.7151539325714111
UKD4,0.6751834452152252
UKD6,0.8059804439544678
UKD7,0.7997945547103882
UKE1,1.0492615699768066
UKE2,0.8209626972675323
UKE3,0.8858983814716339
RO41,1.9460293054580688
RO42,1.2417503595352173
RS11,1.2352088689804077
TR41,2.986803889274597
TR42,2.514909863471985
TR51,3.460866093635559
TR52,4.006436467170715
TR61,4.388998985290527
TR62,4.662478446960449
TR63,4.556236505508423
TR71,3.9047271013259888
TR72,3.13589346408844
TR81,1.5058387517929077
UKK1,1.0848886370658875
UKK2,1.0297077894210815
UKK3,0.8692094385623932
UKK4,0.8253794014453888
UKL1,0.653721421957016
UKL2,0.6798764169216156
UKM5,0.5996511280536652
UKM7,0.5707068741321564
UKM8,0.5065309554338455
UKM9,0.48219040036201477
UKN0,0.5972994863986969
SE21,0.9097308814525604
SE22,1.022257924079895
SE23,0.8557350039482117
SE31,0.705083429813385
SE32,0.5330660343170166
SE33,0.49352431297302246
SI03,0.8479669988155365
SI04,0.7239282429218292
SK01,1.2243332862854004
SK02,1.2607430815696716
SK03,0.8359506726264954
SK04,0.8479411005973816
TR10,3.3098032474517822
TR21,3.4249753952026367
UKE4,0.7718150019645691
UKF1,0.9263662397861481
UKF2,1.210168719291687
UKF3,1.1922487616539001
UKG1,1.0338386297225952
UKG2,0.8479848802089691
UKG3,0.9779784977436066
UKH1,1.1318592429161072
UKH2,1.1271331310272217
UKH3,1.2785303592681885
UKI3,1.0850476622581482
UKI4,1.2837552428245544
UKI5,1.3315826058387756
UKI6,1.0484533607959747
UKI7,1.010196566581726
UKJ1,1.1334117650985718
UKJ2,1.2047297358512878
UKJ3,1.152951955795288
UKJ4,1.2043024897575378
NO09,0.4838004857301712
NO0A,0.3229583352804184
NO0B,0.0
HR05,1.152026355266571
HR06,1.1990273594856262
NO02,0.46877041459083557
NO06,0.3913078010082245
NO07,0.3951442688703537
NO08,0.5952014923095703
